160708;294839;304410;630;6395;1879816;248717;59679;49186;149179;363284;191099;258128;162885;77187;59357;22825;782916;139645;204251;53748;109143;774719;232331;10015;84;378311;110751;127972;461482;122112;267427;365202;486040;82135;619651;174318;83773;416412;95712;100624;227658;19271;39322;30822;411787;19574;288635;77948;342219;1048;429878;245220;22185;204163;53935;49548;247270;305377;918237;140877;288326;255761;357893;546138
215;4812;1039;1;18;209;3051;92;817;486;2708;2260;2227;266;3634;20;316;160;1403;145;679;305;275;2611;14;0;2647;1174;39;1841;774;243;1284;164;114;469;110;166;1270;1024;614;4671;177;62;72;568;176;4095;3075;751;0;1398;261;234;1094;74;34;71;3778;207;527;1318;281;500;174
17137;100804;62143;56;518;84936;51492;6358;6784;22480;68569;21061;47427;11781;12260;1920;849;49901;23819;10678;7253;15675;57837;41299;625;2;53307;17174;12261;88932;23211;29523;63801;42845;4063;41372;14071;10314;67227;12488;16697;49892;2060;2814;3746;57909;2061;14501;12548;64271;82;110780;33124;873;48503;4640;4332;18347;60902;48322;23380;56676;27277;43227;41510
11127;52236;55795;23;282;71056;29885;3886;2382;14457;43006;23286;39266;7833;5497;614;8;47545;11716;4029;2721;11155;43698;33861;341;1;37642;7793;10801;82207;11684;18711;31689;23865;2820;23966;11685;5828;47567;6703;8065;32929;530;1126;1761;33547;632;8487;5628;34099;31;80878;24928;6;26267;3777;4173;16623;27286;33849;20159;24874;20913;31283;28580
9574;33366;37718;16;194;61381;27945;3208;2449;13455;29029;3006;28210;6962;4827;1207;221;36844;10421;4203;2843;10500;33229;25604;350;2;32313;6913;8567;56672;8720;12463;32090;20189;2078;19995;9744;5105;29078;6300;6548;28021;724;1423;1682;31219;813;3085;5066;18587;52;50618;16666;212;21945;2023;2756;13419;23696;26829;16096;19615;20010;30822;23979
5890;22416;31395;34;145;65195;24631;2333;1476;9176;23268;9589;25332;5306;3545;1806;813;30069;7878;9410;1899;5576;20678;22057;216;10;8637;4927;5554;48802;7884;16725;22821;18319;1095;18591;8449;4456;20192;4566;5281;21391;530;1446;1095;16520;564;14434;3654;31292;53;45616;14629;820;15379;1174;1916;10388;19628;50963;13056;13525;11365;17771;27559
2790;46426;18237;24;180;15385;11811;1280;2181;5777;17200;2700;16726;2982;4067;1862;342;4837;5008;11080;3420;2533;4401;14808;278;5;5390;3812;1417;33975;9559;10662;8440;11328;1401;3864;3169;4109;28810;9525;7593;15586;599;1978;817;3743;593;3736;4236;20654;43;47564;10310;319;14238;1138;532;2750;7721;25148;5152;5085;5104;8225;11801
2369;31464;17595;7;90;22751;10255;901;975;4077;16751;2070;11778;2273;1759;1172;18;5713;3569;6933;1445;1886;3974;9455;127;0;4064;2442;1244;32190;5819;7446;9214;12176;979;3927;2864;2442;19524;3724;4121;14014;287;1126;466;3404;302;4823;1629;13117;18;33078;7935;16;11865;1009;352;2989;8182;22103;5617;5335;4388;8496;11348
2108;22080;15388;10;76;24075;8635;954;809;4418;12125;1444;9892;2305;2004;625;93;5273;3720;3700;1239;2318;5222;7700;101;0;4073;2611;1297;27105;5052;7317;9565;9275;787;3355;2849;2364;14422;3008;3647;11283;229;904;508;4842;241;5450;2016;15343;24;23984;6292;92;9990;467;381;2961;9526;17364;5189;6786;4563;7935;9387
5261;50966;40406;12;132;53224;23964;2655;2397;11438;36387;8116;28742;4602;5286;1208;62;14557;10172;9547;3115;5781;13046;22825;150;0;11398;7258;4515;68749;13256;19417;19874;20598;1484;10695;7881;6324;36155;8713;9314;31380;641;1843;1350;14924;604;17469;5340;48175;14;65780;16169;67;23895;908;1292;8391;24710;48460;13327;17416;12413;18775;21577
