293400.999956;1938899.925295;1499071.371117;1365297.489324;1796317.621739;1654973.360540;1261064.966381;916438.792306;1242141.738621;1431097.560683;1368310.512741;1243175.661297
4808.000000;122.370236;642.502302;151.139934;1336.744654;7589.915264;8310.832854;11397.989251;4240.295370;3204.589004;1517.777333;19971.843800
100681.000000;80025.712607;97040.434824;45618.332401;189344.453199;284388.267832;235690.870638;95976.740059;197770.340828;282055.719040;119045.237191;225089.891380
52196.000000;60229.428486;79780.459397;28516.612695;142053.798715;179327.359873;191347.213591;55877.376684;104638.223523;205509.593721;81195.635394;128426.297920
33328.000000;56283.717765;60545.589846;32149.064275;101150.596611;145361.350405;140998.926119;24079.860681;95387.476436;127824.224043;70440.756824;115347.436996
22218.000000;60310.042544;42251.860066;62452.728790;90738.337398;83098.721163;124052.994832;38337.922614;63655.467099;133688.827956;56133.719612;84271.377926
46393.000000;9308.705899;8981.717017;25526.091909;54375.141832;67824.999662;76631.555969;14703.630163;24113.939136;99253.035557;41989.962301;67364.220555
31464.000000;17588.421416;7854.999946;27094.276189;43838.133732;57562.008356;62861.185986;13622.049882;23373.394813;79009.884878;25797.469306;43416.175496
22072.000000;18339.762256;8425.583694;21535.138133;34640.021984;48984.537565;51460.701728;14580.946628;25579.950490;70187.238406;22309.558086;40682.561030
50964.000000;44730.144737;24420.780485;52157.149856;81699.496761;120310.928384;144937.134741;42491.043666;65920.571367;195430.779281;60735.800351;110804.170372
