47196;294803;6012;163480;87764;77796;1248623;9817;69348;37930;104539;504371;2395;75158;55096;20675;191498;35;129155;192043;70776;17814;104313;131062;35135;6869;701633;653;132758;114967;153986;250005;22275;376922;20085;205975;125732;299518;89770;27889;13700;96462;41894;167;70215;19902;11251;39370;45744;85771;164056;117947;169918;9302;187065;37371;47360;153119;119431;31649;133194;152489;94846;186005;106052;15098;199826;265855;102326;748824;268741;142814;137347;36162;72399;27817;319370;47811;46906;83524;583517;211499;37465;40155;203795;63001;419140;114237;197846;285043;27095;169310;66385;89832;214813;71831;499;227926;75319;144109;67328;297878;22107;97974;77010;147747;10206;38305;163604;82542;3149;31135;48732;120706;64165;68610;49045;74374;85884;37480;131217;128697;46896;17611
27;4812;8;144;390;357;67;22;1696;663;702;164;5;210;50;52;1648;0;384;568;26;262;279;1283;8;17;157;0;244;791;136;1707;591;41;33;31;48;458;42;586;18;75;56;0;280;852;129;143;53;345;1802;243;577;75;209;2920;46;442;1331;43;27;709;209;150;6;13;82;403;106;157;85;1293;773;28;865;702;128;265;183;1182;95;88;546;368;463;170;64;1511;238;641;734;851;274;84;1269;3003;1;755;19;940;1424;1466;318;372;2019;319;141;49;1313;207;4;4;283;107;767;41;320;3136;474;34;451;1945;254;18
2019;100800;287;16520;14877;11584;43956;732;15829;5203;18845;34824;190;14649;6573;2124;37106;1;23222;42143;8113;2653;6792;24632;3316;348;35550;48;19111;28890;14928;31364;798;25691;2148;8909;9123;50405;6987;3467;874;11045;3742;7;13172;636;1245;5732;4223;14224;38269;15100;31978;1079;20717;1367;4189;30490;26461;3003;8008;32095;19615;20249;4306;890;15121;54563;6822;53628;11062;10681;30436;4815;13110;4317;26837;7570;7266;14716;34423;17624;5379;4796;40938;8799;19457;26039;24139;25233;4676;32212;9610;7054;43586;12516;47;52136;5801;28200;11616;57688;3415;15695;3306;24153;401;2313;33804;5525;224;720;6683;11100;10268;3281;7673;15888;34291;1923;22783;21142;6740;1013
1953;52235;0;10659;7453;5595;43299;459;10305;2630;15607;26481;105;16713;5106;885;16753;1;11963;33608;6574;848;4637;11536;3432;0;24329;23;13260;23288;8669;19833;6;16283;964;4954;7390;31986;6485;1247;519;8683;3153;4;12341;72;358;3286;2536;6847;20886;16087;15215;252;18991;218;2360;26095;17002;2091;7786;27308;10524;4924;4938;347;10174;41570;4416;31307;4613;1644;11990;3755;6495;1888;16546;3381;3974;11544;32044;12867;2030;5434;20992;5271;15403;15972;21898;17456;2032;21065;5566;4997;26260;6452;16;41548;5463;20600;6072;55266;1153;8888;1476;21829;13;828;25294;4192;119;155;4186;8559;4635;1246;4469;10169;18847;1143;12812;17458;2869;380
572;33366;55;10027;7003;4177;36129;336;8299;2329;10770;19177;84;1988;4390;829;14636;0;7232;21382;5405;945;2620;9373;2161;74;21661;37;13371;21953;5951;16916;227;14424;943;4240;6127;23237;5120;1271;492;7546;1591;4;9186;186;479;2969;2117;6311;19363;11398;16076;363;12748;409;2302;16444;15129;1590;6432;19108;7503;3490;594;511;7073;22972;4056;30312;4219;1260;9501;3409;6308;1798;13876;2832;3822;8807;24588;10363;1975;666;18091;4742;12862;15085;19588;12718;1920;18626;5776;4046;14601;5329;13;27037;4118;15739;6018;39044;1193;8980;1087;13716;92;1232;19532;3279;106;466;2949;8676;3876;1515;4211;8442;12541;1167;7623;12736;2511;599
205;22415;233;6131;4583;3733;41547;244;6838;1655;9954;13042;49;1271;2085;741;12113;4;12378;18818;3576;639;1968;7673;1482;140;39120;36;7879;3786;9241;4976;1108;14327;709;6197;4251;23394;4092;769;292;4947;933;20;7275;864;327;1818;2540;4189;16446;10294;10529;252;7803;2100;2240;15741;11667;1184;5396;15679;5883;4738;12224;438;11203;27689;2839;27232;12610;4275;6017;1870;4931;1115;8319;2192;2210;7436;20337;10366;1376;2298;11233;3515;15769;12714;9432;9749;1061;12804;4118;2978;11410;4093;24;23578;2902;12875;4742;33063;693;5602;1826;7154;232;1652;13760;3004;73;752;1698;5321;2735;3078;2420;6550;8031;725;12766;10864;2164;514
974;46426;115;2379;3090;6782;8889;226;4681;3949;6753;2415;72;1609;926;587;4003;1;8837;16268;1204;1098;569;3462;272;117;18338;23;4529;835;6120;3288;277;5088;530;904;1280;20109;1377;925;308;2144;844;10;3117;289;305;1229;2016;2993;7199;3688;4355;247;5480;535;1743;8145;8379;468;1115;9963;6579;7722;736;473;5219;18355;1500;4157;10037;1571;2591;547;5410;2643;1715;3696;1570;5561;2356;4060;1303;580;2705;3103;4450;7226;3804;9731;2146;6387;2565;1124;14379;3036;22;19635;658;6638;3959;24941;1192;3197;1284;8656;141;2479;9430;1452;114;681;1283;2510;2133;3821;1449;4486;10956;555;9212;8610;3344;692
490;31464;1;2188;2562;3173;15314;89;3321;1202;4266;2151;53;1364;719;422;4766;0;5131;12885;922;449;559;3236;218;1;17776;12;3802;1251;4215;2303;35;7234;292;926;1046;14228;1288;465;237;1896;665;0;2986;79;159;715;1288;2587;7242;4215;4417;128;3483;270;1381;7443;7901;352;1339;9198;4450;6028;485;289;4342;13760;1059;5290;7132;2468;2659;315;3084;865;1319;1936;953;2802;2913;3873;662;439;2712;1900;5478;6995;4166;7720;649;8024;1853;1116;11282;1612;5;16481;731;7067;1917;23156;524;2582;1715;5017;20;1325;8927;1497;48;392;1347;1873;1298;2487;863;4037;7007;414;5099;5034;1822;367
186;22080;5;2416;2470;2570;16098;101;3058;1161;4315;2874;46;155;758;390;5415;0;5414;9772;1184;362;331;3825;241;14;13482;17;3782;1545;3914;2422;241;6097;307;1625;974;9780;1314;396;118;2144;361;0;2836;150;124;779;1123;2409;6514;4173;4742;108;2978;612;1101;7824;6215;395;1283;7356;3762;4210;1107;236;3901;14497;979;5951;4229;2546;3504;367;2505;815;2357;1714;1155;2729;2488;3454;691;394;3340;1980;5976;5271;3942;5538;719;6198;1816;1007;9281;2024;9;11782;663;5225;1894;18505;408;2563;1904;3459;31;798;5854;1632;42;207;1580;1753;1507;1245;1128;3663;6310;321;5580;3735;1522;313
291;50965;0;5507;6063;7935;35402;220;8921;3195;11680;7273;49;723;2469;1106;14073;0;18026;26883;3546;986;1145;9837;950;9;34311;3;9647;3888;10352;6780;97;11445;852;3697;3293;25248;3361;1143;212;5577;706;0;6581;196;311;2167;3115;5922;18025;11029;9836;289;8231;658;3068;21232;16238;1085;3791;20704;9476;11434;9946;465;11883;38490;2131;15512;13023;7728;8485;1380;6924;2139;6865;4219;2913;7931;8806;8753;2020;1702;11158;4912;13245;13642;9773;13015;1986;12944;4691;2455;26515;5431;12;33727;2262;15885;5497;45285;1123;6363;4516;9694;33;1702;16797;3338;55;340;2854;4598;4105;2526;2606;10457;14206;729;17703;11602;3639;612
