303498;294853;32552;72774;78386;2197110;583214;131948;509659;458513;202822;347154;70998;947591;306413;135890;1037197;59366;541437;3978;219030;387741;596376;279861;1148869;160062;626;140445;339788;62079;552883;50922;344578;36334;129557;747366;504498;61;161095;20595;423327;5655;22994;293314;269276;317803;170206;115977;193519
2604;4812;207;177;30;240;803;881;3251;2718;2818;224;49;390;351;754;690;1404;1812;5;592;3734;1838;3021;430;255;1;207;989;791;1337;99;1551;45;2735;293;1273;0;248;196;205;15;226;2664;6266;4554;2100;3360;49
54302;100805;1383;9910;2744;101753;74138;22753;74074;90248;21312;34076;6263;66531;23371;22485;72287;8043;112993;274;31650;80179;123045;54384;84866;11258;51;14429;70157;7923;75855;4482;69618;2778;21267;60233;94480;1;14374;2068;34272;453;2404;50707;59824;17794;30265;16658;17507
45524;52237;1;5402;906;83087;45439;11128;51291;69979;23355;27079;5709;54609;10044;10863;48065;2920;98320;149;22064;38214;79907;31549;58567;8226;20;10637;38864;2944;44236;1881;29961;1998;9677;53309;62049;1;9781;517;28133;253;733;42690;39242;9291;14885;7880;15482
32860;33366;309;4955;1635;71813;42240;9060;40914;51006;3084;19825;4106;41597;8167;8653;37483;2976;65228;145;20202;34684;50109;30420;42315;6070;19;9063;33109;3098;44079;2039;24178;1382;8574;44276;35878;2;7953;724;23238;179;956;31380;33169;3885;12746;7195;12553
29758;22416;1199;3241;2511;78527;21686;7303;15730;40379;10487;18783;2716;26681;15418;7550;33610;1850;56183;88;12809;27403;43216;25985;70070;4357;63;6755;21838;2125;29677;1944;16500;809;6249;31820;46830;6;4628;517;18496;135;636;28596;25345;15226;9899;4854;8306
19938;46426;490;2406;2748;20690;5371;9877;13452;25183;2879;9585;780;5425;17827;10757;8512;2560;39071;146;6556;11022;53402;14635;40465;3028;29;3119;19414;3496;13139;2529;5968;832;5449;10257;31337;2;2732;592;6215;174;712;18090;18182;4224;6256;8315;2172
13801;31465;12;1428;1793;29112;4900;5530;10603;25262;2115;8278;522;4948;10186;6078;8391;1007;35813;62;4918;11746;36309;12176;32356;2358;7;2445;15819;1503;13445;1407;6262;692;3135;11883;23955;0;2306;278;5929;86;356;11932;16378;5197;4428;2813;2057
11695;22080;143;1602;924;29372;6667;4834;9217;18623;1555;7407;552;5716;6617;4998;6856;976;30460;55;5650;12226;25397;10020;25198;2090;14;2490;13528;1318;13279;1220;7948;320;3381;10770;25295;0;2141;215;5991;72;267;10486;13273;5883;4830;2995;2152
33415;50966;85;4272;1852;64407;18544;12487;24126;54125;8400;19348;1840;15659;19534;13231;19618;2861;79448;65;14303;31759;68839;26952;67395;3943;7;6858;32380;3283;29086;2786;20724;587;9304;25673;71212;0;4723;617;16126;120;685;30259;36733;18098;12977;7900;6990
