439703;294842;5134;257883;53454;351769;259084;109485;40356;90680;179081;45275;242152;751;49341;440433;429857;54829;2030640;84810;54549;846478;42548;386732;309241;22080;359228;87879;945407;38737;519415;182700;75;198855;549855;110191;247188;237401;233108;932625;390573;21903;116808;648516;189234;249590;161843;326864;84575;6478;268021;122827;218112;541;194902;174008;152935;334693;247663;114846;54988;21090;19731;125598
1164;4812;14;2181;951;818;830;135;55;4128;153;104;3004;0;920;1155;1000;68;212;132;17;279;95;2663;1230;257;2636;578;223;31;558;1198;0;611;2271;698;4874;61;274;453;141;237;675;205;2335;834;2942;3054;2987;8;3572;714;224;1;146;104;259;302;2644;39;134;196;150;548
63349;100804;407;45122;7498;67386;53059;14611;3425;14797;16290;3743;50608;52;6602;105044;58911;5479;91171;4734;1616;58690;3690;54594;64169;830;70724;12130;49934;3316;63948;33543;2;32025;110033;19706;54781;17750;26391;62072;30761;863;21071;50105;20921;51627;25981;66132;13978;433;13240;17120;22332;50;10886;14252;10652;41997;45041;10788;7353;2235;2154;19719
44967;52236;233;37389;2722;36292;27403;10909;2650;6925;10680;1732;29733;23;2313;71172;33837;3512;75387;3281;465;49307;1579;38938;28408;5;44004;6578;34652;3126;39544;17080;1;29627;100797;8921;36111;16052;19685;40346;21654;6;10774;42854;23107;44914;9562;31240;6524;225;8183;9599;14037;20;4110;11693;7718;30632;37011;9750;3867;690;578;11728
27629;33366;166;27330;2719;19858;21964;9738;1549;6021;8958;1893;27999;38;2426;44652;34718;2820;65991;2429;1013;36539;1729;33422;22885;218;29544;6562;27116;2041;36655;15725;2;22283;69398;7646;30507;13058;19511;32587;17322;207;7956;37460;2982;30490;7455;27983;5959;215;2930;8467;9977;14;4131;9960;5990;20390;27551;7612;3540;887;761;11953
19902;22415;119;25274;1674;32626;15851;5624;907;4359;6144;1789;24639;46;1517;41845;23764;2160;71632;1285;1602;23987;1624;8896;15400;786;22594;4500;52253;1390;18649;11843;8;18915;58490;5719;23218;9760;10878;30816;17603;799;6983;27484;9190;24934;6611;21880;4189;146;14721;6615;13248;31;8972;7981;4475;20891;23759;4987;2408;603;551;7249
26957;46426;156;16655;2271;21575;16264;2316;910;4793;2425;3184;12054;29;2190;44317;9848;1057;17628;1545;1571;4684;2359;5459;5272;337;17985;4608;26425;449;4470;6360;5;7564;43191;6894;16945;2617;5146;4699;7238;315;9151;9210;2697;13562;3604;8967;4957;211;3442;9598;8331;23;11193;3062;2625;14132;16187;1167;1793;664;638;4059
18740;31465;81;10960;1004;13997;12749;1584;778;2101;1978;1588;10833;13;978;29748;10087;773;26103;1103;1026;4448;1251;4174;5582;13;17018;2530;22747;267;4028;5400;0;8597;40554;4430;15184;2740;4511;5462;6949;17;5212;10762;2068;13111;3202;9423;1956;78;4364;4347;5865;5;6666;2672;2198;11107;10794;1072;1049;330;306;3304
13809;22080;66;9516;881;16169;10720;2081;344;2406;1775;1199;8796;17;836;21271;10329;852;26786;924;530;5133;1068;4197;6959;91;12898;2299;17969;296;5758;5364;0;7681;33160;3693;12263;2809;4659;4807;5980;87;4622;9490;1424;11731;4166;9876;2342;71;4992;3993;5644;9;3639;2610;2141;8516;8713;1045;1173;258;259;3526
34142;50966;111;27594;2675;50304;25931;5727;653;6530;4659;2714;24059;3;2313;57188;21859;2260;58436;1776;978;13953;2334;11350;19060;53;36920;6558;50149;968;15987;14065;0;20555;85246;9455;33900;8116;12547;15072;14441;67;12097;22316;7849;31171;9266;26222;6198;117;16842;10946;15049;12;9526;7148;4136;21992;25634;3755;3171;660;705;8116
