194404;294823;150937;82883;101807;12498;165217;7999;25747;77426;171056;30401;1534259;166989;77953;308597;1298;105232;629528;292;95195;180499;67925;149992;15296;323361;364836;1175;174571;48;289871;57781;218145;246317;248141;68935;335266;131303;16286;206170;56210;162357;351087;566170;50022;284092;31333;140612;77973;267540;16070;319993;86383;37213;154902;38297;168392;106251;54032;8346;376382;236310;104848;153511;227748;47278;288740;355496;90336;69930;332801;147124;42195;22117;168806;11289;37262;519958;324746;99942;88718;38780;313606;819504;785029
1698;4812;108;197;997;145;122;12;32;398;1973;68;104;210;373;878;0;79;201;1;32;41;81;1341;128;349;1038;1;229;0;1993;648;2672;32;865;192;191;140;157;861;2745;3756;426;121;3389;1797;39;969;359;2226;331;1091;73;8;539;657;252;826;1800;22;2404;1182;3473;2478;125;57;137;942;106;410;100;1524;18;44;407;33;636;307;275;1905;648;53;748;207;250
42188;100804;12389;5567;15904;489;15298;524;1813;12351;38092;3206;55684;20380;11081;71596;94;5567;46494;12;9647;12898;4171;33389;1748;45159;38668;111;20050;1;57885;7865;12206;11074;50044;9857;22711;9187;1787;39663;9222;34569;49592;38845;1631;58726;2111;31541;10858;39875;562;76480;7168;928;30607;5579;20579;15422;8830;638;78119;48870;22347;26089;18295;2554;23452;70165;11962;10731;22928;24629;3845;2485;24893;538;5358;32364;34662;14262;14297;3278;54111;58280;52796
23977;52236;8513;4234;7111;6;10601;278;707;5628;24626;1577;52222;23350;6181;57629;40;2068;34468;12;8407;12175;4111;17740;463;22550;25405;53;14497;1;36124;4047;5325;6426;28645;5543;10823;5944;551;29945;3985;18724;28311;34805;114;26877;936;15882;6171;28783;26;61949;5995;230;27750;1976;14936;8892;3916;370;69677;20487;15485;20839;11234;1543;17942;46582;8968;4926;17438;20353;3875;1096;24145;0;1823;25863;31233;5495;7041;2569;33576;35434;36607
22098;33366;6929;3049;6203;131;8425;274;942;4541;21559;1376;43523;2779;6668;36038;58;2477;25970;7;6712;9688;1093;16251;610;19494;18025;42;14309;2;23154;3638;1887;5101;29380;5090;7295;5430;694;19053;3577;16147;26220;28274;471;24850;1198;11839;6139;24858;153;38551;4843;596;19685;2047;14280;8616;3617;261;51842;16180;12738;15656;7815;1550;14178;29402;8098;4118;13055;14917;2497;1084;17475;121;1896;18958;27314;4156;6510;1487;19949;33552;28766
18607;22415;4986;2354;4427;306;9024;170;847;3881;16455;1164;53385;8182;3637;32418;40;4723;16643;33;4270;7115;1148;13347;441;16445;12717;34;7993;6;16869;2760;12357;7283;16255;3411;17792;3864;484;19829;2519;13194;13945;24836;3159;19189;1108;9225;4106;4446;470;33779;3699;964;15567;1267;8619;6248;2249;196;39915;11225;9611;13459;12340;963;12025;24508;4541;3536;14562;13467;1726;765;15093;385;1131;14018;13905;3385;4613;914;30871;28977;48373
9285;46426;1844;1408;3107;189;4847;220;1198;5520;11808;814;13075;2376;2463;25645;52;6249;3486;16;1061;1660;1287;8149;510;13304;14791;45;3647;1;15064;7156;2537;1421;7364;2478;13868;2122;503;13914;2862;6443;3024;5417;650;6536;1708;11398;3045;2158;221;31905;1315;873;7399;2068;4553;5439;3634;208;26454;4184;6660;10238;6635;733;4448;30609;1829;5944;5889;9546;368;579;6039;180;1701;1751;5463;2333;3316;865;18468;5358;25110
9130;31464;1543;1459;2110;8;3838;98;672;3274;10891;607;20902;1904;2076;20861;23;3832;2927;1;902;1820;568;7419;243;11182;10643;26;3169;0;13534;2546;3795;1759;7855;1483;9047;1489;253;10531;1302;5041;2804;6977;285;7871;902;8113;1876;1903;24;24664;1123;521;7370;891;3709;2773;1175;94;25720;4434;5914;5640;5184;554;4148;19694;1193;2952;5913;5329;297;333;6916;3;743;2162;5650;1963;2184;708;12934;6245;21367
7359;22080;1410;1441;2363;41;3854;80;532;2691;8361;611;20868;917;2166;18081;28;2015;4072;3;952;1800;522;6122;189;8662;7491;22;3264;0;10935;1961;4272;2298;8043;1762;6645;1369;198;10111;1462;5937;4061;6397;788;7916;677;6871;1787;2195;68;19717;1137;275;6739;755;3445;3029;1383;104;17749;5714;5115;4770;4566;439;3830;13664;1641;2524;5521;4861;299;345;6401;23;614;1838;5477;2473;2180;331;14722;6893;16474
19015;50966;3644;2718;6453;38;9898;128;1104;6741;22190;1628;45193;8170;4174;46439;18;4538;10435;1;3398;5571;1362;15537;541;21301;18227;30;9227;0;30836;5789;14860;4736;16987;4503;20864;3001;492;28395;3934;16695;12806;14557;507;20391;1436;17463;5250;5837;71;51890;3111;492;17241;2050;8807;7770;3726;175;49377;14405;14230;14154;14063;953;10154;37304;4585;6341;12875;14222;1102;916;17121;14;1812;6858;13913;5472;6014;661;43372;17884;43443
