150472;294799;20560;78545;207295;9477;7171;96919;71397;66995;10643;290722;175739;24619;6059;36622;74360;187692;1619;338860;73773;19521;163267;226209;130943;468244;47936;61061;82065;128388;41567;110093;46068;140409;39249;270585;69862;37936;27;142761;26482;17543;85709;63565;16301;160131;326971;78041;2411;33159;69560;268181;121690;86820;100284;56741;41482;135299;32785;511304;58860;198936;21779;26729;176160;83353;84431;418926;133902;149934;157384;574900;116655;8204;33022;537542;85163;96645;149128;49240;21910;169;31416;141531;5272;179701;23051;141268;7744;5972;506245;87387;81701;179420;147486;1286064;683;42666;147593;88639;39871;107870;99920;75;64598;51949;77281;141348;16111;312;79842;20204;202599;21013;32896;50956;84270;213968;81708;25522;33174;9626;96416;72611;69708;38222;22759;54967;151006;6804;71964;75565;35597;19455;129117;30618;135569;153431;151558;35961;210835;21115
719;4812;430;181;167;12;20;513;744;830;18;937;442;27;20;131;24;35;2;157;368;346;901;1066;121;85;154;845;138;151;17;749;27;690;205;703;2117;57;0;60;25;702;61;190;595;57;36;36;3;138;173;490;267;608;183;39;303;93;248;135;2606;310;2;929;147;186;350;83;1261;1423;490;124;1723;11;79;88;774;197;41;86;33;0;8;744;8;1030;30;1600;118;13;135;22;1779;281;219;78;0;40;2239;288;3754;71;199;0;34;45;218;96;36;1;1425;27;29;14;148;20;1342;1047;339;969;605;18;1111;982;217;670;93;352;379;94;1933;264;221;274;69;33;374;450;205;237;1899;22
28750;100800;758;14622;22325;661;585;21354;10753;12253;704;25426;28626;3429;269;5376;8247;9914;133;26649;11970;2919;30190;45334;13387;25285;7356;11873;10270;8832;4518;23552;1947;24211;4031;53223;14937;5116;1;10753;1662;608;7797;8815;512;10703;25040;7656;174;5324;8604;59536;17542;16292;18827;3789;6537;11883;5254;31058;8487;34792;446;4304;18281;6328;14320;17578;9741;31294;30482;40500;18302;501;2874;33717;32227;6652;9724;4881;1811;8;2916;33655;246;40368;2240;32647;906;310;32805;6076;16116;24856;27109;46997;55;3402;29171;18922;1547;7100;12979;5;4798;3293;14040;11630;1603;24;3608;1293;8673;959;4807;1830;18150;42404;13227;3960;4490;814;21448;12332;14834;5289;3066;8506;29717;916;16531;14456;4531;3039;6941;2526;26488;35625;21562;5525;32034;1128
18943;52234;5;16684;18873;226;335;12166;8715;6303;207;17054;21107;2093;0;2902;6753;7594;78;17104;6823;915;19059;42451;11749;17186;3877;5965;6872;10163;4060;18326;2005;14309;2901;33506;10272;3750;1;6765;789;72;6416;4922;52;8537;10244;6405;90;3025;4856;48997;11170;6915;13787;2863;3815;7785;2144;20835;4195;18197;91;1827;17250;5264;6511;11019;1690;21990;27786;21911;15625;270;2436;29165;19968;4269;8948;2071;1397;2;3072;12745;0;19385;1510;18530;243;0;27925;5898;8450;21672;18982;44897;23;2193;12431;10469;252;4762;13891;4;4591;2072;13423;7230;645;12;1439;514;4962;669;2819;546;11406;39391;6569;1644;1681;248;14122;9379;7589;2114;1397;4134;23582;229;10633;6827;2504;1025;2443;1362;12934;28315;11502;2326;22883;671
17317;33366;226;1982;11538;358;229;11031;6314;6396;364;13500;12741;1822;57;2658;5554;6317;57;13095;7331;1050;11529;30482;10966;15769;3675;5774;6056;1213;3448;14788;465;8650;1538;24023;8494;3755;0;4775;990;184;6200;5108;148;7309;9237;5426;81;2694;4914;28846;11613;5764;9747;2201;3494;6870;1992;17805;3924;16084;308;1789;14864;3613;6068;9163;1359;17490;17947;22119;11142;293;1204;23142;13013;2476;7254;1749;859;7;1822;10167;42;18975;1110;16797;329;68;20174;4488;6869;12219;19534;37847;33;1819;10214;6057;437;4269;9971;3;3643;1988;9643;5371;567;8;1042;698;4188;548;2622;945;10734;27944;6117;1571;1604;333;12396;6934;4802;1963;1258;3610;18502;286;8624;5388;2101;1105;2295;1324;7398;17534;6890;2044;19763;677
10846;22415;985;1234;8761;281;172;7944;5977;5045;286;8928;17201;1097;127;1811;3737;6689;33;7971;4653;636;7488;24401;5692;23017;2540;4683;4231;13992;2085;11899;248;7803;1188;24139;6481;1733;3;7751;1052;693;3989;3237;598;5642;9547;2759;55;1764;3020;29595;6982;4217;7416;1489;1850;4678;1394;29064;2940;8730;475;970;7421;4332;4119;22073;4091;12292;16371;20022;9492;176;517;21905;9183;1998;6177;2460;501;19;1282;6220;217;13393;843;14832;199;115;13401;3246;5809;8355;8192;40228;28;2447;8919;8009;2413;3426;8581;10;2917;1393;7788;8297;521;20;1646;713;6342;265;1705;1970;9024;23372;3974;917;1151;235;9832;6289;4273;1266;972;2747;9534;184;7102;3929;1772;606;6082;1362;13631;15324;7288;1643;3016;435
5152;46426;255;1661;6179;239;186;5693;5143;4606;314;8986;9547;602;96;1268;1247;1844;46;1547;2626;1176;9392;16938;2502;8864;1851;3932;3139;970;429;5370;1011;6065;705;20497;4384;811;0;3577;1670;258;1625;2212;247;1520;6120;1057;95;1265;1338;23558;3943;1955;4874;731;1257;1650;2501;13443;3051;1969;403;2071;2683;1224;2356;11324;1563;8845;9231;2669;8388;205;654;2873;10575;459;1449;4117;478;15;205;2679;93;4250;342;6418;193;102;2054;671;3245;9731;2659;7878;20;1580;3606;6404;538;1344;3080;2;851;916;3080;4628;402;19;1211;965;917;360;1178;2090;5732;15277;2574;2182;1110;136;6397;5168;5136;1356;1023;5077;10417;227;4937;4018;4078;1047;6756;1189;9232;14246;7847;2637;1376;383
6566;31464;22;1429;4477;150;70;5443;2213;2756;170;6323;8100;370;6;826;1017;2161;46;1234;1998;479;7474;16024;2267;10140;1200;2305;2149;754;275;5417;400;5493;807;16333;4090;570;0;2957;907;64;1342;1636;58;1313;7820;899;39;618;1302;17363;3621;1893;4248;656;696;1314;1129;13062;1073;1970;193;625;2888;1257;1840;9259;2350;8271;8651;3398;4652;101;732;3729;8052;499;1693;2010;439;1;201;2803;1;5448;251;6370;93;1;1932;797;2349;6614;2780;14074;15;1168;3642;4115;390;915;3689;0;873;591;3021;3309;282;1;1764;563;853;286;636;1552;5079;14611;2101;675;588;103;6291;2357;3703;678;506;2526;5215;109;3808;3316;1384;471;4307;949;5002;10847;4989;1391;1263;196
5388;22080;212;128;3795;118;85;4524;2182;2319;175;4119;8372;465;8;813;1257;2513;28;2152;2168;364;6289;12270;1911;8163;1308;1982;2202;1243;324;4252;183;4814;1022;11256;3585;628;0;2733;596;120;1230;1595;97;1312;5799;930;35;817;1390;15597;3403;2257;3604;487;917;1304;1031;10213;1250;2634;105;670;2861;1612;2046;6930;2524;5378;8239;3898;3372;72;539;3492;5984;315;1718;1377;203;1;202;3566;4;5130;288;5510;71;14;2276;729;2801;4537;3706;15779;16;933;4580;4208;898;852;3584;0;895;506;3129;3229;270;7;1796;439;1546;182;749;721;3683;11587;2103;670;583;90;5160;2363;3309;710;553;1936;4663;79;3439;2820;1268;333;2336;753;6091;8261;4546;1185;1543;197
10925;50964;79;305;8948;250;155;10310;6712;6418;355;10636;23562;1252;3;2415;3704;5515;37;6074;5115;994;17295;32072;5142;18594;3351;5593;5930;11829;1404;12013;238;15283;2020;33393;9850;1681;0;8306;1333;155;3696;3488;163;4235;11411;3181;41;2059;3005;39882;8696;5510;9071;1243;2282;3496;2608;24182;3524;9010;174;1915;7595;4154;5259;22007;7416;15028;22244;11017;10177;118;866;9058;15069;1272;4564;3432;367;0;812;8699;0;12582;816;15270;210;5;6596;2345;7890;11440;7986;34486;9;2648;12026;13181;785;2147;9367;0;2312;954;7319;8351;788;8;4819;841;3544;319;1930;1284;10315;30263;5074;1779;1709;254;13240;7133;8058;1983;1418;5744;12425;203;9952;6627;3402;983;6326;2014;19681;21683;12666;2795;3942;439
