229349;294820;1257;11651;150232;337104;234917;23140;226325;103370;1508379;150705;120022;208724;36170;43738;167625;19931;60537;68017;606244;301;49;134352;39692;479410;147197;299058;116745;122879;8814;170355;248518;10626;177544;260140;545679;43739;110484;104764;305954;168286;813548;248892;205945;12605;47273;1315;304579;101964;56561;35791;301518;85620;41818;41944;812015;26277;298554;365131;24976;59717;7582;104422;34327;359544;144453;63880;100371;93325;191558;236317;54237;69687;55483;244660;62912;313908;97240;13571;140527;92202;69884;50219;305490;238051;19343;197071;99522;28007;230986;94430;12633;201462
37;4812;0;109;94;2073;657;24;1623;467;99;531;64;1137;1961;40;195;22;43;318;142;1;0;1885;10;82;1491;536;254;104;22;494;2151;23;1382;316;227;61;34;4454;2175;2018;231;101;215;182;3111;1;1034;2271;376;45;904;204;19;701;242;406;116;184;49;41;12;417;1111;1096;37;79;64;298;135;2514;1058;342;146;746;256;105;547;125;1974;22;750;510;868;529;55;500;2314;490;2885;222;164;322
10755;100804;91;1352;12732;67948;43292;1424;48824;20245;56721;29897;9708;42987;3963;2263;20279;1389;2611;8747;38746;14;1;23477;1041;33029;36493;50145;15776;7981;677;25430;38935;508;33817;40194;41360;4190;10710;22221;55535;38013;59166;20493;22538;464;1531;118;70443;17610;9011;3033;63597;5784;4057;5653;52432;4006;22343;25974;2842;7964;504;18924;5550;38788;10059;4566;4986;13094;17995;47460;7449;10579;6831;46271;9800;25057;17437;1463;25327;6981;10290;8380;71892;43453;1931;33529;18562;3874;12524;12245;486;13056
5621;52236;40;328;8514;63761;29436;553;26123;9529;53858;27334;8678;17650;1469;1381;23229;543;2556;5356;40356;14;1;18604;260;25740;22222;27132;10526;5299;396;24619;28858;0;16035;19646;28018;3008;8591;14098;34377;24029;37229;16043;17787;9;93;61;57900;9872;4111;2413;42845;4425;4044;2869;35711;1315;14242;13895;1369;6247;262;9386;2425;25075;9367;2266;1676;7634;13460;21637;3043;6651;3901;31178;5350;17462;8011;447;20117;6615;4470;3725;57747;26354;798;24886;10131;1307;5561;7513;10;8129
4665;33366;56;467;6979;46697;17507;792;23941;8144;46027;19471;6892;14087;1254;1384;2753;713;658;4440;29635;7;2;14064;642;21900;19803;24737;10275;4823;288;18045;24494;109;13863;15276;21599;2348;7067;11498;21341;21140;31473;11566;17466;134;446;50;36634;9547;3516;1391;26086;3217;2640;2511;29813;1394;9409;9213;1281;5752;256;8256;2290;18530;7302;2127;2120;6379;10602;18710;2714;6219;3622;18618;4922;14006;5972;589;15422;5089;3951;3336;36432;27433;739;23837;9652;1395;1986;7783;116;5704
6614;22415;39;320;5112;36929;23495;748;19032;5659;49887;15426;5771;9890;1256;848;8420;595;549;2295;19753;36;6;12095;1078;19913;15487;13982;5800;3461;211;15856;4650;350;10874;13325;13285;1661;5418;8970;18277;16034;29034;10905;9411;321;2987;33;31677;7887;2730;816;20321;2534;1814;1855;48978;803;17128;20930;931;2937;165;5768;1301;12764;5107;3187;4459;5058;10366;15462;1991;3848;2717;24150;3216;14028;5531;421;12975;3647;2652;2490;32362;13793;627;12032;7931;907;12357;5140;342;4562
1225;46426;50;359;1801;26242;14807;960;9252;5247;10232;7287;2029;3709;1249;653;2333;882;1278;1741;3463;16;1;8792;985;5829;9661;3261;2948;1763;210;6078;2128;163;4622;12750;2570;750;2030;6191;14075;11709;5324;5097;4362;193;609;50;28914;5514;4803;799;28385;1476;371;4468;24191;1347;8997;14210;678;961;215;4645;2488;14180;1195;4227;5591;5598;4612;5793;1850;2111;2152;16034;2531;5908;8433;387;9296;809;2172;4266;26725;5537;486;6981;5673;1344;2744;2926;187;864
1351;31464;23;165;1487;24088;10584;563;9998;4394;17382;7218;1950;3965;606;492;1882;469;548;1735;3640;1;0;4688;583;7955;9663;3192;2450;1222;100;7050;2015;3;4602;9410;2135;543;1838;5479;13678;10868;5835;4779;3767;11;260;27;22908;2803;2276;673;17652;1484;259;1402;22385;617;6961;9717;388;630;92;3638;751;10391;1153;2406;3549;3268;4045;6336;970;1209;1473;11489;1412;5477;4521;201;5294;889;1325;2011;21572;5718;335;6676;3095;585;4105;2229;19;935
2012;22080;28;144;1345;17232;11548;435;8211;3768;18981;6513;1976;5044;652;388;942;391;336;1923;3237;3;0;4148;319;6869;7266;4149;2528;1096;104;6515;2368;20;5170;7592;3526;559;1994;5025;10461;8455;5778;4156;3940;48;712;26;18129;2925;1980;301;12371;1520;295;1294;16798;459;6184;7687;422;740;76;3430;881;7554;1123;1448;1878;2979;4212;7170;1079;1638;1347;12368;1700;4795;3675;159;4642;822;1480;1684;17767;6433;335;6000;3007;481;4654;2173;43;647
4286;50966;17;385;3550;45429;33324;869;20013;9071;42350;16636;5156;12609;1601;847;8272;821;579;3516;10615;1;0;12516;560;13990;18301;13297;6771;2434;185;17767;6095;12;13068;19280;9057;1489;5541;14165;32264;22566;15746;10006;10412;50;435;32;48143;8428;5036;588;33451;2840;1145;3568;41818;1315;19113;23579;1108;2519;121;8176;2416;18604;3761;3688;3963;8224;10421;18715;3002;3935;3883;35079;4303;11437;11728;374;13640;2714;4061;4368;46436;13807;963;13890;8594;1296;15529;5297;31;2543
