1571554;294818;109566;120263;508353;13893;26701;210360;52;248469;502;94577;227617;372613;227841;48890;621371;9590;112899;339202;410641;14565;43253;104389;76668;25388;419828;121386;128829;11254;144282;1606;67646;4284;307070;89233;213162;31379;236386;319755;85950;707040;197298;14187;69901;43276;613156;55978;76060;118644;33541;236912;13252;139072;40370;22753;451460;27643;178431;46601;150899;85653;148390;246008;114350;56035;260927;226086;187135;849010;117868;117174;58848;75987;243977;288871;156924;54351;109997;380222;266630;200397;232;85289;169184;71961;51203;134922
117;4812;1949;97;104;124;38;608;0;1130;0;1553;456;114;398;16;239;23;24;2496;1174;134;1760;416;283;25;1433;63;405;31;665;2;91;5;882;50;2900;535;671;414;168;331;68;242;193;56;155;459;151;1573;568;1678;178;163;53;50;150;42;3900;13;201;571;1876;44;3173;1511;1500;2372;713;255;143;620;1691;132;1186;205;841;42;1832;2532;141;166;1;74;698;448;3570;328
59601;100803;18102;6761;38318;1593;1859;33335;1;47202;37;15159;43392;25935;14523;4534;44045;728;8257;63303;68522;1578;6993;17197;10644;1648;96943;9331;8757;528;45440;134;4241;302;62067;9415;15323;4255;44531;44757;11730;60655;14375;509;9875;2293;39418;9149;7223;23765;4973;50056;500;10052;4118;2552;26778;2134;37303;1264;18468;13267;33061;11693;24309;8064;54151;41314;37073;62229;10087;19674;7958;5594;48966;26526;29457;7183;21304;47252;23067;18885;17;14754;35507;11543;1683;20825
56209;52236;9848;2785;26064;403;1260;32027;1;41447;13;6803;29837;19504;9331;4531;31378;435;7826;43138;45238;470;2932;8611;6214;693;79390;8406;10045;0;25901;78;4052;163;55614;7720;2973;1393;22463;25034;8281;41342;12820;21;5673;1365;41955;4009;3164;12833;1735;27723;7;6503;2396;1140;16105;884;19100;323;13747;7129;21807;6469;17470;3776;25483;36360;27590;39238;6645;9194;3294;4561;21086;15803;21449;5603;15879;30921;17092;14022;13;16850;18490;5215;131;13936
47803;33366;10069;2867;22269;550;1015;22758;2;27993;28;5384;29372;14663;6738;2991;23553;329;6047;29968;27315;627;2791;8201;6201;937;50584;6653;1221;122;18378;52;1205;143;36901;6277;2373;1444;13252;22636;7136;32397;10141;135;5126;1380;30770;3667;2940;12453;1820;25639;139;6026;1955;1119;11314;1033;15898;782;12549;7705;18992;5480;14428;3361;24165;26524;26010;33384;5710;8424;2857;2778;16514;10197;13797;5135;12289;25941;13244;13442;7;1979;13959;4356;486;12236
52699;22415;8141;5763;20305;385;614;20141;6;26006;41;4212;12537;17798;5274;2022;15334;231;4662;23938;22458;451;1703;5431;4061;818;44307;5604;13793;388;11828;32;1194;100;31929;3271;6378;860;23439;12149;4820;48282;9057;396;3528;867;21330;2638;3603;10716;1159;20582;349;4666;1531;782;23654;928;13091;1294;7611;4602;14868;7486;10789;2239;17737;21747;12524;30910;3974;5969;2150;1605;11569;17470;14401;2699;10309;8137;11361;7790;24;1399;10701;3687;3245;8216
11846;46426;6998;7342;8780;442;551;8723;2;16918;26;3008;4647;7772;1501;413;2918;228;1043;16536;30301;427;2665;3893;2722;1240;40726;1944;1096;176;14967;56;1242;154;20011;1311;2586;1262;15823;2596;2393;26588;2678;198;2632;668;3924;3882;6370;7641;1958;10025;202;2370;797;608;13928;1244;6132;1196;4107;3102;9892;1660;7463;4887;5869;15652;7833;6055;1632;3674;2138;1422;4480;11772;11106;825;7116;6039;4773;3289;7;1743;11760;5560;663;5195
19264;31464;3591;4393;10466;206;517;9686;0;14275;8;2014;5040;7334;1332;323;2494;96;1202;16356;21028;217;865;3113;1698;641;32536;1846;945;3;9999;43;584;67;18975;1016;4102;581;9221;2375;1406;22332;2797;22;1575;515;4293;1826;3117;5586;811;10806;10;1642;586;343;10531;701;5459;782;3214;2323;9372;1810;6686;1539;7135;11006;7748;6710;1590;2838;1140;1227;4733;8157;7578;526;4109;4412;4162;2757;0;1347;8829;3087;278;4113
20263;22080;3381;2339;8211;169;235;8627;0;12901;10;2362;5774;6614;744;346;3670;112;1104;11427;15274;182;1055;2991;1759;519;25547;1866;1502;22;8384;29;554;57;16498;1137;4289;439;10562;3472;1891;16295;2845;56;1824;385;3766;1701;2183;4490;672;8640;44;1613;636;362;8312;583;6425;404;2892;2603;7532;2362;5681;1522;7121;8294;7013;6696;1488;2974;1311;988;6096;7206;7268;644;3607;4092;3806;2838;2;119;7543;2522;791;4153
45190;50965;9349;5798;17787;471;437;23528;0;33686;1;6140;12494;15710;3031;1305;9248;202;3517;35632;39480;419;2904;7227;4998;1046;67946;4849;12153;14;19627;41;1433;75;43200;3687;11770;1367;33731;11373;5021;41424;7436;51;4784;842;11784;4544;5592;12126;1820;21323;44;3555;1702;963;26093;1289;18029;723;7566;5197;19805;5070;15153;4167;17841;23239;15822;17333;3337;7803;3415;1694;15270;20177;20461;2179;11083;11647;9753;7948;3;587;18884;6448;500;11244
