1277092.000000;1306135.000000;795330.000000;38098.000000;589216.000000;203.000000;75985.000000;687321.000000;557577.000000;25296.000000;337983.000000;193453.000000;50270.000000;101553.000000;731584.000000;175710.000000;1053017.000000;254797.000000;1219202.000000;2110285.000000;192497.000000;294100.000000;493459.000000;236841.000000;321992.000000;354533.000000;344214.000000;383431.000000;646117.000000;13803.000000;1138240.000000;531127.000000;1469925.000000;1498019.000000;97107.000000;1201711.000000;159692.000000;2408.000000;1295032.000000;37006.000000;626629.000000;130035.000000
5238.000000;12012.000000;979.000000;691.000000;2628.000000;0.000000;213.000000;2638.000000;7631.000000;65.000000;1288.000000;511.000000;760.000000;2851.000000;5944.000000;4556.000000;7266.000000;554.000000;4217.000000;789.000000;286.000000;5512.000000;9587.000000;5268.000000;2020.000000;587.000000;4942.000000;6983.000000;1421.000000;44.000000;2803.000000;1480.000000;721.000000;2980.000000;64.000000;6018.000000;406.000000;6.000000;2010.000000;481.000000;547.000000;650.000000
261397.000000;293747.000000;103126.000000;4124.000000;97049.000000;64.000000;10148.000000;150538.000000;124817.000000;2773.000000;60502.000000;19200.000000;7796.000000;18770.000000;177242.000000;34430.000000;127553.000000;34460.000000;171634.000000;142052.000000;25608.000000;54188.000000;111794.000000;24638.000000;60845.000000;36525.000000;73276.000000;39227.000000;103967.000000;1749.000000;167232.000000;72930.000000;140829.000000;264305.000000;7447.000000;264982.000000;19023.000000;404.000000;141746.000000;5831.000000;70327.000000;21377.000000
162972.000000;153045.000000;60445.000000;878.000000;63654.000000;13.000000;3866.000000;69540.000000;57861.000000;1450.000000;32665.000000;12237.000000;2300.000000;7259.000000;91523.000000;14968.000000;78303.000000;22796.000000;98198.000000;100074.000000;15616.000000;27712.000000;83140.000000;26722.000000;32397.000000;22965.000000;34040.000000;15742.000000;57707.000000;862.000000;115132.000000;40906.000000;66531.000000;143410.000000;2444.000000;155455.000000;11171.000000;130.000000;84179.000000;1865.000000;26282.000000;8830.000000
108123.000000;105997.000000;40663.000000;351.000000;39056.000000;4.000000;3225.000000;58188.000000;48799.000000;1000.000000;29528.000000;7800.000000;1962.000000;5780.000000;69002.000000;11674.000000;56873.000000;17424.000000;84049.000000;83616.000000;13082.000000;19642.000000;62524.000000;3505.000000;20379.000000;19390.000000;27292.000000;10659.000000;41289.000000;531.000000;75348.000000;34457.000000;53234.000000;101750.000000;2370.000000;103586.000000;7730.000000;108.000000;63444.000000;1617.000000;16058.000000;6669.000000
77226.000000;89471.000000;45764.000000;1410.000000;50434.000000;35.000000;3321.000000;35390.000000;37144.000000;774.000000;17840.000000;6233.000000;1604.000000;3897.000000;53345.000000;8173.000000;38407.000000;14409.000000;60900.000000;63689.000000;8617.000000;14291.000000;48889.000000;14395.000000;20861.000000;15045.000000;20788.000000;15034.000000;39956.000000;507.000000;107772.000000;24076.000000;90770.000000;74614.000000;3450.000000;88814.000000;6161.000000;131.000000;40344.000000;1189.000000;37398.000000;6181.000000
49732.000000;105377.000000;36653.000000;1183.000000;34269.000000;15.000000;5107.000000;16804.000000;22072.000000;886.000000;15480.000000;5390.000000;2216.000000;5978.000000;51766.000000;9785.000000;38360.000000;9135.000000;39492.000000;37502.000000;4292.000000;25737.000000;31157.000000;3793.000000;25728.000000;8048.000000;14715.000000;7093.000000;33176.000000;508.000000;55288.000000;15771.000000;52278.000000;77229.000000;4984.000000;110975.000000;4222.000000;133.000000;20300.000000;1551.000000;37924.000000;10865.000000
42069.000000;78198.000000;31216.000000;704.000000;27705.000000;4.000000;2684.000000;19858.000000;21869.000000;870.000000;12321.000000;4777.000000;1031.000000;3026.000000;45674.000000;5935.000000;27837.000000;7610.000000;39094.000000;36686.000000;3602.000000;12928.000000;28752.000000;4812.000000;16067.000000;7138.000000;12676.000000;9011.000000;27403.000000;343.000000;56034.000000;14318.000000;45651.000000;65283.000000;2913.000000;88098.000000;5075.000000;65.000000;17864.000000;774.000000;26020.000000;5556.000000
34457.000000;59941.000000;26568.000000;724.000000;27956.000000;7.000000;2428.000000;20422.000000;21414.000000;613.000000;12188.000000;3754.000000;1022.000000;2947.000000;37945.000000;5702.000000;22622.000000;7133.000000;34447.000000;34166.000000;3206.000000;12590.000000;22964.000000;5241.000000;15635.000000;6436.000000;12554.000000;8572.000000;26119.000000;240.000000;54044.000000;12182.000000;38329.000000;54064.000000;1850.000000;70862.000000;3644.000000;87.000000;18401.000000;710.000000;21766.000000;4945.000000
84203.000000;135924.000000;63250.000000;869.000000;77160.000000;15.000000;5948.000000;49512.000000;53108.000000;751.000000;27263.000000;6339.000000;2586.000000;7641.000000;94951.000000;15043.000000;60056.000000;17944.000000;79857.000000;83291.000000;8750.000000;30969.000000;65613.000000;12477.000000;41466.000000;16389.000000;31832.000000;22309.000000;61154.000000;488.000000;142361.000000;31594.000000;90672.000000;126556.000000;4394.000000;181821.000000;5969.000000;113.000000;45182.000000;1745.000000;58008.000000;12339.000000
