117835;294821;45594;185994;110475;170984;136055;290509;193888;422592;194465;405975;315795;738811;16966;432890;9804;1432955;337468;289703;111623;355941;10747;63746;272;850;94133;68307;126180;147626;41947;182784;152703;163120;49;254813;151253;163663;291078;17977;36474;101420;241825;376760;67899;75690;416977;46494;419428;13722;97002;244396;259178;19372;42734;33023;90876;554861;415877;152816;290954;38229;246680;188770;1444;4485;41824;717929;210674;65392;12530;51427;278978;1305903;45743;63538;196475
1276;4812;11;839;1541;221;81;1086;537;302;2286;387;259;259;140;500;25;166;2075;163;534;240;21;23;1;0;584;1522;244;2900;56;5096;174;154;0;32;144;1062;3593;152;66;268;857;2589;81;355;1073;3127;1098;279;32;2336;525;27;643;36;509;202;1568;1939;951;2003;3123;137;1;7;586;140;1341;1899;112;125;1388;193;50;84;46
20148;100803;1226;38264;17827;20548;10346;63709;31019;49904;35223;46318;32466;54045;1858;27808;757;77994;72640;26161;17033;36065;513;5871;13;69;15609;10185;9380;25444;4237;40125;18321;13991;1;11572;9394;36002;58979;1964;2905;11295;49630;49799;2914;10427;63336;1570;102892;500;11203;51595;40090;1301;6176;2175;15585;36806;78378;25701;56190;2906;15268;17767;124;311;6127;46110;43640;10729;496;6876;61281;55808;2483;5186;13315
9422;52236;321;21267;8297;23522;8905;33396;29282;27217;29292;27943;18871;42349;490;18048;462;56934;47125;20322;11421;26728;0;5654;14;24;7439;4814;6923;14971;2548;26121;12694;9734;1;6781;3610;17877;28634;602;1215;7425;44637;33439;2577;6018;45667;105;77970;21;9481;35867;32092;862;2186;969;7469;22963;67907;20484;41504;963;6349;12759;70;162;2198;44256;24211;4906;4;3598;25613;42863;1503;4074;12420
8269;33366;764;19829;6898;2793;7240;33978;21340;23968;22096;24629;12079;31915;650;12812;335;52692;29202;16193;10886;18736;106;3960;5;44;6055;4376;5461;15413;2050;21903;10953;9725;2;5375;3744;13168;24875;781;1423;6029;30305;27931;958;5798;27540;447;48797;151;7857;29059;30898;727;2221;1243;5752;15530;45540;15373;25630;855;2760;11090;51;143;2328;34877;22138;4439;115;3310;21130;37756;1495;2466;10069
6236;22415;1265;13582;5334;8917;6355;18726;18287;20121;18614;13458;20509;19856;468;10519;238;47243;23421;12943;6351;20093;359;2662;33;35;4913;3036;5075;13176;1578;17259;8264;6246;6;7572;7105;11047;20566;548;1381;3548;24805;7895;578;3938;20328;2890;45219;341;4526;21210;14812;436;1314;1186;5006;31512;44623;14098;29527;1257;12764;6540;36;107;1416;29421;17070;2927;331;2238;13993;58998;963;1434;8111
4453;46426;1154;8764;3767;2370;2188;7109;7749;14005;12922;2836;12935;4027;534;2898;233;8736;21540;5091;3195;11682;163;537;16;34;6875;5913;2188;7991;750;12043;5005;3301;1;1493;10126;13795;8210;563;1897;2011;13725;5464;1361;3054;27728;607;44896;197;1345;14232;7315;387;1985;1782;6871;17903;30053;10216;19680;928;2982;2747;50;160;2299;4813;9048;4684;196;1636;5112;21677;700;1218;1889
2900;31464;745;8335;2448;1914;2107;8020;8683;12528;8276;2333;8813;3614;255;2747;106;12664;18462;4700;2391;9581;3;442;0;17;3787;1992;2014;4926;581;10892;3644;2224;0;1844;5618;9230;8675;289;1077;1937;13423;4125;713;1850;18599;259;31271;25;999;13729;7870;432;898;944;4088;13361;26482;5311;15462;540;4411;2228;32;64;1007;5883;9107;1531;14;938;5385;26830;516;749;2128
3173;22080;394;7175;2813;988;2151;8192;7840;9726;6811;3627;8358;4687;207;1837;113;15327;13968;4364;2851;7796;23;457;4;21;3325;1978;2284;4497;625;9181;3917;1976;0;2387;3124;7863;9569;230;877;1988;11678;4043;469;1809;13500;720;23087;47;1164;9059;7463;164;738;695;3333;11111;23823;4785;15576;672;4899;2132;27;50;844;5402;7782;1838;35;1084;6783;22020;406;619;2137
8724;50965;693;17476;7457;8561;5757;18127;20898;23580;19445;11754;23971;11964;578;6389;210;34916;43881;11538;6584;19417;10;1776;1;11;8454;5313;4937;13017;1692;25812;10489;5270;0;4859;8178;21321;25674;570;1908;4130;30803;11200;804;5102;33351;446;61856;80;4040;25272;16798;301;2143;1517;8687;34591;61250;14563;42763;1422;15917;6361;36;75;2323;14589;18712;4806;22;2929;17554;49810;925;1144;6103
