733137;294823;68086;104764;218340;275;7619;61856;183164;260602;437009;21652;180431;1222;155811;1258311;46830;83550;334120;251859;54501;48980;193208;325637;38146;272892;16790;82054;14297;41;608406;114671;312163;178215;21645;26945;404412;238489;179291;68511;95562;74751;157863;271262;105698;33434;193822;306123;99022;530570;236575;358562;138625;476807;243472;38537;171169;144440;318186;26837;658418;320761;1370902;383675;99171;100759;52591;8795;378048;1191;183287;39094;178565;84809;139011;87041
230;4812;2539;298;1491;1;12;1914;644;826;340;234;1405;0;258;195;22;196;964;3837;62;11;2384;2426;751;140;170;69;133;0;125;4323;1104;482;239;41;2351;156;675;546;145;138;2181;3674;1456;83;44;1352;31;179;104;449;2314;124;748;52;207;220;957;36;373;2261;191;823;126;1441;129;22;1035;1;1896;729;2370;318;143;536
52347;100804;10274;14941;44003;12;508;9747;37355;49871;47983;816;37154;87;17297;55140;4257;5614;70578;14016;2994;1354;21205;46931;4833;22706;1811;6879;1624;1;42983;24507;60353;26822;848;2102;81606;20715;36760;11146;7593;4658;27120;54726;16877;3661;14519;64296;10183;29999;18589;38220;21971;28834;49581;3220;19560;18176;72657;1955;40485;61090;79453;82273;6978;15283;7035;667;46626;111;33305;5514;40582;11619;9729;14598
43456;52236;4612;10266;24386;12;266;4387;33161;27209;29586;3;19517;37;10905;42166;4252;4269;45792;6117;1885;368;23401;33671;1625;16605;549;5792;404;1;34209;16225;30288;25777;6;871;75255;16807;23181;4952;3614;4248;21693;26384;7863;1837;13182;28058;8862;17131;12740;26549;12417;22788;25665;2499;14701;12256;56134;755;29406;37714;57980;67195;2772;6733;3755;392;34394;54;27248;1859;25805;6715;6285;6908
32110;33366;4113;9983;22217;5;258;3946;23177;15781;26027;212;18090;57;9579;36335;2800;3055;29244;2581;1837;824;3041;29257;1721;13137;698;4663;550;1;28602;13430;30932;18780;203;1046;55014;15274;14269;4509;3195;1362;16407;22727;6462;1564;10627;22786;7098;12158;9188;26821;12849;17470;20759;1472;13799;10985;34851;999;22161;23961;53499;41070;2959;5622;3490;284;22881;42;20025;1951;22511;6762;5750;5626
20867;22415;2762;5493;17450;35;166;2608;18297;25337;13596;777;14637;38;5902;58961;1915;2315;23546;14325;1148;1402;9313;6333;1092;13892;485;3495;382;4;25583;10244;19744;16319;802;893;44074;9178;16463;3329;4960;1408;14225;18807;4981;1296;8010;15663;4446;28423;12730;17673;10589;19431;15070;895;8177;7623;31035;887;19327;18902;46802;39940;4502;4124;2283;206;14442;34;17361;1181;17205;4532;4095;4328
4219;46426;4436;2488;9040;15;217;4170;9154;17439;2848;331;8328;49;2892;22716;422;1430;29310;2994;825;1264;2780;3287;1580;5783;495;1256;444;1;8037;6970;6731;6453;311;1408;30371;3417;12536;4726;6990;1406;10377;7630;3526;976;2021;5430;1126;18223;5797;6946;9773;7091;15452;858;4174;5096;29189;1302;2528;15504;9314;31401;6948;3087;1647;213;17462;45;11701;1760;12253;3173;2231;6217
3868;31464;1589;1774;8860;1;93;1318;9332;10869;2432;11;7252;22;2500;26854;331;1472;19003;4313;652;855;2092;2741;626;5175;252;1087;205;0;10141;6113;7691;7465;16;736;28772;2877;8954;2534;3711;704;5683;7775;2300;680;2161;5741;915;13118;4999;7322;5306;7413;11997;711;3425;3569;22217;720;3132;14590;12380;24590;3709;2076;993;97;12393;26;7487;761;11382;2008;1573;3476
4670;22080;1786;2234;7527;2;78;1598;8199;12061;3791;84;6337;26;2305;21551;335;1452;13881;4866;514;430;1478;3018;556;5080;205;1087;166;0;8501;5491;8153;6862;88;614;21007;3087;8994;2112;2241;711;4804;8872;2619;691;2180;7293;1009;9776;4643;7250;4345;7276;10078;326;3094;3805;17242;563;2475;11485;14732;21664;2320;2370;1138;106;8702;24;6583;632;8874;1986;1491;3092
12304;50966;4518;5524;18831;1;122;4220;21136;37589;11943;48;16596;15;5416;49922;1239;2753;37368;16316;1120;780;8199;8158;1533;12666;494;2935;479;0;18332;15202;17402;18394;66;1286;56064;8857;25672;5595;6282;1744;14521;23539;6963;1861;6406;19180;3625;30167;13365;16655;12668;16638;24406;643;8040;10175;46409;1173;8732;33631;34471;55813;5620;6227;3019;185;21030;30;18955;1848;23857;5667;3242;7754
