97749;294801;60149;18887;66651;190788;39195;133085;76141;66286;7480;395740;142774;124697;51294;487998;163748;19216;58798;91891;467885;37;130497;26107;231378;11462;96288;65559;146417;183;215255;83382;652;432975;32319;185134;142588;3894;102160;13561;36266;155046;38648;119163;697;13137;183959;81864;45538;15250;53872;3081;100294;126563;34093;495094;83388;90490;225196;73199;215050;98963;81423;90581;896799;102191;498100;125081;264339;44363;198254;106211;27206;41241;131152;835809;36865;235560;73748;39717;216402;79869;88226;451969;176432;66407;9730;34615;18361;25608;175729;152612;141396;88909;25143;322659;101905;57367;78809;90867;50022;45706;122948;30424;21646;135229;96556;100503;65085;239672;229050;7721;68133;11869;141324;172137;79731;33963;225070;142254;20392;270364;162820;18213;23751
180;4812;100;361;171;1164;148;865;36;423;51;157;312;61;377;99;424;6;291;23;124;0;443;3;525;95;2013;2718;104;0;76;2361;0;78;1863;486;1005;12;214;20;599;335;55;90;1;16;239;1120;13;31;32;4;253;175;166;163;1055;568;1236;2989;26;1077;185;1959;70;86;116;1624;145;239;80;1350;876;55;399;60;655;566;61;86;2233;187;370;110;101;890;82;243;43;725;625;64;33;192;35;1084;453;159;287;600;51;43;96;1596;25;1446;1597;657;36;1485;490;56;413;34;529;1644;31;605;96;422;359;861;1107;18;25
12896;100800;5916;2736;8452;39933;6187;27954;5607;10922;335;31614;37797;11171;8043;29195;24969;1814;7822;6465;30919;1;27155;553;36758;1222;4862;12562;13676;8;13310;16713;48;29450;1066;39437;26854;313;7045;817;4994;24434;3314;10453;65;844;24308;14936;4408;1481;2083;220;18463;17024;4765;34446;15165;36324;42387;15313;9572;26552;5158;14621;37087;6561;25006;8367;27070;6442;9577;24053;4622;3677;8956;32307;4960;49552;8608;4731;43403;14640;15617;30326;16346;11612;1138;5533;1913;3940;38256;11070;9177;12281;2434;28272;17621;8439;12872;15739;2705;6105;11602;925;1304;29724;19115;17801;2716;47200;49144;325;10662;565;28858;30606;8640;4298;21439;25074;2957;57692;32122;1035;3181
13989;52235;2555;877;4888;22493;3291;10701;4987;5841;3;20851;22480;9055;4743;31081;18901;1983;4865;6356;21250;1;19663;112;26452;362;1582;6093;11424;6;8118;8869;23;23203;90;19412;18495;194;4206;430;1912;20510;1872;6998;20;491;18733;11615;4130;571;2020;117;17863;11961;2653;23871;11778;22997;28411;10896;5289;16667;3993;11546;32507;4371;17155;1490;16770;2748;3799;15009;1984;3093;10256;29411;2526;43795;6585;2669;20307;16698;7402;18474;12094;5970;270;2237;778;1700;19589;8632;8684;7973;1623;17999;9627;5066;6103;7054;1766;4761;7557;46;497;20265;11470;8281;924;45167;32227;2;4902;0;22823;22317;6780;1638;5343;13265;983;50182;23989;384;2007
10062;33366;2145;956;5010;20395;3134;8781;4091;5767;84;17340;10412;6542;4442;21922;11781;1092;3740;4885;17110;1;12034;379;15158;506;1197;4896;11188;3;6023;7444;37;19589;327;16120;12759;133;2637;426;1849;17255;1630;5955;18;468;18336;8949;3184;518;534;101;12211;11740;2521;17629;8891;16092;17722;8834;4381;14241;3114;8529;29742;3887;14690;1091;15080;2383;3384;13296;1887;1572;1230;24893;2137;28147;5753;2331;17718;1981;6543;15415;9211;6027;382;2084;766;1650;20629;7664;7013;7247;1185;14941;9547;4785;5661;6062;1631;4483;5642;245;734;17034;11173;7117;1367;32774;21632;79;3891;130;14478;19691;5622;1647;4190;7888;1054;32993;18440;638;1694
8408;22415;2994;641;3150;15680;1876;6290;3326;4080;145;13279;14094;5836;2572;16046;16054;760;2028;3587;27360;4;12664;603;11873;345;2166;4023;6288;27;11338;6254;32;18487;1810;10582;7442;99;2148;277;1290;7791;2107;4507;24;281;9393;7687;2032;476;403;72;9944;7129;1634;12066;7746;8414;15381;6728;6606;11105;2819;7362;27556;2776;27819;3660;7515;2102;9497;10665;1007;921;14147;32375;1572;25453;2769;1906;14912;1297;4510;16661;8264;4686;262;1483;590;1008;11819;4984;5619;5208;897;9161;6401;3337;3781;4342;1045;2338;6940;1747;696;11700;10145;5313;2640;26049;21004;159;3373;389;13829;2352;3997;1014;5578;14298;589;28394;14955;524;1100
2952;46426;4859;1133;2062;7617;1378;2403;1064;3686;120;4203;12817;2607;1491;2122;8300;119;1532;766;12749;1;8858;517;15362;297;1394;2976;2766;12;5256;3772;22;5704;444;2748;5943;117;491;294;1231;5516;2103;1377;27;301;3637;5410;393;363;1137;114;4128;4290;1405;2268;5591;13289;11967;4537;953;7764;1358;6178;4592;1362;13554;1505;1527;3356;8379;6986;1904;855;1023;8615;3690;17532;1266;1455;5083;1689;3634;2147;3317;4714;261;2689;475;2445;4093;1657;1212;3478;400;8924;3533;2442;3040;2494;658;755;3930;395;894;9404;5061;2593;3126;19905;21350;127;7072;173;9677;890;1600;1119;7339;9359;995;23027;7704;729;539
3563;31464;2412;464;1499;8636;840;2557;1006;2219;3;4037;8054;2370;950;2553;7003;114;1526;900;11929;0;6630;274;10806;162;1990;1753;2365;0;4263;2363;12;7272;110;2811;5395;65;518;125;653;4373;1280;1184;11;227;3811;2866;306;257;511;48;4236;3378;781;2009;2847;7358;11499;4135;1090;7723;1410;3078;7948;959;11958;2233;1223;1783;5727;6927;596;692;830;13255;1123;15461;999;1050;6196;1404;3191;2613;3143;2723;137;1214;269;776;4722;1243;1410;2747;290;6275;3061;1456;2392;1980;573;512;2951;109;531;8260;3576;2284;2152;17296;14436;11;3197;4;8180;919;1299;578;6675;4725;432;19962;7999;381;350
3539;22080;1704;342;1398;7076;979;3354;978;2168;20;4044;8226;2205;1224;2202;6964;132;1793;837;9345;0;6854;147;7783;123;2192;2152;2044;0;3751;2811;17;6388;378;3478;4820;54;350;122;640;4131;937;1154;13;112;4256;2803;324;238;266;42;4297;3406;793;2860;2697;6265;8478;3729;1788;5728;1546;2552;10062;894;9235;2382;2208;1471;3320;5786;689;349;1411;12266;1136;14387;1098;980;6765;149;2767;2430;2756;2230;113;1106;271;726;4915;1303;1390;2473;319;4294;2896;1673;2317;2210;471;555;3050;355;413;5367;3140;2568;1037;12561;9211;15;2402;24;7485;1086;1581;535;4484;5762;312;15820;5903;319;436
8938;50964;4286;963;3297;16036;2516;8107;2668;5579;20;10137;23126;5397;2836;7458;20294;496;3207;2614;22826;0;18909;251;19561;299;5270;6150;5515;0;12165;7966;3;12809;297;11040;12838;89;1364;290;1890;10191;2686;2986;15;203;9448;8053;1293;695;420;55;10533;9045;2179;7067;8061;14272;27409;10120;3778;14093;3104;8042;22950;1925;25862;6999;6824;3465;9783;15092;1946;689;11980;26627;2926;36243;3414;2764;18429;337;6651;6997;7139;6246;307;2821;730;1944;10750;4292;4100;6608;874;11732;7183;4108;5424;5844;1018;1989;7525;236;777;15084;9077;6534;2083;31249;24958;9;7579;19;20207;2654;4276;1595;10862;19346;940;42522;18018;618;1203
