2258649;294910;4789720;1220681;1296744;392761;246877;701865;5173;147488;161208;1346762;861875;209636;2075841
3267;4812;2479;1490;4876;6482;331;766;7;1576;1827;7713;17893;148;9627
189316;100811;359736;113195;210263;27713;21783;76123;375;17903;20350;214666;173124;18749;408620
144906;52239;257857;58075;127884;27213;16113;57742;198;6913;7910;102072;103773;15827;330376
118320;33366;200284;40919;114124;4469;12633;48950;182;7133;8102;87066;91363;12550;223436
65259;22419;211133;68927;73660;21925;8381;34330;164;5052;5774;63412;72031;8011;200732
18370;46426;106463;59100;45446;5863;5065;15296;188;7257;8478;24488;51417;2618;139991
15747;31465;96953;36367;43081;4896;3905;12416;93;3338;3898;25256;35896;1937;118234
16604;22080;80752;29635;37876;5021;3302;13267;82;2937;3428;28644;32581;1925;100664
45251;50966;196522;87974;91173;19219;7655;35315;87;7834;8867;72716;91015;6202;273806
