157871;294818;34636;41192;88114;154510;190471;297207;60756;230487;431950;11092;44855;35073;149206;54113;106714;236034;134224;751220;23478;75214;273641;35849;83189;1396234;160041;328772;56349;109312;322551;48;168578;140865;7699;251646;54178;200668;54898;22897;7406;34826;175623;1169;163475;284843;98059;274454;94543;44838;38800;90388;35395;12330;286;94313;78582;218346;236245;544211;93754;281413;38946;25406;454892;732160;173829;123147;68870;101788;216184;99063;234204;7576;102613;126222;296356;89554;74512;15678;145874;25189;61858;125210;603904;89654;237847;59789;307972;15728;168849;9884;31522;128601;277676;1219;103896;8084;207713;147140;64220;33412
125;4812;44;334;327;251;99;714;341;577;134;120;14;54;2137;63;88;1600;207;200;49;478;1308;1051;194;73;510;950;40;1998;762;0;1962;128;48;767;955;1897;34;62;12;33;1435;1;77;77;47;1227;401;295;6;179;1366;43;1;384;45;344;1971;193;325;214;44;461;118;170;1789;1866;234;328;1422;1623;741;45;1942;351;237;1227;4525;18;260;509;1202;77;103;1091;32;199;130;15;48;102;1783;991;2220;0;25;21;635;370;188;1969
14715;100804;3012;6451;16778;20059;14919;70842;9293;40025;25485;1274;4175;2456;25258;5005;6692;55810;18236;54648;2682;10290;54492;6114;5597;50347;31724;37431;2475;23292;61221;1;5179;12416;324;57419;7751;39115;7134;2306;490;1735;33629;111;12164;18261;11134;54269;15123;7069;954;10673;5566;575;12;15590;7774;30584;46055;40882;15611;34454;2736;3724;34282;40606;27432;28254;7331;18968;45392;18401;52318;341;19353;7817;31667;16140;11783;1093;21587;3370;8559;6236;36058;15855;11016;7747;26054;982;11481;1198;981;33502;40283;87;7446;639;44470;21182;9312;1082
9475;52236;2361;2642;8477;22988;12401;56534;5708;21345;14894;367;4216;993;21169;3806;4503;35055;12924;32284;1246;5523;50253;2639;4354;48884;28548;25160;2404;16836;40051;1;4070;7490;1;46900;3265;19226;5731;1031;260;1039;16747;53;9715;14197;8826;48506;8732;2996;238;6491;2381;0;12;7489;6039;24983;31655;29767;7750;15032;1366;1235;29354;27938;7872;17550;4862;9695;25333;10556;23787;2;10859;5403;18896;12218;5293;396;16200;1066;3677;2113;35347;12243;6081;4335;17504;391;10758;288;69;18466;28460;39;7041;370;24641;21136;5267;92
8125;33366;1339;2506;5319;2714;10631;34018;5429;12502;10088;493;2752;1289;15460;2990;3989;21148;12373;29358;1195;4871;35430;2528;3138;41214;19717;17257;598;14177;26524;2;792;5675;76;28602;2814;16768;5115;952;249;1093;14493;42;7667;11055;7364;33609;8997;2748;614;6740;2144;134;5;6847;4806;24213;24395;22382;7119;12064;1471;1304;23809;24315;6955;15225;3569;5499;23181;10427;18842;84;10645;3301;16703;9406;4126;563;14122;1165;3096;2308;26657;9219;4947;4222;14209;531;8590;399;268;15267;24160;56;5475;263;25633;15527;4913;331
5870;22415;786;1837;5641;5731;6740;32688;3118;23064;23603;346;1870;1507;12937;2162;2793;15098;7510;26864;855;3817;30076;1447;2536;46019;16111;12360;443;10270;23708;6;12386;8118;164;25554;2060;13797;2755;790;164;682;11668;34;8161;10772;5078;28985;5521;1952;1033;4301;1371;412;33;4595;2557;12061;18627;13921;4685;11689;1727;727;20065;41873;7010;12211;1858;6852;18284;8840;12883;156;9149;2418;8657;8255;3531;463;7727;740;2251;5685;19891;8250;7132;2884;16100;467;6956;261;1757;11124;4900;38;4208;187;13069;13354;3228;1888
1967;46426;795;3013;6695;2297;2340;26681;1693;14031;14411;324;374;2317;10195;888;1416;17413;4121;4749;639;7322;20120;2688;1421;9707;7677;15056;1283;7430;26588;1;2009;4944;133;22867;1873;5253;799;600;212;539;4725;45;2973;3751;2009;20082;3201;3182;919;2551;2750;169;16;3351;1116;5244;12154;2807;3598;11055;2777;1183;5683;19153;2357;8104;1344;7923;8739;5519;3951;124;6092;793;1772;6065;2734;614;4995;1138;2033;6693;2593;6132;1373;2669;7749;525;1684;300;441;10094;2559;49;925;205;4660;4937;2331;449
1569;31464;671;1516;4450;1927;1911;20271;1042;8447;10289;163;284;1237;6351;698;1008;13371;3425;5335;370;2885;18670;800;1465;16579;7701;10828;542;6672;17342;0;2892;3608;10;17830;1010;5805;512;405;89;380;4857;25;2814;4054;1627;18329;2515;1547;540;1874;876;4;1;2844;893;5831;12046;2488;2931;9007;1537;536;7383;18518;2815;7863;1459;4763;9852;3434;4199;3;3686;698;1420;3068;1619;316;3851;459;1218;4383;3012;2974;1683;1619;6946;309;1874;141;140;8821;2271;23;1083;93;5114;5823;1431;118
1563;22080;304;1237;3845;766;2006;17962;1402;9894;7887;127;309;861;4610;711;916;10621;3497;5639;391;2543;15093;932;1511;17793;7223;7548;306;5453;11974;0;3586;3371;14;14467;1143;6257;626;423;73;301;5473;22;2754;4063;1979;15148;2506;1373;302;1784;924;29;3;2590;815;5621;8210;3536;2809;6614;930;395;6597;14373;3434;6625;1619;4383;7920;3145;5186;20;3161;380;2404;3005;2036;301;3399;378;1359;2242;2606;2895;2220;1472;5677;262;1900;119;398;7269;2618;27;997;99;5586;5453;1678;410
4040;50966;580;3120;10562;6849;6105;46503;3321;31550;25747;324;1196;1881;13811;1889;1943;30831;9366;15363;1016;7101;39392;2593;2908;39135;18780;18239;479;14602;33047;0;13784;8805;10;38223;3126;16922;2209;1179;120;679;14211;30;7442;9077;5253;39625;6247;3556;487;4349;2414;25;1;6395;2794;12746;24067;8836;6586;16690;2325;1175;14313;35952;8202;17537;3046;12731;18629;9142;14722;20;9278;1355;7904;8974;5226;617;8782;1023;3648;5312;9021;8790;4632;4301;13651;530;5278;315;332;17094;6830;15;3139;173;12141;14615;4399;306
