222216;294816;330358;62648;95504;268008;607276;392318;32665;29628;30;97728;16017;76728;214454;605588;42393;137493;888;82330;214910;16000;187581;62549;95217;143682;200434;75572;405722;572299;196669;272280;199091;4367;274;103098;132425;257348;196591;75597;17921;53238;166801;158341;21972;21265;281679;67207;253970;335702;48864;46414;224730;1838098;448631;782317;49440;118300;422066;1323;210886;52782;8900;108702;239164;831677;414707;40667;126124;25;125895;418354;127209;213518;274531;36455;75756;238049;87718
2382;4812;204;49;79;36;279;2684;45;46;0;246;136;125;933;172;18;304;0;510;1463;157;2256;15;1081;118;4170;618;957;125;590;761;4160;7;1;28;2221;501;1884;380;25;70;1549;96;256;215;146;3106;1441;448;123;51;758;163;1488;412;96;232;2811;1;762;2563;22;1333;3795;219;213;726;141;0;652;1118;71;51;1526;661;652;210;539
39240;100803;21925;2805;12345;12837;44827;50285;2338;2351;1;6656;1756;6613;48694;39261;4132;19013;71;13639;44821;1705;20831;1849;14494;10326;43518;12833;55104;43680;40211;49583;41944;300;15;8915;22026;44132;34402;10058;1211;4554;36517;13063;827;831;25333;10864;55349;48968;6590;2485;47996;80135;109592;52433;5493;14624;81844;121;43241;7846;678;17689;12158;49033;37205;5474;12870;0;23504;79330;9530;15049;57098;4935;10739;23608;13571
33659;52236;9170;2663;9732;7562;31921;33157;1035;949;1;5037;451;2832;33397;41916;4043;12285;29;6279;24886;518;23050;562;6320;6625;29733;5947;38946;31901;35628;43442;21363;155;14;8153;12420;30678;28780;6053;763;3651;19365;9089;4;4;19508;4777;20999;27684;3432;1530;24490;68799;78140;30559;3161;9275;61253;62;29197;3207;399;8197;5555;34636;25618;1889;8202;0;19187;59203;8470;13897;27134;1621;5462;19036;8115
24523;33366;6638;735;8747;6410;23904;27761;1278;1138;1;3935;609;2783;28397;31088;2643;12165;45;5189;22153;679;2959;1095;5476;6253;25188;5185;22949;26608;24237;27707;18013;138;4;6365;12791;30440;21324;5092;678;2061;17889;7235;216;204;13848;4332;16912;25258;3150;1497;18220;60514;50018;26340;2657;9608;43875;49;17784;3037;290;6788;2000;26728;19318;2020;6519;1;15824;36481;6761;11200;26493;1689;4849;17027;7516
21169;22415;16852;549;4708;8178;14648;8266;1152;1002;2;3588;437;3675;14598;21233;1840;7139;33;4305;16948;470;8605;1982;3875;4353;18977;3809;17937;24124;19526;25953;14801;106;35;4326;10544;14260;19181;2725;392;1214;15092;5132;787;783;12929;3078;12539;13590;2105;941;13719;65426;44432;25847;1926;6531;34480;33;20131;2168;212;5246;14054;48049;24198;1249;6939;4;12726;43407;5937;8625;18926;1029;3779;10252;4977
15507;46426;14368;1312;1690;2060;2747;5684;1816;1391;0;1665;491;6066;12003;3961;392;3818;35;5997;9224;468;2659;1900;2905;2370;14040;5217;24318;8990;10151;16595;6897;158;15;990;8304;5906;12546;2064;354;1089;8463;1960;335;302;6777;3751;4427;2946;1530;701;15283;15509;48062;3850;1158;3532;23261;48;14969;2850;216;3474;2824;23829;12813;1895;5100;1;5435;27606;1932;2054;6619;1502;9084;4497;3282
10155;31464;9230;605;1220;2356;2412;4354;959;778;0;1724;236;3072;9855;4303;275;3178;16;3456;9723;231;2057;1324;1879;1527;12348;2586;17025;10803;10105;15649;6176;62;1;988;4924;6061;7980;1961;386;704;7788;1583;13;13;5891;1530;4746;2734;889;544;11386;22925;34302;4414;839;2697;23237;27;11092;1036;101;2408;4072;20537;10569;791;3520;0;5859;22159;1897;2319;7862;686;3479;3664;1725
7878;22080;6373;366;1545;2783;3682;4238;718;637;0;1904;191;2034;8479;3700;305;3248;21;2873;7789;197;1396;635;2135;1386;9835;2420;12532;8809;9258;13799;7221;50;3;961;4136;6812;6923;2163;151;520;6353;1363;90;86;5090;1712;6114;3948;1044;411;9928;23811;23929;3983;891;2662;15997;26;11118;1242;106;2695;4703;16438;8849;686;3208;0;5280;23489;1976;2320;7689;544;2637;3851;2343
22877;50965;19956;609;4685;5951;9235;11708;1552;1401;0;3969;533;5149;19817;11499;1152;8537;12;7324;18908;460;7888;1173;5831;3212;27352;6383;30417;19372;23774;36298;20184;72;1;3354;11941;14928;19901;3991;281;963;16601;3720;54;63;12238;4696;15055;12778;2740;931;24341;52892;65956;12776;2415;7277;49351;32;30575;3295;185;7241;16174;44917;22158;1883;8807;0;12908;62897;5143;6677;18613;1616;7898;10513;5571
