26785;294767;59025;10591;49196;34542;6030;63586;13464;547;10355;17231;2848;24336;24012;37749;15571;19247;6086;309532;8150;19377;38011;56214;41561;35046;6652;31785;43277;9211;27;36468;11774;72248;12749;27821;25709;20805;49243;4890;92849;3104;28320;4681;37425;22001;9707;45149;27152;11580;651;87805;14115;18018;11863;6478;39507;3899;11601;11450;26188;37797;223716;5540;36988;65149;35180;16026;4878;10255;14917;158;57935;16711;7417;44407;21879;30017;5968;11419;16324;31381;18477;2834;35958;17384;59246;21608;58703;23851;47747;9520;41210;27872;10710;6319;34348;57536;7149;15010;62250;10;19901;5321;8024;47477;62652;6193;4377;15682;9808;32540;118563;40224;12338;11447;74642;24984;11058;67479;12688;26229;6828;261;76616;44551;1979;26830;121630;4670;13790;5219;31825;825;105977;7752;22317;11811;16180;53248;18657;69629;31271;96095;4825;19206;41379;10734;18427;8344;257479;20278;20906;15305;40601;9903;13893;31176;79921;18628;7574;31876;24130;14504;23205;72989;19324;19111;18048;8270;49278;86631;138678;57677;38691;3987;27201;7877;26080;14552;15312;38872;10370;37477;8707;41646;2597;1718;19275;20794;22967;13096;608373;108038;11818;16595;271187;32019;58465;8281;43618;49685;34014;34842;124669;41873;45930;74557;72761;117;23181;6433;4303;29774;32863;36235;21652;7757;34747;37484;13643;39371;19989;16380;16250;34518;18742;25801;35608;14477;930;19446;2227;42175;52577;4996;27611;13309;8205;87651;62768;67;13803;50306;2414;8264;16931;4200;10238;16243;4671;82130;27527;12767;7023;51980;1243;14343;23568;7881;9317;15759;38025;41727;3975;17643;10757;24057;3686;11819;19112;9716;21490;4365;402;22448;3881;17461;19117;8421;21221;19113;45594;13569;16071;1498;23497;28384;20;43109;2181;41724;12177;14941;17629;3124;93967;11499;38458;20493;16815;644;87551;5855;2396;9934;13688;598;241030;57241;52767;27118;60251;77431;24367;89747;47110;18644;7976;83010;41729;6852;11865;12766;21720;31018;29532;40340;6728;20269;19086;220652;31074;7476;102913;16925;2714;34127;23268;2572;16152;60064;8758;31557;5167;11318;20017;44708;96253;39077;8775;32421;25643;14881;8536;30595;6420;3693;20749;20437;71551;2813;5471;45683;4685;37646;21868;16344;5490;7666;32525;37730;33556;157873;26016;19908;42246;37917;29922;30229;38668;3090;5500;14167;13993;4295;48699;10489;38393;13448;11331;40756;38364;12882;9317;20898;20558;40238;104330;76155;4908;18280;5287;9710;39787;18850;30171;31634;19580;10583;23164;14256;99802;49190;25548;31565;14327;24438;34835;2694;15874;24041;9998;17072;8835;13601;25015;11143;55521;3776;19155;14981;18745;1743;58255;3447;33547;12016;38214;17451;5598;12352;60199;19779;20361;10827;64579;19581;11174;200626;31686;74513;23498;280090;15711;23876;4281;1302;22092;19082;3070;14774;19666;3662;7746;16999;8082;29826;15484;13228;8857;19844;87913;10722;27698;33437;37089;12835;69380;34881;7408;13160;74215;21747;8;39493;14282;4956;22313;17175;3491;20178;6969;6548;7140;114273;7487;30201;97505;38509
344;4812;14;14;136;231;63;18;37;7;413;378;6;17;32;13;137;2;184;7;429;338;122;137;2;72;47;9;292;0;0;162;36;20;13;105;385;10;186;1;30;4;42;36;7;364;56;410;5;363;0;30;70;191;23;23;44;0;359;138;72;250;89;9;13;35;11;43;17;148;25;1;222;63;62;14;9;43;27;1982;788;5;20;6;42;10;23;124;343;187;0;450;363;247;77;35;11;12;113;180;375;0;21;8;3;67;232;107;91;25;5;51;35;348;33;634;0;654;6;19;208;33;44;0;195;75;0;18;7;1;46;3;24;1;51;11;65;1;60;277;101;2;460;2;74;68;1;12;35;19;18;96;260;24;180;33;29;119;0;1970;5;49;116;7;51;43;145;170;117;1;18;84;29;31;232;105;180;110;40;3;10;353;27;12;119;50;47;1;6;156;0;61;15;19;88;45;8;25;56;10;201;76;149;159;328;68;9;123;132;0;87;15;2;169;9;214;32;0;115;26;13;6;225;18;233;231;22;23;236;2;0;230;2;14;412;5;104;388;18;21;69;0;246;787;0;7;89;2;29;105;400;139;168;83;265;100;1;76;227;3;4;267;29;139;43;49;5;130;11;8;309;308;90;31;0;88;19;70;29;77;319;8;16;81;3;1;14;330;0;72;2;14;17;2;72;10;171;511;234;279;138;10;14;11;54;44;170;2;62;42;11;246;73;26;64;222;37;417;22;123;170;11;3;15;62;310;22;671;11;20;280;37;71;182;14;7;24;64;59;41;3;7;239;149;10;57;5;206;28;143;97;42;61;47;192;404;1;17;227;716;1;7;56;31;144;136;42;21;145;63;155;107;36;10;174;23;54;0;182;70;10;8;5;51;33;10;56;49;40;200;383;19;24;3;11;9;90;131;1074;6;20;75;8;22;152;116;27;6;579;50;234;42;402;329;9;31;44;343;559;45;65;247;31;376;18;63;63;83;23;11;19;4;179;6;72;13;246;11;51;362;0;66;87;179;296;7;35;32;4;19;159;15;1;49;23;160;136;2;7;145;4;122;162;269;175;961;424;123;227;678;14;1138;22;23;52;338;80;804;309;82;11;389;506;8;0;310;355;1;4;83;6;79;180;7;43;37;11;12;39;213
3600;100797;1923;577;13763;7164;1092;4311;1953;128;303;2910;207;8596;2791;3150;3629;2130;1222;12457;1200;4140;7070;448;3294;5803;1238;1759;8067;2885;0;8994;1240;4473;687;6942;6076;1396;9710;478;6951;155;1766;738;2007;5768;1368;9733;1785;1867;45;8119;1960;2498;1870;957;4502;105;2914;2253;4509;6487;15642;451;1841;5281;2813;1849;468;1866;1739;11;10862;2250;1101;2447;2339;3691;899;2453;2307;2419;1068;228;5724;1942;5602;3592;14979;9521;2082;304;6900;7082;1584;839;3120;4007;968;3173;8423;1;1935;501;596;5943;11214;1236;563;2027;1078;3823;9117;9087;1828;346;3352;5248;520;3750;1631;1623;839;27;12150;3311;127;2108;5417;720;2925;320;4561;73;12705;725;2949;246;4471;13253;3566;3481;7147;6509;818;2943;1426;1304;2397;1617;7150;595;4385;1523;12721;1422;1735;4106;2759;572;1022;4407;5423;1737;3726;6165;4520;3695;11541;831;6087;7945;9841;5858;6560;591;8997;1134;3453;520;1070;879;1474;2301;1532;7182;374;72;1616;4515;13336;1947;15993;9362;893;2531;6206;1976;10313;861;84;6331;3745;7291;7319;3636;2774;11709;14046;5;3820;1138;468;7225;1760;5497;2962;200;4759;3766;1347;1530;4706;2194;3011;6506;1767;2845;8140;1179;39;4220;159;2991;10478;290;2400;15250;1019;7680;3610;6;2889;10412;128;299;2607;326;1122;10761;301;8823;6512;2087;216;10901;72;5310;5576;526;1263;3180;4094;8246;570;2718;1009;7576;383;1591;3897;1583;4258;614;39;4554;511;4756;970;1171;3747;1009;2292;2747;450;94;2457;6182;0;8302;81;3824;1781;1366;2345;294;19252;1711;9198;2789;2727;144;5077;378;93;858;2176;18;15202;9820;2845;5919;7238;7598;3174;8815;4312;2955;834;12877;9737;558;1170;2430;1865;6553;2534;4503;562;2982;2888;12901;4487;1200;3480;1028;216;4154;5149;407;3061;2648;1914;7150;270;1370;1604;8779;6992;8328;1491;3333;2752;1843;868;8059;166;503;7103;3508;4610;394;181;5182;548;6141;3718;1054;150;327;6716;7109;4366;3357;6163;778;5827;4886;4583;4707;2295;290;314;1771;1369;389;8089;1659;6225;1986;1426;3254;5339;1337;623;122;2928;7201;9733;3101;864;5702;764;1306;5494;4776;1664;3517;3502;1285;9148;1907;21676;8884;1007;2738;2103;6059;9514;122;1811;5909;1629;145;1067;2457;3990;1880;4040;412;1718;1040;3925;131;10920;423;7218;613;4624;1852;90;5191;3557;4386;4452;441;4431;3118;1079;15876;6290;4541;1817;17886;1739;5234;674;84;2848;8972;137;4177;5676;428;829;1645;1095;9260;1362;2962;792;3297;5611;1337;4703;5216;9699;376;14503;5603;954;2240;13168;880;0;9231;3198;172;1754;2788;332;5705;1381;636;894;7119;418;2165;7319;7760
3394;52234;731;368;4430;6144;386;4332;1128;24;4;1686;113;9817;1730;2360;1622;1861;549;10821;381;2220;6371;135;441;2856;417;1145;4547;3269;0;7183;628;3281;495;4547;4390;856;9666;618;4150;0;822;314;2097;1950;496;5899;1813;827;21;5702;823;1322;1174;460;3598;19;1697;941;1948;4032;9289;184;630;3890;2386;1080;288;970;917;9;11244;1069;437;1666;1953;2179;500;1360;1115;1881;725;133;5718;1371;1800;1690;7049;6145;2469;52;3562;3621;757;431;3560;2757;491;2281;4608;1;2442;342;476;5279;6888;636;178;1258;953;2068;5004;6316;1001;9;3790;3089;221;3022;671;1321;330;8;10091;1380;25;1591;3988;518;2179;120;1119;51;10362;372;2833;49;1317;10146;3245;2873;3190;4557;366;1605;318;864;1293;1631;5070;895;2378;732;7538;661;568;3699;1027;93;845;2053;4380;1555;4291;7070;1782;2862;6398;953;4390;5809;5377;5041;5631;196;6709;552;2797;116;958;561;747;1923;546;3271;125;17;1328;3163;20;1066;20600;3031;311;2412;6650;1395;8824;437;69;3953;1780;6203;3874;2454;2191;8736;13914;2;2135;732;213;2535;1775;5469;1831;139;2833;2430;1021;1157;4113;1721;1498;3772;1062;2514;3751;1165;0;2487;21;2610;9950;165;1852;11723;451;5299;2494;4;2061;4763;34;98;1734;98;537;4754;53;4329;2316;1142;32;9701;0;2226;3214;293;978;1594;2502;7757;211;1601;984;3959;191;1112;2033;588;3118;203;10;2024;229;1985;963;502;2550;812;1659;1140;147;52;1950;4089;0;4447;10;2971;1022;1309;1336;165;15016;767;8022;2517;2200;26;4613;237;10;410;1130;0;12084;4154;2677;4397;8515;6869;1997;4787;2993;2672;332;7089;6320;258;1121;2461;1018;4875;1899;2223;384;1813;1618;6393;2974;544;1954;683;27;2556;4030;122;3500;1901;1196;3123;0;660;1782;6549;4631;7385;703;3045;1483;755;322;5451;37;194;8289;2162;2391;559;0;4245;129;5305;3599;847;6;0;5890;6191;2106;1936;3987;683;3611;5737;2973;3214;1411;68;119;1060;579;126;5518;989;3701;983;855;1210;1474;986;355;72;1443;3893;6147;2268;419;4119;506;697;4381;2855;704;1918;2134;695;5353;1277;21183;8257;303;1583;1201;3329;5477;11;2109;3289;947;110;453;1170;3567;860;3803;148;1121;1096;1850;66;7307;129;5504;403;2726;903;9;2714;3915;3109;2526;250;2986;1739;850;8466;5303;3049;1901;10811;1094;2587;227;0;2349;4881;0;2053;3759;135;248;690;474;6913;657;1858;300;1809;7267;832;3687;2634;7341;96;11389;2662;542;1101;10493;236;0;4764;2899;98;1694;1356;109;3908;774;316;369;6427;221;1932;7799;4429
2364;33365;797;346;3143;4447;373;3488;1305;24;85;1864;98;1070;1712;1967;1313;1367;479;11827;315;1870;3788;72;424;2730;400;1081;3881;369;2;4702;550;2856;455;4426;3586;881;6887;262;3806;28;381;257;1738;2115;497;5487;1376;689;35;4571;755;1269;1066;426;3310;82;1413;959;1768;3312;6393;194;785;3114;1962;974;229;932;694;6;7569;1024;387;1594;1751;1415;339;1062;772;1601;713;111;3622;1203;984;1582;6283;3675;321;72;2809;3706;736;328;434;2164;414;1748;2452;0;1736;257;249;4843;4507;507;183;1449;814;2205;3468;4927;969;129;2165;2626;374;2604;584;1172;328;11;6032;454;33;1035;4012;387;1841;194;1196;34;6448;335;1963;160;774;9092;2260;2414;2882;4384;382;1802;18;793;1195;405;5810;403;2136;537;7866;605;543;2270;1864;158;790;1658;2808;1300;3005;4760;1324;2211;2956;658;4337;3864;6442;4734;3255;236;4113;504;2384;241;734;355;682;1972;608;1772;144;42;914;2738;35;1048;14603;2286;299;1708;5342;1220;5006;392;29;4049;1243;4205;3940;2323;1685;5042;8591;3;2158;620;218;2276;1368;3928;1708;41;1931;2461;876;771;3352;1035;1190;3130;1151;2428;3473;1058;8;1863;42;2107;7463;189;1557;7234;406;4810;1637;1;1600;4146;66;238;1583;106;497;2001;102;3316;2220;770;67;5931;8;1299;3193;322;818;1511;2526;4375;276;1654;780;3436;163;1267;1589;537;2684;250;9;1755;195;1031;684;472;2434;744;1639;1018;244;44;1375;3521;0;2450;34;2204;974;959;1401;92;10165;645;5886;1682;1310;50;3329;211;34;541;1114;1;9800;3761;2207;3846;4226;4599;1803;3909;2355;1738;363;5957;6462;258;911;1752;1147;4278;1484;1651;258;1044;1807;6837;3079;523;1829;654;52;2887;2504;145;453;1877;964;2932;48;610;291;4544;4102;4999;613;1915;1194;621;348;3469;145;203;8093;1838;1594;104;44;4083;169;3278;2509;713;47;94;4722;3579;1388;2601;2480;485;3813;700;2043;1959;1166;99;212;976;637;151;3757;866;1920;1071;730;804;1193;826;315;44;937;4156;6268;1985;366;2772;494;539;3606;2084;619;706;1973;537;3770;1578;15106;5954;378;846;1062;2958;4513;49;1544;3022;953;50;441;1158;2789;838;3785;149;943;667;1222;60;5224;180;4272;371;3039;666;68;1599;490;2679;2534;284;2026;1537;688;9894;4230;2621;1512;9196;1067;2450;256;22;1744;3399;30;1635;2840;206;266;520;425;3645;635;1520;373;1562;6190;734;2464;2131;4164;92;7691;2690;429;1086;7851;402;0;4588;2070;131;1337;1311;157;3276;616;265;352;4131;209;1885;5296;4263
2014;22415;2488;266;1342;3452;232;2992;615;6;744;1567;64;0;1140;1119;919;1033;214;8625;217;1503;3823;858;1303;1562;269;997;2951;1501;2;4078;559;2089;331;2423;3179;940;5415;179;2399;72;312;168;1421;722;307;3785;1005;443;16;5195;471;906;731;238;1739;91;1219;695;1048;2813;4913;233;1916;3308;1769;764;188;704;846;13;6595;685;271;1475;961;1636;237;991;604;1370;445;67;2965;802;1297;974;4382;2168;10788;414;2563;3329;486;235;1870;1892;297;1336;2460;0;1245;189;100;2064;4467;314;115;898;490;1179;2823;3982;589;800;3789;2150;501;2006;348;743;204;20;7765;332;47;774;5208;292;1370;143;1269;14;9789;393;2134;272;1663;786;1980;2144;2490;3502;176;1299;2;435;729;131;11141;342;1807;816;3807;471;452;1058;2651;1269;477;1474;2439;520;2618;2029;1615;1650;2483;385;1670;2951;11210;3010;1635;108;3345;356;1155;653;577;595;545;1386;367;3685;92;16;533;2426;1383;700;17548;3582;196;1684;8699;857;5801;387;557;2766;1069;3084;2762;2077;1387;7490;8211;17;1331;287;168;1210;1318;3478;1180;250;3820;1511;534;565;2797;737;924;2463;674;1277;2768;645;33;877;29;1446;5891;117;712;2065;400;4642;1356;11;1349;3452;61;278;1113;97;291;2663;47;3727;968;1080;203;5596;31;1038;2598;307;611;1175;1514;2236;156;1029;463;2146;154;567;1359;404;1402;177;12;1290;130;1561;363;286;2025;1037;2462;711;548;34;691;2805;3;4637;53;1921;679;654;1047;80;10332;344;4709;1474;1326;15;2558;153;14;274;704;26;6222;1713;1796;2629;2313;2306;1176;1655;1938;1311;304;6228;3264;307;454;1251;510;2829;1233;2033;152;1463;1569;8370;1929;258;5438;517;59;1737;2275;92;3384;1618;733;2076;115;386;52;3679;7037;4227;440;2411;1113;570;181;422;150;108;2368;1549;3336;41;187;2042;102;3828;1748;430;150;280;3752;1768;1889;7135;2001;226;2145;2079;2740;1731;2002;94;147;579;377;93;3855;397;3361;709;616;997;1600;589;573;35;2437;2527;712;3269;195;1612;299;495;2789;2274;1464;1216;1684;523;2356;752;11235;5015;1099;1755;735;2437;3773;15;1441;2692;469;182;389;847;2109;558;2281;115;917;468;747;45;5396;147;3452;270;1564;386;120;1266;702;2244;2200;113;2919;971;481;7947;2731;4428;992;9921;663;1931;115;18;1366;2180;148;1192;2005;75;164;625;426;2641;358;1259;343;1276;3797;458;2275;1933;4157;688;6844;1530;292;770;5606;879;1;3317;1572;70;865;744;110;1863;484;244;275;4821;137;1356;3677;3430
1729;46425;2302;177;657;1982;421;1017;423;15;124;1018;91;901;712;483;1628;229;220;634;378;740;2282;323;36;680;445;399;1816;45;3;2632;1550;463;215;1431;1261;389;2894;31;539;72;852;161;196;535;344;3332;160;776;26;1368;338;2076;370;195;805;70;684;860;542;1461;720;173;1820;1581;488;969;406;741;772;6;3732;508;319;343;430;1475;201;594;535;426;307;58;1764;422;2281;620;1212;4120;84;136;856;1426;1113;610;489;444;714;1109;1848;0;393;85;192;967;3050;883;132;381;137;836;389;1783;390;164;301;1871;528;511;321;367;249;10;4049;1085;16;346;992;65;815;196;1210;28;4293;360;756;251;2230;90;1015;484;1420;1059;247;778;463;198;405;211;4862;254;1032;921;932;519;620;1022;163;238;93;1437;1599;210;924;358;2256;1032;6152;46;415;1957;2871;2027;3268;314;3977;866;673;649;152;408;444;518;503;1927;105;41;165;890;52;447;3569;2782;247;589;2017;331;3372;305;680;473;579;1969;2111;695;289;3848;5025;8;729;141;105;692;314;1116;813;36;2118;715;219;65;1905;535;782;1304;397;469;993;156;20;1003;17;301;5504;110;421;9120;579;1341;469;1;903;1261;27;334;547;68;267;3063;102;2433;626;1673;94;3424;14;1571;1146;121;116;1819;734;3677;273;552;157;1790;290;161;879;465;807;346;17;823;316;1373;249;267;1017;305;955;1010;457;62;316;2149;1;1970;26;646;449;104;670;87;8151;732;1947;1377;1407;14;519;117;27;259;527;10;755;358;325;2169;3269;440;1140;959;1326;1996;717;3557;1115;451;126;510;343;2345;317;586;159;965;1398;1510;1027;646;3140;330;65;883;1487;133;40;244;664;982;94;532;537;2464;2500;2788;416;1020;1838;696;203;171;178;194;655;1080;241;30;89;713;149;2289;759;226;79;84;1296;2240;1798;3026;1493;151;839;257;2394;1466;628;67;198;426;335;56;2473;241;1729;735;1204;1142;1504;327;478;285;2263;1608;585;888;231;2295;109;584;1037;1473;1342;325;1127;1439;2538;349;11320;4142;1216;1633;875;1035;1826;32;352;1202;212;484;990;711;827;498;713;119;824;85;1088;45;3900;109;1681;148;663;376;65;1298;924;1206;1657;93;3056;839;201;865;1901;1788;228;615;470;1455;249;21;412;2152;40;953;1601;146;192;425;893;7755;415;855;624;800;1020;310;1018;746;4009;220;4785;598;136;995;3779;1034;0;1059;1094;86;217;546;73;1390;900;244;227;2151;161;448;770;1036
962;31464;1666;130;818;1780;192;990;309;8;29;538;39;603;549;301;1046;225;140;1736;137;657;2093;721;90;745;229;310;2036;33;0;2515;511;382;132;1646;1476;361;3174;21;614;1;579;101;285;481;162;2954;243;227;11;1639;234;771;280;110;834;34;545;444;388;1708;746;117;1315;1289;505;598;216;216;537;0;3710;400;153;223;309;868;109;406;323;505;222;36;1713;360;1544;508;1402;2334;26;48;994;1521;484;267;360;443;254;530;1970;0;468;58;89;1079;3122;269;47;325;112;598;291;2028;263;46;429;1616;359;406;215;349;134;5;3871;337;14;227;1595;48;881;123;1298;20;2982;271;765;150;818;160;696;819;1369;1795;81;596;814;150;306;174;6535;147;658;577;1172;302;427;933;124;160;43;1037;1235;147;821;610;1878;1164;2818;31;358;2091;3352;1301;1588;108;2839;282;646;411;138;767;294;320;277;1088;37;9;121;892;25;265;7664;3210;560;522;3726;240;2689;182;936;384;478;2041;1409;562;293;3006;4540;1;586;87;56;770;354;1311;595;98;1119;668;119;61;1651;457;392;1544;269;443;1155;140;0;791;12;276;4404;57;456;4928;361;1428;431;0;775;1624;13;221;290;41;221;1968;60;3023;640;586;22;2887;0;1269;1120;125;67;1119;514;1652;130;432;159;1947;169;106;522;181;821;145;7;760;158;912;244;213;603;320;737;653;363;26;296;1594;0;1340;13;714;343;103;359;32;6084;200;1955;624;663;10;464;57;9;208;436;0;811;432;362;1484;1684;489;705;716;1437;893;313;3172;1496;287;79;682;452;2063;307;672;200;754;790;1946;977;168;2281;194;59;794;1261;46;19;440;248;960;1;287;337;2396;2353;2678;226;977;737;537;125;402;79;98;610;557;453;90;2;784;57;1612;866;195;10;4;1549;1342;1189;2995;1180;267;771;2;915;1282;563;41;112;330;193;44;2123;132;1226;338;192;895;1596;189;344;44;683;1414;405;1029;93;1045;67;246;1584;1259;1019;698;702;605;1848;255;10401;3312;895;1077;465;938;1889;17;328;1121;114;699;372;505;1121;259;567;86;507;104;891;35;3169;67;1530;115;502;275;21;1166;983;1208;1537;116;1962;639;160;1311;1804;1593;180;997;263;1118;80;0;356;1985;0;797;1512;66;109;314;117;2984;485;650;281;361;933;209;1006;771;2651;181;4411;463;126;343;3753;845;0;1499;723;168;233;444;56;1102;230;145;158;2379;70;409;810;1389
695;22080;860;97;1077;1343;147;847;280;7;105;528;32;7;554;323;816;228;169;3061;156;835;2082;646;429;721;165;233;1360;237;0;2070;410;465;105;1446;1422;313;2510;36;725;1;416;97;262;473;136;2095;189;286;14;1518;205;620;298;107;667;29;555;391;462;1024;1246;121;687;1059;601;444;130;330;407;2;3126;353;149;281;503;895;127;479;388;459;211;20;1519;383;1223;586;1664;1704;381;97;1160;1376;413;225;212;499;226;554;1801;0;509;58;50;971;2609;249;56;324;139;597;628;1219;257;142;639;1438;208;359;225;426;111;8;3988;719;38;220;1655;49;662;85;858;17;2846;254;780;74;835;317;823;844;1388;1519;113;569;537;184;307;81;5003;45;762;425;1300;273;438;670;211;444;59;853;1136;192;965;521;1607;1005;2335;54;664;2006;2557;1220;707;83;1964;293;560;191;165;721;277;259;195;1479;23;10;127;747;8;255;7469;1968;599;561;3951;183;2450;209;988;501;690;1369;688;704;249;3770;4824;1;579;113;54;887;417;1125;635;41;1007;650;120;193;1073;388;488;1071;284;486;1192;190;0;665;19;265;3093;46;518;2725;217;1512;316;0;744;1848;11;140;387;51;241;2287;68;3128;753;495;36;2802;0;1148;1040;105;105;744;636;1114;84;452;160;1645;124;132;629;239;741;107;8;761;124;948;219;198;712;311;819;515;168;16;259;1207;0;1825;15;608;368;101;491;33;3875;219;1638;534;727;3;525;66;7;187;536;0;778;607;397;1096;852;666;677;870;1155;467;261;2646;1362;194;77;554;546;1389;244;1082;58;651;647;2051;960;206;1435;131;104;780;1119;38;316;695;313;1030;19;339;42;1722;1933;2152;292;1028;585;494;87;400;37;81;871;416;654;44;24;903;46;1848;807;167;21;44;1260;961;1052;2158;954;318;994;126;944;960;609;55;104;366;169;33;1426;205;1525;330;192;614;1224;257;183;16;736;1547;326;1238;107;1000;76;282;1121;1002;648;981;536;405;1547;283;8159;2596;377;862;485;965;1432;8;478;919;149;758;274;483;969;329;649;68;441;95;679;29;2010;45;1225;104;787;392;13;1062;340;1022;1104;100;1223;651;172;1486;1199;1442;227;897;244;1041;46;0;428;1714;3;708;1233;79;76;350;117;1734;629;693;218;465;662;219;1153;928;1959;299;2932;625;144;326;2418;412;0;1287;604;28;233;553;41;1015;233;134;134;2181;70;350;731;1201
1809;50964;2420;256;3005;3809;432;2309;593;11;43;1501;54;0;1493;1017;1954;794;415;7037;408;1948;5337;1995;19;1576;455;621;3592;1725;0;5758;1183;1183;207;2932;3843;944;6845;141;1707;1;1546;284;815;1259;468;5547;655;713;13;3249;636;1757;909;310;1632;52;1714;971;1305;2649;3058;271;1672;2705;1550;1402;405;938;1153;3;7906;843;332;724;1282;2170;230;1716;963;1208;344;52;3833;983;3451;1179;4450;4361;6760;139;3226;3203;1090;467;1599;1274;594;1532;5510;0;1196;169;120;2484;8837;712;144;1020;396;1301;2170;3630;746;57;572;3783;425;910;603;714;283;0;10669;3343;50;597;3842;207;1353;192;2144;21;8793;628;2213;109;3571;845;2155;2329;4405;3091;316;1308;370;512;800;154;11436;37;2152;1147;3098;831;915;1690;323;372;267;2007;3453;693;2313;1504;4611;2452;5178;217;1878;4315;5210;3164;1929;223;5370;712;1310;326;431;2090;838;868;615;5358;73;11;534;2092;177;812;17581;4165;769;1608;8964;496;6791;531;2807;1913;2064;4227;2199;2023;599;10386;11868;0;1421;319;163;2022;919;3438;1598;41;4123;1539;462;1242;2798;899;1465;2568;656;1323;2827;518;0;1476;49;1017;7149;64;858;6749;653;2916;1103;0;1967;5877;28;222;1214;126;311;5757;84;7554;1755;1713;73;7164;0;2580;2756;270;354;1985;1651;3380;207;1136;377;3407;278;462;1811;636;1597;279;9;1791;239;3030;381;365;1741;780;1927;1370;255;23;924;3458;0;5987;28;1473;876;407;1073;86;11749;637;4749;1519;1949;10;1724;142;31;298;856;0;2996;2356;1138;2830;2796;1698;1853;2769;2298;1355;536;7804;2786;501;325;852;828;3932;740;1969;112;1719;1897;4323;2137;551;5238;301;112;2143;3020;83;2608;1219;944;2454;8;573;54;5528;4986;5906;529;2952;1552;1078;294;782;88;196;2415;1322;829;99;15;2096;146;4952;1864;352;33;38;3763;3017;2502;6879;3070;474;2121;2197;3787;2834;1883;130;170;686;428;101;3794;453;4970;832;907;2197;2443;706;612;32;2714;3265;916;2843;272;2259;233;668;2138;2875;1280;1274;1490;1060;3655;738;19055;6235;674;2063;1239;2923;4324;14;1277;2523;491;2193;678;1154;2685;692;2085;202;1226;309;1668;33;4848;168;3588;209;1604;789;16;2534;924;2798;2797;184;2970;1611;541;4496;2910;3824;834;3923;580;2544;216;0;1201;3664;0;1823;3032;175;301;692;666;4385;910;2100;465;1408;2625;598;2959;2453;5417;676;10168;1604;393;950;7690;635;0;3159;1521;66;805;1001;95;2367;721;372;424;4092;138;1138;2393;3108
