num classes;codebook size;pca;K;f1 macro avg;running time
02;0000;0050;003;0.99;52.378
10;0000;0050;003;0.86;68.062
02;0000;0050;005;0.98;52.798
10;0000;0050;005;0.82;74.363
02;0000;0050;007;0.98;54.294
10;0000;0050;007;0.80;75.629
02;0000;0050;009;0.96;53.457
10;0000;0050;009;0.79;80.191
02;0000;0050;011;0.92;55.398
10;0000;0050;011;0.77;80.048
02;0000;0050;013;0.93;55.104
10;0000;0050;013;0.75;78.669
02;0000;no_pca;003;0.99;69.172
10;0000;no_pca;003;0.86;63.399
02;0000;no_pca;005;0.98;68.446
10;0000;no_pca;005;0.83;67.193
02;0000;no_pca;007;0.98;68.955
10;0000;no_pca;007;0.81;66.100
02;0000;no_pca;009;0.97;69.735
10;0000;no_pca;009;0.80;68.031
02;0000;no_pca;011;0.93;71.766
10;0000;no_pca;011;0.78;69.488
02;0000;no_pca;013;0.93;73.094
10;0000;no_pca;013;0.76;68.113
02;0100;0050;003;0.84;4.044
10;0100;0050;003;0.59;18.997
02;0100;0050;005;0.83;4.021
10;0100;0050;005;0.57;17.123
02;0100;0050;007;0.78;4.189
10;0100;0050;007;0.54;19.104
02;0100;0050;009;0.83;4.418
10;0100;0050;009;0.53;18.957
02;0100;0050;011;0.84;4.434
10;0100;0050;011;0.52;17.637
02;0100;0050;013;0.76;4.471
10;0100;0050;013;0.51;20.998
02;0100;no_pca;003;0.89;3.129
10;0100;no_pca;003;0.63;11.145
02;0100;no_pca;005;0.88;3.226
10;0100;no_pca;005;0.59;11.873
02;0100;no_pca;007;0.86;3.400
10;0100;no_pca;007;0.59;11.644
02;0100;no_pca;009;0.86;3.285
10;0100;no_pca;009;0.57;12.116
02;0100;no_pca;011;0.85;3.533
10;0100;no_pca;011;0.55;13.324
02;0100;no_pca;013;0.88;3.650
10;0100;no_pca;013;0.55;13.193
02;0200;0050;003;0.91;4.471
10;0200;0050;003;0.66;21.403
02;0200;0050;005;0.94;4.737
10;0200;0050;005;0.61;22.308
02;0200;0050;007;0.92;4.776
10;0200;0050;007;0.59;23.062
02;0200;0050;009;0.93;5.089
10;0200;0050;009;0.58;25.224
02;0200;0050;011;0.90;5.369
10;0200;0050;011;0.56;24.390
02;0200;0050;013;0.88;5.148
10;0200;0050;013;0.56;25.681
02;0200;no_pca;003;0.97;3.407
10;0200;no_pca;003;0.67;15.487
02;0200;no_pca;005;0.97;3.562
10;0200;no_pca;005;0.65;15.771
02;0200;no_pca;007;0.97;3.888
10;0200;no_pca;007;0.61;16.236
02;0200;no_pca;009;0.96;3.699
10;0200;no_pca;009;0.62;16.750
02;0200;no_pca;011;0.95;3.780
10;0200;no_pca;011;0.60;17.082
02;0200;no_pca;013;0.96;3.823
10;0200;no_pca;013;0.59;17.229
02;0300;0050;003;0.96;5.037
10;0300;0050;003;0.68;22.567
02;0300;0050;005;0.97;4.773
10;0300;0050;005;0.63;24.609
02;0300;0050;007;0.99;5.334
10;0300;0050;007;0.61;25.194
02;0300;0050;009;0.98;5.642
10;0300;0050;009;0.59;25.155
02;0300;0050;011;0.97;5.414
10;0300;0050;011;0.57;25.537
02;0300;0050;013;0.96;5.541
10;0300;0050;013;0.55;26.564
02;0300;no_pca;003;0.99;3.951
10;0300;no_pca;003;0.69;17.162
02;0300;no_pca;005;0.99;4.112
10;0300;no_pca;005;0.66;18.246
02;0300;no_pca;007;0.99;4.350
10;0300;no_pca;007;0.64;18.973
02;0300;no_pca;009;0.98;4.459
10;0300;no_pca;009;0.62;19.718
02;0300;no_pca;011;0.96;4.460
10;0300;no_pca;011;0.61;19.446
02;0300;no_pca;013;0.94;4.290
10;0300;no_pca;013;0.61;19.423
