num trees;pca;f1 macro avg
00050;no_pca;0.21;
00050;pca;0.09;
00100;no_pca;0.21;
00100;pca;0.09;
00200;no_pca;0.24;
00200;pca;0.09;
00300;no_pca;0.23;
00300;pca;0.09;
00500;no_pca;0.23;
00500;pca;0.09;
00700;no_pca;0.23;
00700;pca;0.09;
01000;no_pca;0.23;
01000;pca;0.09;
