num trees;pca;f1 macro avg
00050;no_pca;0.97;
00050;pca;0.89;
00100;no_pca;0.97;
00100;pca;0.89;
00200;no_pca;0.96;
00200;pca;0.91;
00300;no_pca;0.96;
00300;pca;0.87;
00500;no_pca;0.96;
00500;pca;0.89;
00700;no_pca;0.96;
00700;pca;0.88;
01000;no_pca;0.96;
01000;pca;0.88;
