num classes;codebook size;pca;band width;macro avg;running time
02;0000;0050;0.100;1.00;21.225
10;0000;0050;0.100;1.00;39.787
02;0000;0050;0.200;1.00;20.405
10;0000;0050;0.200;1.00;39.271
02;0000;0050;0.500;1.00;18.127
10;0000;0050;0.500;0.99;36.603
02;0000;0050;1.000;0.88;17.743
10;0000;0050;1.000;0.75;36.314
02;0000;0050;2.000;0.69;17.812
10;0000;0050;2.000;0.47;36.397
02;0000;no_pca;0.100;1.00;79.166
10;0000;no_pca;0.100;1.00;84.384
02;0000;no_pca;0.200;1.00;94.701
10;0000;no_pca;0.200;1.00;105.843
02;0000;no_pca;0.500;1.00;108.227
10;0000;no_pca;0.500;1.00;143.810
02;0000;no_pca;1.000;0.98;126.473
10;0000;no_pca;1.000;0.89;116.248
02;0000;no_pca;2.000;0.70;138.058
10;0000;no_pca;2.000;0.49;90.838
02;0100;0050;0.100;0.87;4.712
10;0100;0050;0.100;0.79;21.729
02;0100;0050;0.200;0.86;4.721
10;0100;0050;0.200;0.79;21.620
02;0100;0050;0.500;0.86;4.618
10;0100;0050;0.500;0.79;21.276
02;0100;0050;1.000;0.88;4.582
10;0100;0050;1.000;0.71;21.233
02;0100;0050;2.000;0.84;4.843
10;0100;0050;2.000;0.41;21.166
02;0100;no_pca;0.100;0.94;4.123
10;0100;no_pca;0.100;0.83;14.812
02;0100;no_pca;0.200;0.91;3.535
10;0100;no_pca;0.200;0.83;17.000
02;0100;no_pca;0.500;0.91;4.173
10;0100;no_pca;0.500;0.83;17.535
02;0100;no_pca;1.000;0.91;3.623
10;0100;no_pca;1.000;0.75;15.142
02;0100;no_pca;2.000;0.86;3.900
10;0100;no_pca;2.000;0.42;16.130
02;0200;0050;0.100;0.91;5.480
10;0200;0050;0.100;0.85;23.221
02;0200;0050;0.200;0.91;5.161
10;0200;0050;0.200;0.85;23.883
02;0200;0050;0.500;0.91;4.950
10;0200;0050;0.500;0.84;22.898
02;0200;0050;1.000;0.91;5.459
10;0200;0050;1.000;0.72;22.892
02;0200;0050;2.000;0.85;4.977
10;0200;0050;2.000;0.40;23.118
02;0200;no_pca;0.100;0.97;4.166
10;0200;no_pca;0.100;0.89;18.914
02;0200;no_pca;0.200;0.96;3.823
10;0200;no_pca;0.200;0.89;18.444
02;0200;no_pca;0.500;0.95;4.399
10;0200;no_pca;0.500;0.88;20.167
02;0200;no_pca;1.000;0.95;3.962
10;0200;no_pca;1.000;0.76;15.248
02;0200;no_pca;2.000;0.90;4.385
10;0200;no_pca;2.000;0.45;17.106
02;0300;0050;0.100;0.94;5.202
10;0300;0050;0.100;0.89;24.419
02;0300;0050;0.200;0.94;5.298
10;0300;0050;0.200;0.89;24.870
02;0300;0050;0.500;0.94;5.118
10;0300;0050;0.500;0.87;23.762
02;0300;0050;1.000;0.93;5.220
10;0300;0050;1.000;0.72;23.753
02;0300;0050;2.000;0.86;5.099
10;0300;0050;2.000;0.41;23.693
02;0300;no_pca;0.100;0.98;4.788
10;0300;no_pca;0.100;0.93;20.349
02;0300;no_pca;0.200;0.98;4.774
10;0300;no_pca;0.200;0.93;21.700
02;0300;no_pca;0.500;0.98;4.747
10;0300;no_pca;0.500;0.91;21.260
02;0300;no_pca;1.000;0.97;5.266
10;0300;no_pca;1.000;0.76;20.586
02;0300;no_pca;2.000;0.91;4.652
10;0300;no_pca;2.000;0.45;21.370
