num_trees;pca;max_depth;macro avg
00050;no_pca;003;0.19;
00050;pca;003;0.05;
00050;no_pca;005;0.30;
00050;pca;005;0.09;
00050;no_pca;007;0.39;
00050;pca;007;0.17;
00050;no_pca;009;0.51;
00050;pca;009;0.35;
00050;no_pca;011;0.66;
00050;pca;011;0.53;
00050;no_pca;013;0.81;
00050;pca;013;0.71;
00100;no_pca;003;0.19;
00100;pca;003;0.05;
00100;no_pca;005;0.29;
00100;pca;005;0.10;
00100;no_pca;007;0.41;
00100;pca;007;0.18;
00100;no_pca;009;0.52;
00100;pca;009;0.35;
00100;no_pca;011;0.66;
00100;pca;011;0.54;
00100;no_pca;013;0.83;
00100;pca;013;0.71;
00200;no_pca;003;0.18;
00200;pca;003;0.05;
00200;no_pca;005;0.29;
00200;pca;005;0.08;
00200;no_pca;007;0.42;
00200;pca;007;0.19;
00200;no_pca;009;0.52;
00200;pca;009;0.37;
00200;no_pca;011;0.66;
00200;pca;011;0.54;
00200;no_pca;013;0.83;
00200;pca;013;0.73;
00300;no_pca;003;0.20;
00300;pca;003;0.05;
00300;no_pca;005;0.28;
00300;pca;005;0.09;
00300;no_pca;007;0.42;
00300;pca;007;0.18;
00300;no_pca;009;0.52;
00300;pca;009;0.36;
00300;no_pca;011;0.66;
00300;pca;011;0.54;
00300;no_pca;013;0.83;
00300;pca;013;0.72;
00500;no_pca;003;0.19;
00500;pca;003;0.05;
00500;no_pca;005;0.29;
00500;pca;005;0.09;
00500;no_pca;007;0.41;
00500;pca;007;0.19;
00500;no_pca;009;0.52;
00500;pca;009;0.36;
00500;no_pca;011;0.66;
00500;pca;011;0.54;
00500;no_pca;013;0.83;
00500;pca;013;0.72;
00700;no_pca;003;0.18;
00700;pca;003;0.05;
00700;no_pca;005;0.29;
00700;pca;005;0.09;
00700;no_pca;007;0.41;
00700;pca;007;0.18;
00700;no_pca;009;0.52;
00700;pca;009;0.36;
00700;no_pca;011;0.65;
00700;pca;011;0.54;
00700;no_pca;013;0.83;
00700;pca;013;0.73;
01000;no_pca;003;0.18;
01000;pca;003;0.05;
01000;no_pca;005;0.29;
01000;pca;005;0.09;
01000;no_pca;007;0.41;
01000;pca;007;0.19;
01000;no_pca;009;0.52;
01000;pca;009;0.36;
01000;no_pca;011;0.66;
01000;pca;011;0.54;
01000;no_pca;013;0.83;
01000;pca;013;0.73;
