num_trees;pca;max_depth;macro avg
00010;no_pca;003;0.84;
00010;pca;003;0.82;
00010;no_pca;005;0.93;
00010;pca;005;0.90;
00010;no_pca;007;0.95;
00010;no_pca;009;0.97;
00010;no_pca;011;1.00;
00010;no_pca;013;1.00;
00015;no_pca;003;0.86;
00015;no_pca;005;0.94;
00015;no_pca;007;0.97;
00015;no_pca;009;0.98;
00015;no_pca;011;1.00;
00015;no_pca;013;1.00;
00020;no_pca;003;0.87;
00020;no_pca;005;0.94;
00020;no_pca;007;0.98;
00020;no_pca;009;0.98;
00020;no_pca;011;1.00;
00020;no_pca;013;1.00;
00025;no_pca;003;0.88;
00025;no_pca;005;0.95;
00025;no_pca;007;0.98;
00025;no_pca;009;0.99;
00025;no_pca;011;1.00;
00025;no_pca;013;1.00;
00030;no_pca;003;0.89;
00030;no_pca;005;0.95;
00030;no_pca;007;0.99;
00030;no_pca;009;0.99;
00030;no_pca;011;1.00;
00030;no_pca;013;1.00;
00050;no_pca;003;0.91;
00050;no_pca;005;0.97;
00050;no_pca;007;1.00;
00050;no_pca;009;1.00;
00050;no_pca;011;1.00;
00050;no_pca;013;1.00;
