num_trees;pca;max_depth;macro avg
00020;no_pca;005;0.66;
00020;pca;005;0.60;
00020;no_pca;007;0.79;
00020;pca;007;0.67;
00020;no_pca;009;0.93;
00020;pca;009;0.83;
00020;no_pca;011;0.98;
00020;pca;011;0.96;
00030;no_pca;005;0.70;
00030;pca;005;0.61;
00030;no_pca;007;0.85;
00030;pca;007;0.69;
00030;no_pca;009;0.96;
00030;pca;009;0.87;
00030;no_pca;011;0.99;
00030;pca;011;0.99;
00050;no_pca;005;0.74;
00050;pca;005;0.62;
00050;no_pca;007;0.92;
00050;pca;007;0.72;
00050;no_pca;009;1.00;
00050;pca;009;0.94;
00050;no_pca;011;1.00;
00050;pca;011;1.00;
