num trees;pca;max depth;f1 macro avg
00010;0037;003;0.58;
00010;0037;005;0.69;
00010;0037;007;0.78;
00010;0037;009;0.84;
00010;0037;011;0.89;
00010;0041;003;0.55;
00010;0041;005;0.68;
00010;0041;007;0.74;
00010;0041;009;0.84;
00010;0041;011;0.90;
00010;0053;003;0.58;
00010;0053;005;0.67;
00010;0053;007;0.76;
00010;0053;009;0.83;
00010;0053;011;0.89;
00010;0071;003;0.55;
00010;0071;005;0.64;
00010;0071;007;0.76;
00010;0071;009;0.82;
00010;0071;011;0.88;
00010;0154;003;0.40;
00010;0154;005;0.61;
00010;0154;007;0.68;
00010;0154;009;0.79;
00010;0154;011;0.86;
00020;0037;003;0.67;
00020;0037;005;0.77;
00020;0037;007;0.83;
00020;0037;009;0.89;
00020;0037;011;0.93;
00020;0041;003;0.66;
00020;0041;005;0.76;
00020;0041;007;0.83;
00020;0041;009;0.89;
00020;0041;011;0.92;
00020;0053;003;0.66;
00020;0053;005;0.75;
00020;0053;007;0.82;
00020;0053;009;0.88;
00020;0053;011;0.93;
00020;0071;003;0.64;
00020;0071;005;0.75;
00020;0071;007;0.82;
00020;0071;009;0.88;
00020;0071;011;0.93;
00020;0154;003;0.56;
00020;0154;005;0.71;
00020;0154;007;0.79;
00020;0154;009;0.86;
00020;0154;011;0.92;
00030;0037;003;0.67;
00030;0037;005;0.77;
00030;0037;007;0.85;
00030;0037;009;0.89;
00030;0037;011;0.93;
00030;0041;003;0.67;
00030;0041;005;0.79;
00030;0041;007;0.84;
00030;0041;009;0.89;
00030;0041;011;0.93;
00030;0053;003;0.67;
00030;0053;005;0.77;
00030;0053;007;0.83;
00030;0053;009;0.89;
00030;0053;011;0.94;
00030;0071;003;0.69;
00030;0071;005;0.77;
00030;0071;007;0.84;
00030;0071;009;0.89;
00030;0071;011;0.93;
00030;0154;003;0.59;
00030;0154;005;0.76;
00030;0154;007;0.83;
00030;0154;009;0.88;
00030;0154;011;0.94;
00050;0037;003;0.70;
00050;0037;005;0.81;
00050;0037;007;0.87;
00050;0037;009;0.91;
00050;0037;011;0.94;
00050;0041;003;0.74;
00050;0041;005;0.79;
00050;0041;007;0.87;
00050;0041;009;0.90;
00050;0041;011;0.94;
00050;0053;003;0.72;
00050;0053;005;0.81;
00050;0053;007;0.86;
00050;0053;009;0.91;
00050;0053;011;0.94;
00050;0071;003;0.70;
00050;0071;005;0.79;
00050;0071;007;0.86;
00050;0071;009;0.91;
00050;0071;011;0.95;
00050;0154;003;0.71;
00050;0154;005;0.78;
00050;0154;007;0.86;
00050;0154;009;0.91;
00050;0154;011;0.95;
00100;0037;003;0.75;
00100;0037;005;0.82;
00100;0037;007;0.87;
00100;0037;009;0.91;
00100;0037;011;0.94;
00100;0041;003;0.73;
00100;0041;005;0.83;
00100;0041;007;0.87;
00100;0041;009;0.91;
00100;0041;011;0.95;
00100;0053;003;0.74;
00100;0053;005;0.83;
00100;0053;007;0.88;
00100;0053;009;0.92;
00100;0053;011;0.95;
00100;0071;003;0.73;
00100;0071;005;0.83;
00100;0071;007;0.88;
00100;0071;009;0.91;
00100;0071;011;0.95;
00100;0154;003;0.72;
00100;0154;005;0.82;
00100;0154;007;0.88;
00100;0154;009;0.92;
00100;0154;011;0.96;
00200;0037;003;0.76;
00200;0037;005;0.84;
00200;0037;007;0.88;
00200;0037;009;0.92;
00200;0037;011;0.95;
00200;0041;003;0.77;
00200;0041;005;0.83;
00200;0041;007;0.88;
00200;0041;009;0.92;
00200;0041;011;0.95;
00200;0053;003;0.76;
00200;0053;005;0.82;
00200;0053;007;0.88;
00200;0053;009;0.92;
00200;0053;011;0.95;
00200;0071;003;0.77;
00200;0071;005;0.84;
00200;0071;007;0.89;
00200;0071;009;0.92;
00200;0071;011;0.96;
00200;0154;003;0.76;
00200;0154;005;0.83;
00200;0154;007;0.89;
00200;0154;009;0.92;
00200;0154;011;0.96;
00300;0037;003;0.76;
00300;0037;005;0.83;
00300;0037;007;0.89;
00300;0037;009;0.92;
00300;0037;011;0.95;
00300;0041;003;0.77;
00300;0041;005;0.84;
00300;0041;007;0.89;
00300;0041;009;0.92;
00300;0041;011;0.95;
00300;0053;003;0.76;
00300;0053;005;0.84;
00300;0053;007;0.88;
