num_trees;pca;max_depth;macro avg
00010;0037;003;0.26;
00010;0037;005;0.39;
00010;0037;007;0.56;
00010;0037;009;0.67;
00010;0037;011;0.74;
00010;0037;013;0.84;
00010;0041;003;0.26;
00010;0041;005;0.39;
00010;0041;007;0.56;
00010;0041;009;0.66;
00010;0041;011;0.75;
00010;0041;013;0.84;
00010;0053;003;0.26;
00010;0053;005;0.39;
00010;0053;007;0.56;
00010;0053;009;0.67;
00010;0053;011;0.75;
00010;0053;013;0.83;
00010;0154;003;0.26;
00010;0154;005;0.38;
00010;0154;007;0.56;
00010;0154;009;0.67;
00010;0154;011;0.75;
00010;0154;013;0.83;
00015;0037;003;0.28;
00015;0037;005;0.42;
00015;0037;007;0.57;
00015;0037;009;0.67;
00015;0037;011;0.76;
00015;0037;013;0.86;
00015;0041;003;0.27;
00015;0041;005;0.42;
00015;0041;007;0.57;
00015;0041;009;0.67;
00015;0041;011;0.76;
00015;0041;013;0.86;
00015;0053;003;0.27;
00015;0053;005;0.42;
00015;0053;007;0.57;
00015;0053;009;0.67;
00015;0053;011;0.77;
00015;0053;013;0.86;
00015;0154;003;0.28;
00015;0154;005;0.42;
00015;0154;007;0.57;
00015;0154;009;0.67;
00015;0154;011;0.76;
00015;0154;013;0.86;
00020;0037;003;0.28;
00020;0037;005;0.45;
00020;0037;007;0.58;
00020;0037;009;0.68;
00020;0037;011;0.78;
00020;0037;013;0.89;
00020;0041;003;0.29;
00020;0041;005;0.44;
00020;0041;007;0.57;
00020;0041;009;0.68;
00020;0041;011;0.78;
00020;0041;013;0.89;
00020;0053;003;0.29;
00020;0053;005;0.44;
00020;0053;007;0.57;
00020;0053;009;0.68;
00020;0053;011;0.78;
00020;0053;013;0.89;
00020;0154;003;0.29;
00020;0154;005;0.44;
00020;0154;007;0.57;
00020;0154;009;0.68;
00020;0154;011;0.78;
00020;0154;013;0.90;
00025;0037;003;0.30;
00025;0037;005;0.45;
00025;0037;007;0.58;
00025;0037;009;0.69;
00025;0037;011;0.80;
00025;0037;013;0.92;
00025;0041;003;0.30;
00025;0041;005;0.45;
00025;0041;007;0.58;
00025;0041;009;0.69;
00025;0041;011;0.80;
00025;0041;013;0.91;
00025;0053;003;0.30;
00025;0053;005;0.45;
00025;0053;007;0.58;
00025;0053;009;0.69;
00025;0053;011;0.80;
00025;0053;013;0.92;
00025;0154;003;0.30;
00025;0154;005;0.45;
00025;0154;007;0.57;
00025;0154;009;0.69;
00025;0154;011;0.80;
00025;0154;013;0.93;
00030;0037;003;0.31;
00030;0037;005;0.47;
00030;0037;007;0.58;
00030;0037;009;0.70;
00030;0037;011;0.82;
00030;0037;013;0.95;
00030;0041;003;0.32;
00030;0041;005;0.46;
00030;0041;007;0.58;
00030;0041;009;0.70;
00030;0041;011;0.82;
00030;0041;013;0.95;
00030;0053;003;0.32;
00030;0053;005;0.46;
00030;0053;007;0.59;
00030;0053;009;0.71;
00030;0053;011;0.81;
00030;0053;013;0.95;
00030;0154;003;0.31;
00030;0154;005;0.46;
00030;0154;007;0.58;
00030;0154;009;0.69;
00030;0154;011;0.82;
00030;0154;013;0.96;
00050;0037;003;0.35;
00050;0037;005;0.49;
00050;0037;007;0.61;
00050;0037;009;0.75;
00050;0037;011;0.90;
00050;0037;013;1.00;
00050;0041;003;0.34;
00050;0041;005;0.50;
00050;0041;007;0.61;
00050;0041;009;0.75;
00050;0041;011;0.90;
00050;0053;003;0.35;
00050;0053;005;0.49;
00050;0053;007;0.61;
00050;0053;009;0.75;
00050;0053;011;0.91;
00050;0053;013;1.00;
00050;0154;003;0.34;
00050;0154;005;0.49;
00050;0154;007;0.60;
00050;0154;009;0.75;
00050;0154;011;0.93;
00100;0037;003;0.40;
00100;0037;005;0.55;
00100;0037;007;0.68;
00100;0037;009;0.86;
00100;0037;011;1.00;
00100;0037;013;1.00;
00100;0053;003;0.39;
00100;0053;005;0.54;
00100;0053;007;0.67;
00100;0053;009;0.87;
00100;0053;011;1.00;
00100;0053;013;1.00;
00200;0037;003;0.45;
00200;0037;005;0.61;
00200;0037;007;0.77;
00200;0037;009;0.99;
00200;0037;011;1.00;
