num trees;pca;f1 macro avg
00050;no_pca;0.39;
00050;pca;0.34;
00100;no_pca;0.39;
00100;pca;0.33;
00200;no_pca;0.37;
00200;pca;0.32;
00300;no_pca;0.38;
00300;pca;0.32;
00500;no_pca;0.38;
00500;pca;0.32;
00700;no_pca;0.39;
00700;pca;0.32;
01000;no_pca;0.38;
01000;pca;0.32;
