num_trees;pca;macro avg
00050;no_pca;0.84;
00050;pca;0.77;
00100;no_pca;0.85;
00100;pca;0.75;
00200;no_pca;0.84;
00200;pca;0.75;
00300;no_pca;0.84;
00300;pca;0.75;
00500;no_pca;0.85;
00500;pca;0.74;
00700;no_pca;0.84;
00700;pca;0.73;
01000;no_pca;0.84;
01000;pca;0.74;
