num trees;pca;max depth;f1 macro avg
00050;no_pca;003;0.09;
00050;pca;003;0.09;
00050;no_pca;005;0.09;
00050;pca;005;0.09;
00050;no_pca;007;0.16;
00050;pca;007;0.09;
00050;no_pca;009;0.23;
00050;pca;009;0.10;
00050;no_pca;011;0.50;
00050;pca;011;0.20;
00050;no_pca;013;0.72;
00050;pca;013;0.29;
00100;no_pca;003;0.09;
00100;pca;003;0.09;
00100;no_pca;005;0.09;
00100;pca;005;0.09;
00100;no_pca;007;0.16;
00100;pca;007;0.09;
00100;no_pca;009;0.24;
00100;pca;009;0.11;
00100;no_pca;011;0.49;
00100;pca;011;0.21;
00100;no_pca;013;0.70;
00100;pca;013;0.27;
00200;no_pca;003;0.09;
00200;pca;003;0.09;
00200;no_pca;005;0.09;
00200;pca;005;0.09;
00200;no_pca;007;0.17;
00200;pca;007;0.09;
00200;no_pca;009;0.22;
00200;pca;009;0.12;
00200;no_pca;011;0.50;
00200;pca;011;0.20;
00200;no_pca;013;0.70;
00200;pca;013;0.28;
00300;no_pca;003;0.09;
00300;pca;003;0.09;
00300;no_pca;005;0.09;
00300;pca;005;0.09;
00300;no_pca;007;0.16;
00300;pca;007;0.09;
00300;no_pca;009;0.23;
00300;pca;009;0.12;
00300;no_pca;011;0.50;
00300;pca;011;0.21;
00300;no_pca;013;0.71;
00300;pca;013;0.27;
00500;no_pca;003;0.09;
00500;pca;003;0.09;
00500;no_pca;005;0.09;
00500;pca;005;0.09;
00500;no_pca;007;0.17;
00500;pca;007;0.09;
00500;no_pca;009;0.22;
00500;pca;009;0.10;
00500;no_pca;011;0.50;
00500;pca;011;0.21;
00500;no_pca;013;0.71;
00500;pca;013;0.27;
00700;no_pca;003;0.09;
00700;pca;003;0.09;
00700;no_pca;005;0.09;
00700;pca;005;0.09;
00700;no_pca;007;0.17;
00700;pca;007;0.09;
00700;no_pca;009;0.23;
00700;pca;009;0.11;
00700;no_pca;011;0.48;
00700;pca;011;0.21;
00700;no_pca;013;0.71;
00700;pca;013;0.27;
01000;no_pca;003;0.09;
01000;pca;003;0.09;
01000;no_pca;005;0.09;
01000;pca;005;0.09;
01000;no_pca;007;0.17;
01000;pca;007;0.09;
01000;no_pca;009;0.23;
01000;pca;009;0.10;
01000;no_pca;011;0.49;
01000;pca;011;0.21;
01000;no_pca;013;0.71;
01000;pca;013;0.27;
