num classes;codebook size;pca;K;f1 macro avg;running time
02;0000;0050;003;0.94;121.051
10;0000;0050;003;0.79;122.264
02;0000;0050;005;0.88;122.431
10;0000;0050;005;0.75;125.646
02;0000;0050;007;0.83;126.748
10;0000;0050;007;0.72;127.702
02;0000;0050;009;0.76;130.004
10;0000;0050;009;0.69;132.504
02;0000;0050;011;0.69;134.367
10;0000;0050;011;0.67;132.017
02;0000;0050;013;0.70;131.808
10;0000;0050;013;0.66;133.650
02;0000;no_pca;003;0.93;46.066
10;0000;no_pca;003;0.81;40.061
02;0000;no_pca;005;0.88;46.804
10;0000;no_pca;005;0.77;40.061
02;0000;no_pca;007;0.83;46.894
10;0000;no_pca;007;0.74;41.754
02;0000;no_pca;009;0.78;48.253
10;0000;no_pca;009;0.71;40.837
02;0000;no_pca;011;0.70;47.995
10;0000;no_pca;011;0.69;41.980
02;0000;no_pca;013;0.66;49.175
10;0000;no_pca;013;0.68;43.694
02;0100;0050;003;0.57;22.800
10;0100;0050;003;0.48;15.669
02;0100;0050;005;0.53;23.215
10;0100;0050;005;0.47;16.693
02;0100;0050;007;0.53;23.439
10;0100;0050;007;0.45;17.655
02;0100;0050;009;0.49;25.754
10;0100;0050;009;0.42;17.844
02;0100;0050;011;0.49;25.928
10;0100;0050;011;0.42;18.461
02;0100;0050;013;0.50;25.879
10;0100;0050;013;0.40;19.247
02;0100;no_pca;003;0.70;5.249
10;0100;no_pca;003;0.54;4.478
02;0100;no_pca;005;0.58;5.501
10;0100;no_pca;005;0.51;4.577
02;0100;no_pca;007;0.53;5.449
10;0100;no_pca;007;0.48;4.470
02;0100;no_pca;009;0.52;5.416
10;0100;no_pca;009;0.46;4.623
02;0100;no_pca;011;0.50;5.574
10;0100;no_pca;011;0.45;4.729
02;0100;no_pca;013;0.51;5.653
10;0100;no_pca;013;0.43;4.851
02;0200;0050;003;0.69;18.973
10;0200;0050;003;0.57;26.985
02;0200;0050;005;0.66;20.408
10;0200;0050;005;0.56;28.816
02;0200;0050;007;0.61;20.898
10;0200;0050;007;0.52;29.475
02;0200;0050;009;0.58;20.760
10;0200;0050;009;0.51;29.701
02;0200;0050;011;0.54;21.886
10;0200;0050;011;0.49;30.883
02;0200;0050;013;0.54;22.342
10;0200;0050;013;0.48;32.175
02;0200;no_pca;003;0.81;4.507
10;0200;no_pca;003;0.60;7.173
02;0200;no_pca;005;0.72;4.995
10;0200;no_pca;005;0.59;7.374
02;0200;no_pca;007;0.72;4.787
10;0200;no_pca;007;0.55;7.754
02;0200;no_pca;009;0.58;5.247
10;0200;no_pca;009;0.54;7.831
02;0200;no_pca;011;0.56;4.918
10;0200;no_pca;011;0.52;7.838
02;0200;no_pca;013;0.56;5.220
10;0200;no_pca;013;0.52;8.200
02;0300;0050;003;0.72;21.269
10;0300;0050;003;0.61;44.514
02;0300;0050;005;0.70;22.240
10;0300;0050;005;0.59;46.298
02;0300;0050;007;0.64;22.998
10;0300;0050;007;0.58;46.129
02;0300;0050;009;0.60;23.260
10;0300;0050;009;0.55;48.412
02;0300;0050;011;0.56;24.030
10;0300;0050;011;0.54;48.860
02;0300;0050;013;0.57;24.287
10;0300;0050;013;0.55;49.356
02;0300;no_pca;003;0.82;5.012
10;0300;no_pca;003;0.65;11.299
02;0300;no_pca;005;0.76;5.205
10;0300;no_pca;005;0.62;11.304
02;0300;no_pca;007;0.74;5.409
10;0300;no_pca;007;0.58;11.805
02;0300;no_pca;009;0.70;5.367
10;0300;no_pca;009;0.57;11.757
02;0300;no_pca;011;0.69;5.594
10;0300;no_pca;011;0.56;11.961
02;0300;no_pca;013;0.68;5.520
10;0300;no_pca;013;0.55;12.302
