0;0;2;0;801;21;3;48;5;1;344;0;0;3;0;2;650;4;0;412;1;1;8;0;13;0;627;0;1;0;0;0;1;538;7;0;3;0;8;6;1;532;0;13;48;0;1;4;2;0;0;8;0;4;0;2;11;2;17;711;0;12;1;1;1;468;6;0;568;0
0;1342;1;0;0;6;0;2;0;0;0;1038;1415;13;482;1;0;0;5;0;2;0;15;11;1;0;0;4;0;886;4;1;1;0;0;0;0;0;29;0;0;0;0;0;16;0;0;0;0;0;0;0;6;0;0;11;1;11;0;0;2;1;12;0;0;0;1;1422;0;0
1;22;13;818;9;14;0;11;843;1;13;20;28;12;9;0;5;25;6;5;18;0;16;764;4;1;12;659;0;13;601;13;24;7;0;1;789;3;15;0;4;0;2;0;308;4;12;10;20;1;1;6;616;1;1;1;2;34;0;11;13;11;22;32;3;2;7;11;0;28
7;3;20;11;1;3;20;5;16;1;11;3;6;29;2;0;0;7;0;0;9;11;503;12;14;731;1;8;618;9;10;4;487;3;141;8;12;5;45;7;3;2;0;2;68;515;7;21;34;1;0;411;11;21;370;18;4;376;0;3;695;112;14;13;2;0;620;5;0;20
111;19;2;1;0;15;0;20;3;1;5;16;12;0;17;10;0;2;937;1;51;1;1;1;4;0;0;12;0;12;0;4;0;0;1;579;2;12;5;0;1;0;613;8;200;0;528;0;0;671;472;0;0;0;1;694;15;4;18;0;0;1;79;1;669;0;0;10;0;0
0;4;11;0;4;21;697;38;1;0;6;5;4;12;0;3;0;3;1;5;3;671;195;1;690;0;5;2;3;2;0;1;9;5;309;16;0;6;12;895;2;4;1;11;130;28;18;9;14;2;3;261;0;770;103;18;16;56;1;6;22;85;7;4;19;1;189;1;0;0
0;7;0;0;11;830;11;587;0;0;21;4;7;1;4;769;4;0;0;21;0;21;3;0;6;0;1;0;0;1;0;0;0;19;2;0;1;915;1;6;0;14;3;780;136;0;1;3;0;1;0;5;2;3;1;0;1062;0;626;6;0;8;0;0;0;8;2;2;2;0
72;38;0;0;1;0;0;0;1;1141;0;19;34;1;16;0;0;18;14;5;608;0;3;11;21;0;1;27;0;7;2;997;0;0;1;52;7;0;6;0;857;0;15;0;114;0;22;0;1;36;34;1;0;0;1;108;0;5;0;0;0;4;952;1;24;0;0;26;0;961
17;19;642;1;1;9;43;10;3;0;8;11;18;717;10;2;1;601;6;1;24;20;146;2;51;13;1;3;32;13;4;4;23;5;79;10;3;1;575;24;0;6;13;5;77;9;4;544;521;4;16;45;1;15;121;10;4;260;2;3;18;192;15;756;16;1;31;8;1;0
1130;4;1;1;0;2;4;1;4;28;1;6;6;1;1;1;0;14;37;11;472;2;28;1;4;3;3;1;18;5;0;34;3;2;1;747;1;1;9;5;18;2;62;2;85;3;476;1;5;400;394;3;0;1;11;957;0;35;2;0;4;15;395;2;431;4;15;15;1;17
