0;0;1;0;2;0;1;1;4;1;355;470;0;4;21;0;0;0;6;1;1;0;1;0;10;0;0;0;0;0;0;1;0;350;1;4;3;0;2;0;1;2;2;11;584;2;0;0;1;344;0;0;1;0;0;0;4;390;0;0;10;0;51;2;0;1;0;0;617;0;4;1;0;0;0;7;1;0;624;0;2;9;7;486;374;0;0;6;4;0;20;0;5;0;488;4;2;27;0;0;550;0;0;0;0;0;1;1;2;0;21;0;1;0;0;1;7;2;3;0
2;488;1;1;0;0;0;0;0;583;0;0;3;1;2;0;0;0;8;0;3;7;0;0;0;0;1292;1;818;0;0;0;0;0;1;7;0;1027;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1257;16;0;0;0;1;0;0;0;6;1;1;13;2;0;4;0;0;0;0;2;0;0;0;0;0;0;10;4;0;0;0;1;0;0;0;4;0;1130;0;0;0;0;0;35;0;0;0;0;1;0;0;3;0;0;0;0;0;2
8;3;5;265;2;1;334;223;0;4;0;1;275;7;5;0;0;1;5;1;1;0;10;0;4;0;8;2;9;1;219;4;6;0;5;6;2;2;5;0;0;0;0;3;5;6;273;4;0;4;0;318;2;0;0;3;0;1;0;1;0;6;180;0;1;5;226;2;3;229;2;1;5;2;18;215;323;0;6;0;0;2;181;0;0;4;298;217;4;21;0;0;0;276;2;0;142;8;1;11;3;0;0;1;314;320;4;0;13;0;1;0;285;334;2;0;243;0;3;0
3;1;1;10;610;1;4;0;7;9;0;0;8;9;2;0;5;2;384;2;4;0;6;0;220;9;2;508;13;2;6;20;1;0;18;52;0;0;2;278;584;13;0;3;4;605;1;579;563;4;0;10;102;5;0;403;96;0;16;1;1;5;45;15;1;11;3;1;1;7;494;0;1;15;37;6;20;27;0;0;7;35;26;1;1;0;7;2;32;11;0;1;4;6;4;1;6;1;0;2;0;0;2;3;0;13;3;20;13;0;11;0;2;5;5;2;3;0;24;0
3;3;279;0;0;0;0;0;181;4;0;0;0;0;8;323;11;16;3;0;26;277;0;382;0;32;9;0;5;52;1;0;0;1;0;0;334;6;132;1;0;219;0;6;0;0;1;0;0;1;175;0;0;0;2;0;0;0;81;0;7;5;82;0;491;0;0;2;0;0;0;10;0;141;2;1;0;0;0;304;0;1;22;0;0;0;1;0;0;3;5;349;0;0;0;0;0;9;345;3;0;335;10;37;0;0;72;0;1;362;1;243;9;0;3;0;0;3;0;409
0;0;1;0;2;0;0;0;0;4;0;0;0;2;10;0;0;1;98;0;2;1;0;0;216;3;3;3;4;1;0;2;0;3;8;9;6;3;3;171;4;9;2;10;5;30;0;29;9;2;9;0;34;481;5;9;256;2;9;0;4;0;89;589;1;4;0;1;1;0;45;4;0;7;0;0;4;415;1;2;321;521;6;2;2;1;0;0;9;0;0;5;383;0;5;470;3;27;0;1;0;0;0;1;0;0;6;495;2;0;517;0;0;1;3;3;0;0;8;1
0;3;0;0;0;0;0;0;1;8;9;3;0;0;859;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;8;0;2;0;3;2;0;0;0;558;672;4;0;0;0;0;9;0;0;1;5;0;0;1;9;0;0;652;0;84;4;1;0;0;0;4;0;0;571;0;0;0;2;0;11;0;0;95;12;9;5;1;0;0;0;1;0;518;0;2;2;14;4;0;568;0;3;7;0;0;0;0;0;1;1;0;1;5;0;0;2;660;0;0;513;2;0
390;8;11;0;2;559;3;0;34;11;0;0;9;1;0;0;28;19;0;443;60;44;0;1;1;23;20;0;4;34;0;0;514;2;0;4;15;13;55;1;0;54;0;0;0;0;0;0;0;0;7;2;0;0;314;0;0;0;30;518;0;11;81;0;5;2;9;378;1;0;0;0;571;93;470;0;1;0;1;0;0;0;0;0;1;463;1;1;0;506;0;1;1;0;0;0;7;0;2;23;0;8;24;11;0;4;4;0;0;3;5;9;2;10;0;314;1;0;0;7
7;7;0;0;12;0;1;0;3;28;0;0;5;594;5;1;8;3;135;0;4;15;354;1;20;3;12;21;13;12;1;471;0;1;535;365;6;5;50;105;22;6;1;4;3;20;0;8;22;3;12;6;245;13;1;19;77;2;8;0;5;4;50;13;3;421;0;2;0;5;22;0;0;7;2;0;2;6;3;3;92;33;9;4;1;1;1;6;592;6;2;1;18;1;5;8;3;5;0;8;0;1;8;5;0;5;5;14;609;7;24;0;0;2;2;0;0;4;542;4
21;0;46;0;16;15;0;0;326;2;0;1;0;6;0;6;384;452;18;10;423;57;5;2;2;487;3;2;2;361;0;3;10;5;0;7;137;5;68;12;3;450;0;0;0;6;0;1;14;0;131;0;12;2;10;1;1;3;353;2;2;3;43;0;22;0;0;5;3;0;11;0;3;443;7;0;0;0;1;20;1;7;4;3;0;11;1;0;1;34;1;90;3;0;3;0;1;0;12;4;1;5;409;579;0;2;282;3;1;16;0;0;2;1;0;13;1;1;0;11
