8;27;3;0;1;742;2;11;0;1;0;0;0;83;14;9;0;3;0;0;4;556;13;0;1;0;0;13;0;1024;584;1;58;0;32;835;20;1;924;1;16;0;0;883;2;41;0;1;9;0
10;0;0;1;1;0;0;0;1750;0;13;0;0;26;0;2;0;0;1128;4;5;0;0;0;1767;13;1953;0;1;0;0;1;4;0;2;0;2;0;0;0;30;10;0;0;1;4;4;9;0;1
29;0;8;38;981;1;14;16;21;4;842;2;1;363;2;35;1;0;21;5;25;14;18;3;29;2;24;0;2;15;5;33;12;846;8;2;1;6;14;1;26;734;2;21;19;14;724;24;949;1
55;1;595;26;19;3;9;62;13;3;13;5;14;94;387;48;1;29;5;0;563;13;954;1045;10;16;12;8;3;1;0;8;6;15;49;2;3;1;2;0;793;20;0;8;1136;7;7;18;29;20
2;14;0;0;2;0;423;3;15;0;0;686;139;212;1;1;591;1;24;1034;2;2;0;0;23;628;14;0;2;0;1;3;20;4;8;0;11;9;0;658;0;0;746;1;0;24;14;117;5;402
5;2;177;0;1;9;24;29;8;2;0;27;1;247;586;7;2;1050;6;3;137;19;275;9;5;19;12;1111;0;12;2;0;35;1;1101;2;16;7;4;2;245;1;2;13;105;47;2;12;1;38
1;913;2;0;1;15;1;0;2;0;2;2;0;164;7;0;0;26;6;1;3;28;4;0;10;0;11;12;0;20;15;0;1266;0;16;3;1196;1039;2;1;4;0;1;17;1;1124;1;0;1;0
2;1;1;1201;6;0;32;3;26;1019;1;37;78;134;1;10;82;0;35;14;0;0;0;0;44;156;48;1;1237;1;3;1023;0;0;7;0;0;0;1;25;4;5;10;0;0;0;33;895;2;87
1351;3;58;2;4;12;8;1097;16;0;3;22;19;148;228;1298;52;66;30;10;479;9;65;66;22;28;27;42;1;1;3;19;13;2;76;3;5;3;6;12;384;18;5;7;60;9;6;27;8;18
8;3;2;19;1;6;559;9;13;26;0;464;1232;70;7;3;502;7;8;28;30;2;8;18;9;908;12;4;30;7;10;75;1;0;8;1;2;0;5;165;37;0;199;1;11;1;1;617;3;817
