7;1;1486;0;21;0;1;13;0;0;58;1411;1;12;9;1342;0;35;56;1079;102;13;1;103;0;100;0;1;4;0;1;0;21;25;1;2;2;14;1;0
1;4;0;0;9;1;16;0;1;1128;0;0;1768;1;2;0;8;0;3;0;35;18;0;2;0;7;1756;2;2;1954;7;1;0;0;0;11;1;2;1;1
12;1;16;4;51;41;1069;38;1019;24;2;3;25;1;43;12;928;2;15;16;405;18;7;10;11;17;23;14;12;33;31;6;973;0;2;3;23;1011;30;7
1129;9;0;5;78;30;20;119;20;6;1;3;12;1;61;4;15;498;7;17;148;1140;7;68;5;12;20;0;1134;16;22;18;41;19;1;22;1392;22;6;3
0;415;1;939;3;2;0;2;6;19;19;0;19;14;1;0;2;1;34;2;243;1;2;6;707;28;16;1114;2;16;100;734;8;1;604;722;0;2;56;1
504;14;3;9;19;0;2;47;0;8;5;5;6;13;13;13;2;621;45;29;346;212;2;1274;30;48;8;3;353;12;17;36;1;1609;8;31;72;1;0;0
9;0;17;2;2;0;0;3;0;7;1071;15;17;1609;0;19;1;11;1392;25;233;2;0;38;2;1384;4;4;1;18;0;0;2;29;0;0;0;1;0;0
0;134;1;50;2;1221;1;3;0;36;0;3;43;1;10;1;18;0;0;0;139;4;1060;2;39;0;28;14;0;56;937;62;2;0;37;126;0;10;924;1301
66;15;3;11;1463;3;9;1207;2;30;8;11;22;2;1353;3;11;224;11;12;185;358;0;82;20;18;23;15;329;30;28;21;10;46;49;33;90;5;43;0
5;1241;6;530;7;25;0;21;2;8;2;7;9;2;2;6;2;8;2;1;99;48;31;5;466;2;19;46;32;20;585;874;3;6;522;941;16;1;308;39
