0;0;0;2;3;467;21;5;1;1;416;5;25;0;9;0;407;2;456;0;3;269;0;0;0;9;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;311;2;1;4;554;0;36;2;10;2;0;0;0;0;27;526;1;376;19;0;3;0;0;6;519;1;0;0;0;0;4;8;3;0;0;17;375;607;2;0;1;395;0
0;0;1;5;1;0;6;1;1;0;0;0;14;0;1;1294;0;0;0;13;0;0;20;0;1;0;1035;0;0;5;0;0;0;0;0;0;0;1;1262;0;4;9;3;819;0;1;0;0;1;10;0;0;0;11;0;1;568;0;5;1133;495;2;0;0;0;1;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;14;0;0;0;0;0;0;0;0
6;6;13;16;1;2;13;14;563;6;8;0;12;1;2;16;0;6;6;0;493;9;522;457;24;0;4;0;2;4;0;2;2;2;0;2;529;1;8;35;392;25;542;12;0;0;1;3;6;19;11;7;0;212;0;1;8;2;458;14;5;8;4;8;3;11;2;6;0;1;0;10;410;0;1;4;2;0;580;390;5;3;0;1;1;0;0;2;1;0
3;1;623;25;41;3;2;7;11;9;2;25;165;7;2;4;1;0;1;8;7;6;14;5;30;1;1;2;446;638;6;0;8;0;0;7;7;0;5;37;7;7;19;12;99;15;0;1;35;201;20;0;9;47;6;15;10;718;4;1;2;4;0;4;0;63;0;668;574;9;1;0;13;0;16;515;2;0;8;12;535;11;0;0;1;4;2;296;1;4
1;3;0;1;0;0;13;0;0;2;0;0;22;124;7;15;0;336;0;362;1;2;0;0;0;1;10;0;0;0;0;1;38;683;624;6;2;4;5;0;4;20;0;7;1;262;705;0;0;3;0;0;16;130;0;2;9;0;0;6;7;13;0;514;0;2;457;0;0;49;9;0;0;766;1;0;0;2;0;34;0;140;9;1;0;0;323;2;0;85
0;0;15;8;602;8;17;3;0;3;3;520;400;1;10;4;2;1;8;7;0;4;0;0;0;27;4;493;42;21;539;1;13;2;0;7;0;2;1;4;1;1;1;4;272;12;0;4;9;23;2;0;1;93;736;561;7;9;0;1;0;28;0;11;4;31;4;56;7;5;2;0;0;1;554;1;0;0;0;1;11;6;1;1;0;8;14;158;3;5
0;0;0;1;4;15;758;0;0;0;5;12;32;0;937;5;10;1;5;0;1;21;0;0;0;364;3;0;0;0;6;0;0;0;0;792;0;639;0;0;1;0;0;1;1;0;1;17;1;1;0;5;0;102;8;6;8;0;2;2;3;540;3;0;4;2;1;0;0;0;642;2;0;1;17;0;0;415;0;9;0;0;500;8;1;0;0;1;2;0
859;733;0;0;0;0;0;10;0;1;0;0;5;88;0;24;0;69;1;85;1;0;12;2;699;0;13;2;0;1;0;632;23;2;4;0;0;0;10;0;18;583;1;4;0;103;9;4;0;1;0;0;25;88;0;6;13;0;0;21;12;0;0;19;0;9;6;0;0;27;0;1;19;12;0;0;1022;0;1;8;0;371;0;0;0;495;7;1;0;103
0;3;17;817;9;9;8;629;4;600;3;112;178;8;2;14;2;34;0;7;0;6;7;1;1;10;5;20;13;85;31;1;10;2;1;2;2;0;4;497;2;13;0;13;101;3;4;0;598;357;863;0;23;56;14;40;38;28;1;7;8;12;1;2;2;189;5;22;27;6;3;2;8;5;14;19;0;1;3;4;8;21;3;1;1;0;13;139;3;14
16;24;1;1;0;3;0;1;0;4;0;3;22;772;0;3;1;139;0;480;1;2;0;0;13;2;5;2;1;18;2;20;634;28;18;1;1;0;4;3;1;137;0;3;4;516;17;6;0;19;6;4;550;73;1;0;2;12;0;3;1;1;3;194;0;11;121;6;12;638;0;1;4;10;3;5;13;1;1;5;3;338;1;3;1;17;253;12;3;709
