15;1;72;1;2;17;978;4;2;0;17;1;1008;0;14;0;1173;0;1;2;14;4;0;47;6;1256;42;72;90;1084
14;4;6;3;1;0;0;18;0;2417;0;1784;0;2412;0;0;0;8;19;0;6;0;0;8;7;0;0;33;2;0
47;31;12;7;26;9;26;26;25;38;1;33;1;47;1309;13;11;1068;1254;3;62;4;1332;26;63;5;2;444;13;20
1945;18;22;52;1912;1186;12;74;10;56;59;10;6;28;57;12;3;17;35;5;220;2;26;14;139;2;3;125;78;3
3;174;34;1260;0;0;2;437;3;28;1;34;0;21;14;1164;0;6;0;1712;3;20;6;45;7;1;34;818;13;2
359;7;76;57;305;958;20;20;3;23;1686;10;20;14;2;62;29;2;3;19;16;10;1;62;21;3;10;330;1286;7
2;0;1464;1;1;9;28;0;0;10;27;11;21;15;2;3;28;3;0;4;3;1191;1;1580;1;7;1286;158;45;17
1;1848;0;279;0;1;0;1230;2144;47;0;61;3;95;6;211;1;27;1;79;5;0;13;0;15;2;1;179;13;3
349;60;21;51;111;435;19;63;1;57;85;47;20;60;16;34;4;12;13;41;1986;4;13;22;1935;3;8;275;99;7
54;744;2;1652;18;28;4;1323;68;18;15;14;7;18;4;871;6;1;0;914;22;0;3;2;12;7;2;123;15;2
