1;522;0;0;0;1;0;7;1;0;1;0;566;335;0;5;0;0;6;1;1;0;1;0;1;1;0;388;0;16;0;4;3;2;0;6;0;0;0;2;0;54;0;1;3;463;20;1;0;296;0;1;13;0;0;495;0;5;0;7;6;6;27;332;2;15;3;0;3;0;374;0;567;1;0;0;0;0;0;1;0;0;478;9;1;0;0;5;0;0;8;344;0;5;0;0;0;506;0;0
0;0;16;2;1123;0;0;0;0;0;0;0;0;0;0;0;1745;0;20;0;2;0;2;1;1;5;0;0;2;7;0;0;7;0;0;0;1932;0;0;0;2;20;0;3;2;0;1;0;1;0;0;2;0;1757;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;11;0;1;0;0;2;0;8;0;0;0;0;13;0;0;0;7;0;0;1;0;0;0;0;38;0;0;3;0
0;10;7;10;4;1;0;391;0;369;3;0;5;4;0;1;10;1;9;6;4;1;336;243;5;455;1;0;2;11;446;370;18;9;2;1;8;374;6;1;294;217;0;1;1;3;1;0;0;5;1;11;1;9;17;0;5;0;17;381;0;2;9;1;2;0;2;0;283;1;3;4;7;6;2;241;167;1;0;0;386;1;0;10;4;2;4;10;2;1;3;2;0;0;2;341;1;6;17;347
0;5;13;22;2;29;0;13;18;4;2;9;0;0;1;3;10;0;19;24;649;5;8;4;2;18;0;2;1;1;7;5;23;17;5;1;7;5;495;67;2;41;1;4;0;1;11;27;10;5;0;6;1;2;16;0;498;110;24;26;21;427;4;0;698;0;22;1;8;614;1;396;0;5;0;5;20;1;4;6;8;320;3;501;5;2;2;30;0;1;26;0;674;4;1;10;12;1;6;11
4;0;119;4;16;0;595;1;0;15;178;28;0;0;230;0;11;688;0;0;0;83;0;1;437;1;721;0;2;24;1;0;0;1;27;7;5;0;0;0;2;95;51;105;3;0;5;0;100;1;393;18;1;19;3;0;0;0;1;3;0;0;13;1;0;4;292;0;0;0;0;1;0;2;409;0;1;2;345;0;0;2;0;1;4;0;1;0;546;1;5;1;0;0;1;0;210;0;1;0
0;7;4;0;5;698;1;0;523;0;8;3;1;1;13;8;3;1;4;1;11;1;2;0;9;5;0;3;0;27;0;0;14;3;6;1;6;0;23;64;1;115;0;2;7;0;651;452;2;3;3;1;24;3;4;1;8;269;9;1;435;209;28;1;28;1;43;5;0;1;1;19;0;0;0;0;1;2;10;655;0;102;4;170;7;0;0;6;1;2;36;3;3;620;0;0;12;4;0;0
591;5;0;0;5;5;0;1;14;2;1;0;1;7;1;659;1;1;0;1;0;0;0;3;1;0;0;1;0;705;0;1;4;0;0;649;8;0;0;4;0;96;0;0;772;3;9;2;0;7;0;0;414;4;1;6;0;2;0;0;11;2;683;6;0;627;2;0;0;0;4;0;0;0;1;0;0;0;0;8;0;0;11;1;555;0;0;0;1;0;1;11;0;5;0;0;0;2;0;0
0;0;295;554;10;0;3;1;0;1;5;36;0;0;6;0;17;2;0;0;0;18;6;0;12;2;7;1;563;0;0;0;0;0;25;0;27;0;0;0;6;70;18;71;0;1;7;0;28;0;1;353;0;40;0;0;0;0;0;3;0;0;0;0;0;0;55;390;29;0;0;6;0;5;4;0;44;555;69;0;0;1;0;2;0;579;447;0;3;526;11;2;0;0;654;2;28;1;660;3
3;3;23;1;10;11;3;1;12;0;4;3;1;1;11;0;15;0;659;513;19;4;4;1;2;1;5;1;0;7;1;1;524;587;7;3;16;1;9;293;1;66;19;15;1;1;27;31;13;4;1;14;11;17;525;1;9;84;462;5;72;51;6;1;9;2;14;0;5;15;3;117;1;435;3;4;3;1;5;18;1;74;7;124;2;0;1;492;10;1;256;1;11;22;0;4;7;0;2;4
1;0;268;17;1;0;9;1;2;0;272;618;4;3;134;0;6;10;4;0;3;683;0;0;107;0;8;0;12;0;0;0;9;1;476;0;4;0;0;6;0;41;450;523;0;2;2;6;530;1;101;118;2;6;1;3;2;2;4;5;2;18;0;0;3;1;299;14;0;5;2;15;0;1;23;0;2;12;503;2;0;9;2;27;0;5;10;0;15;23;13;6;18;3;10;1;432;0;15;0
