num classes;codebook size;pca;band width;macro avg;running time
02;0000;0050;0.100;1.00;33.985
07;0000;0050;0.100;0.00;43.961
02;0000;0050;0.200;1.00;33.796
07;0000;0050;0.200;0.00;42.536
02;0000;0050;0.500;0.77;31.991
07;0000;0050;0.500;0.00;41.154
02;0000;0050;1.000;0.63;31.375
07;0000;0050;1.000;0.02;41.397
02;0000;0050;2.000;0.66;31.258
07;0000;0050;2.000;0.02;43.264
02;0000;no_pca;0.100;1.00;48.885
07;0000;no_pca;0.100;0.00;50.526
02;0000;no_pca;0.200;1.00;48.282
07;0000;no_pca;0.200;0.00;49.758
02;0000;no_pca;0.500;1.00;47.800
07;0000;no_pca;0.500;0.00;49.309
02;0000;no_pca;1.000;0.70;48.160
07;0000;no_pca;1.000;0.01;53.213
02;0000;no_pca;2.000;0.67;46.930
07;0000;no_pca;2.000;0.02;51.051
02;0100;0050;0.100;0.59;4.610
07;0100;0050;0.100;0.02;14.705
02;0100;0050;0.200;0.59;4.710
07;0100;0050;0.200;0.02;15.065
02;0100;0050;0.500;0.59;4.610
07;0100;0050;0.500;0.02;14.896
02;0100;0050;1.000;0.59;4.632
07;0100;0050;1.000;0.04;14.507
02;0100;0050;2.000;0.62;4.600
07;0100;0050;2.000;0.05;14.694
02;0100;no_pca;0.100;0.71;2.062
07;0100;no_pca;0.100;0.02;3.727
02;0100;no_pca;0.200;0.70;1.525
07;0100;no_pca;0.200;0.02;3.166
02;0100;no_pca;0.500;0.71;1.241
07;0100;no_pca;0.500;0.02;3.224
02;0100;no_pca;1.000;0.77;1.237
07;0100;no_pca;1.000;0.04;3.062
02;0100;no_pca;2.000;0.66;1.297
07;0100;no_pca;2.000;0.05;3.165
02;0200;0050;0.100;0.68;4.902
07;0200;0050;0.100;0.02;15.603
02;0200;0050;0.200;0.68;4.945
07;0200;0050;0.200;0.02;15.658
02;0200;0050;0.500;0.63;5.009
07;0200;0050;0.500;0.02;15.613
02;0200;0050;1.000;0.49;4.811
07;0200;0050;1.000;0.04;15.771
02;0200;0050;2.000;0.38;4.902
07;0200;0050;2.000;0.05;15.605
02;0200;no_pca;0.100;0.97;1.704
07;0200;no_pca;0.100;0.01;3.942
02;0200;no_pca;0.200;0.96;1.507
07;0200;no_pca;0.200;0.01;4.271
02;0200;no_pca;0.500;0.96;1.863
07;0200;no_pca;0.500;0.02;4.051
02;0200;no_pca;1.000;0.70;1.713
07;0200;no_pca;1.000;0.05;3.847
02;0200;no_pca;2.000;0.42;1.416
07;0200;no_pca;2.000;0.05;4.028
02;0300;0050;0.100;0.74;4.994
07;0300;0050;0.100;0.02;16.500
02;0300;0050;0.200;0.73;5.161
07;0300;0050;0.200;0.02;16.443
02;0300;0050;0.500;0.64;4.991
07;0300;0050;0.500;0.02;16.398
02;0300;0050;1.000;0.48;4.974
07;0300;0050;1.000;0.04;16.181
02;0300;0050;2.000;0.36;4.972
07;0300;0050;2.000;0.05;16.384
02;0300;no_pca;0.100;0.98;1.937
07;0300;no_pca;0.100;0.01;4.728
02;0300;no_pca;0.200;0.98;1.707
07;0300;no_pca;0.200;0.01;5.265
02;0300;no_pca;0.500;0.98;1.640
07;0300;no_pca;0.500;0.01;5.115
02;0300;no_pca;1.000;0.62;1.519
07;0300;no_pca;1.000;0.05;4.893
02;0300;no_pca;2.000;0.39;1.603
07;0300;no_pca;2.000;0.05;5.156
