num classes;codebook size;pca;band width;macro avg;running time
02;0000;0050;0.100;1.00;64.675
10;0000;0050;0.100;1.00;97.534
02;0000;0050;0.200;1.00;67.723
10;0000;0050;0.200;1.00;91.662
02;0000;0050;0.500;1.00;58.302
10;0000;0050;0.500;1.00;84.853
02;0000;0050;1.000;0.73;57.851
10;0000;0050;1.000;0.46;94.089
02;0000;0050;2.000;0.57;57.064
10;0000;0050;2.000;0.24;97.845
02;0000;no_pca;0.100;1.00;298.286
10;0000;no_pca;0.100;1.00;310.420
02;0000;no_pca;0.200;1.00;302.034
10;0000;no_pca;0.200;1.00;311.851
02;0000;no_pca;0.500;1.00;302.424
10;0000;no_pca;0.500;1.00;373.323
02;0000;no_pca;1.000;0.83;315.019
10;0000;no_pca;1.000;0.62;306.336
02;0000;no_pca;2.000;0.59;315.359
10;0000;no_pca;2.000;0.25;327.632
02;0100;0050;0.100;0.79;4.760
10;0100;0050;0.100;0.56;20.728
02;0100;0050;0.200;0.79;4.704
10;0100;0050;0.200;0.56;20.330
02;0100;0050;0.500;0.79;4.614
10;0100;0050;0.500;0.57;19.863
02;0100;0050;1.000;0.75;4.595
10;0100;0050;1.000;0.44;19.904
02;0100;0050;2.000;0.60;4.584
10;0100;0050;2.000;0.22;19.902
02;0100;no_pca;0.100;0.86;7.807
10;0100;no_pca;0.100;0.60;33.201
02;0100;no_pca;0.200;0.86;7.534
10;0100;no_pca;0.200;0.60;33.494
02;0100;no_pca;0.500;0.86;7.508
10;0100;no_pca;0.500;0.60;33.794
02;0100;no_pca;1.000;0.79;7.984
10;0100;no_pca;1.000;0.48;32.334
02;0100;no_pca;2.000;0.64;7.401
10;0100;no_pca;2.000;0.24;33.051
02;0200;0050;0.100;0.87;8.471
10;0200;0050;0.100;0.65;30.819
02;0200;0050;0.200;0.87;8.932
10;0200;0050;0.200;0.65;33.390
02;0200;0050;0.500;0.87;8.566
10;0200;0050;0.500;0.64;32.142
02;0200;0050;1.000;0.77;8.687
10;0200;0050;1.000;0.45;32.304
02;0200;0050;2.000;0.54;8.572
10;0200;0050;2.000;0.21;30.345
02;0200;no_pca;0.100;0.91;7.701
10;0200;no_pca;0.100;0.69;38.872
02;0200;no_pca;0.200;0.91;8.632
10;0200;no_pca;0.200;0.69;40.092
02;0200;no_pca;0.500;0.91;8.796
10;0200;no_pca;0.500;0.69;38.481
02;0200;no_pca;1.000;0.83;8.371
10;0200;no_pca;1.000;0.50;38.591
02;0200;no_pca;2.000;0.55;8.455
10;0200;no_pca;2.000;0.21;40.043
02;0300;0050;0.100;0.90;9.036
10;0300;0050;0.100;0.70;34.646
02;0300;0050;0.200;0.90;9.645
10;0300;0050;0.200;0.70;33.020
02;0300;0050;0.500;0.90;8.995
10;0300;0050;0.500;0.68;32.126
02;0300;0050;1.000;0.75;8.276
10;0300;0050;1.000;0.45;30.806
02;0300;0050;2.000;0.49;8.357
10;0300;0050;2.000;0.21;30.004
02;0300;no_pca;0.100;0.96;9.546
10;0300;no_pca;0.100;0.76;45.381
02;0300;no_pca;0.200;0.96;9.348
10;0300;no_pca;0.200;0.75;46.930
02;0300;no_pca;0.500;0.96;8.991
10;0300;no_pca;0.500;0.74;48.477
02;0300;no_pca;1.000;0.89;8.816
10;0300;no_pca;1.000;0.50;46.781
02;0300;no_pca;2.000;0.53;9.081
10;0300;no_pca;2.000;0.23;44.278
