num classes;codebook size;pca;K;macro avg;running time
02;0000;0050;003;0.98;190.363
10;0000;0050;003;0.79;187.281
02;0000;0050;005;0.97;193.274
10;0000;0050;005;0.76;201.129
02;0000;0050;007;0.96;200.621
10;0000;0050;007;0.74;201.954
02;0000;0050;009;0.95;208.196
10;0000;0050;009;0.72;207.221
02;0000;0050;011;0.95;199.398
10;0000;0050;011;0.71;210.085
02;0000;0050;013;0.94;208.565
10;0000;0050;013;0.70;210.706
02;0000;no_pca;003;0.99;87.030
10;0000;no_pca;003;0.82;93.728
02;0000;no_pca;005;0.97;87.452
10;0000;no_pca;005;0.79;98.516
02;0000;no_pca;007;0.97;88.457
10;0000;no_pca;007;0.77;94.422
02;0000;no_pca;009;0.96;90.590
10;0000;no_pca;009;0.76;96.298
02;0000;no_pca;011;0.95;89.713
10;0000;no_pca;011;0.75;98.696
02;0000;no_pca;013;0.95;92.369
10;0000;no_pca;013;0.74;100.022
02;0100;0050;003;0.74;14.681
10;0100;0050;003;0.39;48.995
02;0100;0050;005;0.71;15.774
10;0100;0050;005;0.40;51.614
02;0100;0050;007;0.68;15.853
10;0100;0050;007;0.38;48.171
02;0100;0050;009;0.61;17.221
10;0100;0050;009;0.37;51.734
02;0100;0050;011;0.60;17.500
10;0100;0050;011;0.37;52.176
02;0100;0050;013;0.60;17.589
10;0100;0050;013;0.35;53.427
02;0100;no_pca;003;0.72;4.195
10;0100;no_pca;003;0.42;12.269
02;0100;no_pca;005;0.62;4.408
10;0100;no_pca;005;0.41;12.183
02;0100;no_pca;007;0.57;4.674
10;0100;no_pca;007;0.39;12.270
02;0100;no_pca;009;0.60;4.773
10;0100;no_pca;009;0.37;12.844
02;0100;no_pca;011;0.61;4.873
10;0100;no_pca;011;0.38;13.042
02;0100;no_pca;013;0.57;4.897
10;0100;no_pca;013;0.37;13.314
02;0200;0050;003;0.77;22.512
10;0200;0050;003;0.46;63.921
02;0200;0050;005;0.73;23.045
10;0200;0050;005;0.45;64.790
02;0200;0050;007;0.69;26.552
10;0200;0050;007;0.43;66.798
02;0200;0050;009;0.66;25.712
10;0200;0050;009;0.42;70.187
02;0200;0050;011;0.61;26.066
10;0200;0050;011;0.41;71.259
02;0200;0050;013;0.64;27.082
10;0200;0050;013;0.41;69.633
02;0200;no_pca;003;0.85;5.917
10;0200;no_pca;003;0.49;16.616
02;0200;no_pca;005;0.77;6.435
10;0200;no_pca;005;0.48;17.143
02;0200;no_pca;007;0.68;6.939
10;0200;no_pca;007;0.46;18.006
02;0200;no_pca;009;0.66;6.419
10;0200;no_pca;009;0.44;18.879
02;0200;no_pca;011;0.62;6.732
10;0200;no_pca;011;0.43;18.548
02;0200;no_pca;013;0.61;7.074
10;0200;no_pca;013;0.42;19.034
02;0300;0050;003;0.85;25.060
10;0300;0050;003;0.52;71.919
02;0300;0050;005;0.82;25.891
10;0300;0050;005;0.50;71.641
02;0300;0050;007;0.77;26.741
10;0300;0050;007;0.48;77.263
02;0300;0050;009;0.75;29.152
10;0300;0050;009;0.47;78.247
02;0300;0050;011;0.71;27.389
10;0300;0050;011;0.46;83.285
02;0300;0050;013;0.69;27.569
10;0300;0050;013;0.44;79.122
02;0300;no_pca;003;0.91;6.534
10;0300;no_pca;003;0.55;20.196
02;0300;no_pca;005;0.88;7.205
10;0300;no_pca;005;0.53;20.846
02;0300;no_pca;007;0.83;7.421
10;0300;no_pca;007;0.50;20.207
02;0300;no_pca;009;0.77;7.893
10;0300;no_pca;009;0.49;21.842
02;0300;no_pca;011;0.74;7.562
10;0300;no_pca;011;0.47;21.819
02;0300;no_pca;013;0.67;7.410
10;0300;no_pca;013;0.46;22.060
