num trees;pca;f1 macro avg
00050;no_pca;1.00;
00050;pca;1.00;
00100;no_pca;1.00;
00100;pca;1.00;
00200;no_pca;1.00;
00200;pca;1.00;
00300;no_pca;1.00;
00300;pca;1.00;
00500;no_pca;1.00;
00500;pca;1.00;
00700;no_pca;1.00;
00700;pca;1.00;
01000;no_pca;1.00;
01000;pca;1.00;
