num trees;pca;max depth;f1 macro avg
00050;no_pca;003;0.09;
00050;pca;003;0.09;
00050;no_pca;005;0.18;
00050;pca;005;0.09;
00050;no_pca;007;0.33;
00050;pca;007;0.16;
00050;no_pca;009;0.45;
00050;pca;009;0.25;
00050;no_pca;011;0.60;
00050;pca;011;0.36;
00050;no_pca;013;0.71;
00050;pca;013;0.49;
00100;no_pca;003;0.10;
00100;pca;003;0.09;
00100;no_pca;005;0.21;
00100;pca;005;0.10;
00100;no_pca;007;0.34;
00100;pca;007;0.13;
00100;no_pca;009;0.46;
00100;pca;009;0.26;
00100;no_pca;011;0.60;
00100;pca;011;0.36;
00100;no_pca;013;0.71;
00100;pca;013;0.49;
00200;no_pca;003;0.09;
00200;pca;003;0.09;
00200;no_pca;005;0.20;
00200;pca;005;0.10;
00200;no_pca;007;0.33;
00200;pca;007;0.14;
00200;no_pca;009;0.45;
00200;pca;009;0.26;
00200;no_pca;011;0.61;
00200;pca;011;0.38;
00200;no_pca;013;0.71;
00200;pca;013;0.49;
00300;no_pca;003;0.09;
00300;pca;003;0.09;
00300;no_pca;005;0.18;
00300;pca;005;0.10;
00300;no_pca;007;0.33;
00300;pca;007;0.15;
00300;no_pca;009;0.44;
00300;pca;009;0.26;
00300;no_pca;011;0.60;
00300;pca;011;0.33;
00300;no_pca;013;0.71;
00300;pca;013;0.49;
00500;no_pca;003;0.10;
00500;pca;003;0.09;
00500;no_pca;005;0.18;
00500;pca;005;0.10;
00500;no_pca;007;0.34;
00500;pca;007;0.15;
00500;no_pca;009;0.44;
00500;pca;009;0.25;
00500;no_pca;011;0.60;
00500;pca;011;0.35;
00500;no_pca;013;0.71;
00500;pca;013;0.49;
00700;no_pca;003;0.09;
00700;pca;003;0.09;
00700;no_pca;005;0.19;
00700;pca;005;0.10;
00700;no_pca;007;0.33;
00700;pca;007;0.13;
00700;no_pca;009;0.45;
00700;pca;009;0.25;
00700;no_pca;011;0.61;
00700;pca;011;0.36;
00700;no_pca;013;0.70;
00700;pca;013;0.49;
01000;no_pca;003;0.09;
01000;pca;003;0.09;
01000;no_pca;005;0.18;
01000;pca;005;0.10;
01000;no_pca;007;0.34;
01000;pca;007;0.14;
01000;no_pca;009;0.44;
01000;pca;009;0.25;
01000;no_pca;011;0.60;
01000;pca;011;0.36;
01000;no_pca;013;0.71;
01000;pca;013;0.49;
