num trees;pca;max depth;f1 macro avg
00050;no_pca;003;0.81;
00050;pca;003;0.50;
00050;no_pca;005;0.90;
00050;pca;005;0.62;
00050;no_pca;007;0.99;
00050;pca;007;0.84;
00050;no_pca;009;0.99;
00050;pca;009;0.94;
00050;no_pca;011;1.00;
00050;pca;011;0.98;
00050;no_pca;013;1.00;
00050;pca;013;0.99;
00100;no_pca;003;0.80;
00100;pca;003;0.50;
00100;no_pca;005;0.93;
00100;pca;005;0.54;
00100;no_pca;007;0.98;
00100;pca;007;0.86;
00100;no_pca;009;0.99;
00100;pca;009;0.94;
00100;no_pca;011;1.00;
00100;pca;011;0.98;
00100;no_pca;013;1.00;
00100;pca;013;0.99;
00200;no_pca;003;0.81;
00200;pca;003;0.50;
00200;no_pca;005;0.93;
00200;pca;005;0.63;
00200;no_pca;007;0.98;
00200;pca;007;0.84;
00200;no_pca;009;0.99;
00200;pca;009;0.94;
00200;no_pca;011;1.00;
00200;pca;011;0.98;
00200;no_pca;013;1.00;
00200;pca;013;0.99;
00300;no_pca;003;0.81;
00300;pca;003;0.50;
00300;no_pca;005;0.92;
00300;pca;005;0.66;
00300;no_pca;007;0.98;
00300;pca;007;0.85;
00300;no_pca;009;0.99;
00300;pca;009;0.95;
00300;no_pca;011;1.00;
00300;pca;011;0.98;
00300;no_pca;013;1.00;
00300;pca;013;0.99;
00500;no_pca;003;0.81;
00500;pca;003;0.50;
00500;no_pca;005;0.92;
00500;pca;005;0.64;
00500;no_pca;007;0.98;
00500;pca;007;0.85;
00500;no_pca;009;0.99;
00500;pca;009;0.94;
00500;no_pca;011;1.00;
00500;pca;011;0.98;
00500;no_pca;013;1.00;
00500;pca;013;0.99;
00700;no_pca;003;0.81;
00700;pca;003;0.50;
00700;no_pca;005;0.92;
00700;pca;005;0.64;
00700;no_pca;007;0.98;
00700;pca;007;0.88;
00700;no_pca;009;0.99;
00700;pca;009;0.94;
00700;no_pca;011;1.00;
00700;pca;011;0.98;
00700;no_pca;013;1.00;
00700;pca;013;0.99;
01000;no_pca;003;0.81;
01000;pca;003;0.50;
01000;no_pca;005;0.92;
01000;pca;005;0.60;
01000;no_pca;007;0.98;
01000;pca;007;0.86;
01000;no_pca;009;0.99;
01000;pca;009;0.94;
01000;no_pca;011;1.00;
01000;pca;011;0.98;
01000;no_pca;013;1.00;
01000;pca;013;0.99;
