num_trees;pca;macro avg
00050;no_pca;0.83;
00050;pca;0.77;
00100;no_pca;0.77;
00100;pca;0.70;
00200;no_pca;0.83;
00200;pca;0.77;
00300;no_pca;0.77;
00300;pca;0.77;
00500;no_pca;0.83;
00500;pca;0.77;
00700;no_pca;0.70;
00700;pca;0.77;
01000;no_pca;0.77;
01000;pca;0.77;
