num classes;codebook size;pca;K;macro avg;running time
02;0000;0040;003;0.99;196.714
10;0000;0040;003;0.82;176.433
02;0000;0040;005;0.98;181.569
10;0000;0040;005;0.78;184.587
02;0000;0040;007;0.97;192.700
10;0000;0040;007;0.76;204.131
02;0000;0040;009;0.97;186.926
10;0000;0040;009;0.73;192.021
02;0000;0040;011;0.97;217.076
10;0000;0040;011;0.72;210.960
02;0000;0040;013;0.96;214.360
10;0000;0040;013;0.71;214.445
02;0000;no_pca;003;0.99;97.416
10;0000;no_pca;003;0.86;92.996
02;0000;no_pca;005;0.98;98.353
10;0000;no_pca;005;0.82;103.677
02;0000;no_pca;007;0.97;92.500
10;0000;no_pca;007;0.80;95.928
02;0000;no_pca;009;0.97;108.090
10;0000;no_pca;009;0.78;106.381
02;0000;no_pca;011;0.97;100.788
10;0000;no_pca;011;0.76;97.178
02;0000;no_pca;013;0.96;111.688
10;0000;no_pca;013;0.75;102.744
02;0100;0040;003;0.65;10.235
10;0100;0040;003;0.45;17.586
02;0100;0040;005;0.64;10.780
10;0100;0040;005;0.40;16.135
02;0100;0040;007;0.63;12.001
10;0100;0040;007;0.37;16.892
02;0100;0040;009;0.63;10.979
10;0100;0040;009;0.33;17.113
02;0100;0040;011;0.60;11.646
10;0100;0040;011;0.32;17.582
02;0100;0040;013;0.59;11.444
10;0100;0040;013;0.30;18.217
02;0100;no_pca;003;0.71;1.327
10;0100;no_pca;003;0.50;3.994
02;0100;no_pca;005;0.66;1.134
10;0100;no_pca;005;0.44;3.928
02;0100;no_pca;007;0.65;1.244
10;0100;no_pca;007;0.40;4.041
02;0100;no_pca;009;0.59;1.583
10;0100;no_pca;009;0.36;4.275
02;0100;no_pca;011;0.58;1.557
10;0100;no_pca;011;0.34;4.043
02;0100;no_pca;013;0.54;1.535
10;0100;no_pca;013;0.33;4.359
02;0200;0040;003;0.85;13.214
10;0200;0040;003;0.53;24.647
02;0200;0040;005;0.82;13.423
10;0200;0040;005;0.48;26.119
02;0200;0040;007;0.74;12.248
10;0200;0040;007;0.46;26.648
02;0200;0040;009;0.76;12.883
10;0200;0040;009;0.44;27.060
02;0200;0040;011;0.74;12.971
10;0200;0040;011;0.43;27.037
02;0200;0040;013;0.62;13.489
10;0200;0040;013;0.39;28.087
02;0200;no_pca;003;0.91;1.440
10;0200;no_pca;003;0.57;6.557
02;0200;no_pca;005;0.88;1.460
10;0200;no_pca;005;0.53;6.599
02;0200;no_pca;007;0.85;1.577
10;0200;no_pca;007;0.50;6.795
02;0200;no_pca;009;0.78;1.584
10;0200;no_pca;009;0.48;6.705
02;0200;no_pca;011;0.77;1.656
10;0200;no_pca;011;0.47;6.824
02;0200;no_pca;013;0.76;1.648
10;0200;no_pca;013;0.44;7.085
02;0300;0040;003;0.94;8.461
10;0300;0040;003;0.57;26.685
02;0300;0040;005;0.93;9.641
10;0300;0040;005;0.52;31.567
02;0300;0040;007;0.90;9.343
10;0300;0040;007;0.49;28.646
02;0300;0040;009;0.87;9.518
10;0300;0040;009;0.47;30.077
02;0300;0040;011;0.87;10.816
10;0300;0040;011;0.45;30.217
02;0300;0040;013;0.83;11.216
10;0300;0040;013;0.43;31.243
02;0300;no_pca;003;0.97;1.673
10;0300;no_pca;003;0.61;8.115
02;0300;no_pca;005;0.96;1.671
10;0300;no_pca;005;0.56;8.332
02;0300;no_pca;007;0.94;1.812
10;0300;no_pca;007;0.54;8.751
02;0300;no_pca;009;0.91;1.986
10;0300;no_pca;009;0.52;8.603
02;0300;no_pca;011;0.90;1.877
10;0300;no_pca;011;0.50;8.989
02;0300;no_pca;013;0.89;1.988
10;0300;no_pca;013;0.48;9.017
