num classes;codebook size;pca;K;macro avg;running time
02;0000;0050;003;0.97;109.166
10;0000;0050;003;0.83;107.088
02;0000;0050;005;0.96;109.746
10;0000;0050;005;0.80;107.869
02;0000;0050;007;0.95;117.274
10;0000;0050;007;0.78;109.336
02;0000;0050;009;0.94;115.993
10;0000;0050;009;0.77;114.233
02;0000;0050;011;0.93;114.307
10;0000;0050;011;0.76;112.631
02;0000;0050;013;0.93;117.386
10;0000;0050;013;0.75;115.030
02;0000;no_pca;003;0.97;67.086
10;0000;no_pca;003;0.85;63.559
02;0000;no_pca;005;0.96;67.242
10;0000;no_pca;005;0.82;63.511
02;0000;no_pca;007;0.95;70.478
10;0000;no_pca;007;0.80;64.696
02;0000;no_pca;009;0.94;71.038
10;0000;no_pca;009;0.79;71.145
02;0000;no_pca;011;0.93;72.036
10;0000;no_pca;011;0.77;72.414
02;0000;no_pca;013;0.93;70.977
10;0000;no_pca;013;0.77;73.324
02;0100;0050;003;0.69;4.715
10;0100;0050;003;0.48;12.761
02;0100;0050;005;0.60;4.948
10;0100;0050;005;0.49;12.873
02;0100;0050;007;0.58;5.318
10;0100;0050;007;0.49;13.969
02;0100;0050;009;0.56;5.805
10;0100;0050;009;0.47;14.096
02;0100;0050;011;0.56;5.788
10;0100;0050;011;0.46;14.236
02;0100;0050;013;0.54;6.077
10;0100;0050;013;0.44;15.119
02;0100;no_pca;003;0.72;1.752
10;0100;no_pca;003;0.49;4.705
02;0100;no_pca;005;0.65;1.921
10;0100;no_pca;005;0.51;4.263
02;0100;no_pca;007;0.62;1.857
10;0100;no_pca;007;0.50;4.595
02;0100;no_pca;009;0.61;1.884
10;0100;no_pca;009;0.48;4.922
02;0100;no_pca;011;0.62;2.016
10;0100;no_pca;011;0.47;5.023
02;0100;no_pca;013;0.61;2.218
10;0100;no_pca;013;0.45;4.964
02;0200;0050;003;0.71;7.614
10;0200;0050;003;0.57;21.845
02;0200;0050;005;0.64;8.020
10;0200;0050;005;0.57;21.329
02;0200;0050;007;0.58;9.636
10;0200;0050;007;0.55;22.993
02;0200;0050;009;0.56;8.702
10;0200;0050;009;0.53;22.085
02;0200;0050;011;0.54;9.115
10;0200;0050;011;0.52;23.485
02;0200;0050;013;0.53;9.581
10;0200;0050;013;0.51;23.761
02;0200;no_pca;003;0.80;2.590
10;0200;no_pca;003;0.61;7.268
02;0200;no_pca;005;0.66;2.779
10;0200;no_pca;005;0.58;7.536
02;0200;no_pca;007;0.64;2.809
10;0200;no_pca;007;0.56;7.822
02;0200;no_pca;009;0.62;2.859
10;0200;no_pca;009;0.54;8.189
02;0200;no_pca;011;0.60;3.036
10;0200;no_pca;011;0.53;8.220
02;0200;no_pca;013;0.59;3.181
10;0200;no_pca;013;0.52;8.104
02;0300;0050;003;0.78;8.427
10;0300;0050;003;0.62;23.454
02;0300;0050;005;0.70;9.183
10;0300;0050;005;0.60;23.887
02;0300;0050;007;0.66;9.385
10;0300;0050;007;0.59;25.091
02;0300;0050;009;0.61;9.912
10;0300;0050;009;0.58;25.931
02;0300;0050;011;0.59;10.132
10;0300;0050;011;0.56;25.773
02;0300;0050;013;0.57;10.367
10;0300;0050;013;0.55;26.331
02;0300;no_pca;003;0.92;3.072
10;0300;no_pca;003;0.66;8.911
02;0300;no_pca;005;0.87;3.120
10;0300;no_pca;005;0.63;8.790
02;0300;no_pca;007;0.84;3.238
10;0300;no_pca;007;0.61;9.944
02;0300;no_pca;009;0.81;3.566
10;0300;no_pca;009;0.60;9.343
02;0300;no_pca;011;0.76;3.591
10;0300;no_pca;011;0.59;10.109
02;0300;no_pca;013;0.72;3.444
10;0300;no_pca;013;0.58;10.018
