num_trees;pca;macro avg
00050;no_pca;0.59;
00050;pca;0.33;
00100;no_pca;0.60;
00100;pca;0.33;
00200;no_pca;0.59;
00200;pca;0.33;
00300;no_pca;0.58;
00300;pca;0.33;
00500;no_pca;0.59;
00500;pca;0.33;
00700;no_pca;0.58;
00700;pca;0.33;
01000;no_pca;0.58;
01000;pca;0.33;
