num_trees;pca;max_depth;macro avg
00050;no_pca;003;0.50;
00050;pca;003;0.50;
00050;no_pca;005;0.66;
00050;pca;005;0.50;
00050;no_pca;007;0.94;
00050;pca;007;0.52;
00050;no_pca;009;0.99;
00050;pca;009;0.78;
00050;no_pca;011;1.00;
00050;pca;011;0.96;
00050;no_pca;013;1.00;
00050;pca;013;0.99;
00100;no_pca;003;0.50;
00100;pca;003;0.50;
00100;no_pca;005;0.62;
00100;pca;005;0.50;
00100;no_pca;007;0.94;
00100;pca;007;0.50;
00100;no_pca;009;0.99;
00100;pca;009;0.77;
00100;no_pca;011;1.00;
00100;pca;011;0.95;
00100;no_pca;013;1.00;
00100;pca;013;0.99;
00200;no_pca;003;0.50;
00200;pca;003;0.50;
00200;no_pca;005;0.56;
00200;pca;005;0.50;
00200;no_pca;007;0.93;
00200;pca;007;0.51;
00200;no_pca;009;0.99;
00200;pca;009;0.76;
00200;no_pca;011;1.00;
00200;pca;011;0.95;
00200;no_pca;013;1.00;
00200;pca;013;1.00;
00300;no_pca;003;0.50;
00300;pca;003;0.50;
00300;no_pca;005;0.58;
00300;pca;005;0.50;
00300;no_pca;007;0.94;
00300;pca;007;0.50;
00300;no_pca;009;0.99;
00300;pca;009;0.75;
00300;no_pca;011;1.00;
00300;pca;011;0.95;
00300;no_pca;013;1.00;
00300;pca;013;1.00;
00500;no_pca;003;0.50;
00500;pca;003;0.50;
00500;no_pca;005;0.56;
00500;pca;005;0.50;
00500;no_pca;007;0.94;
00500;pca;007;0.51;
00500;no_pca;009;0.99;
00500;pca;009;0.78;
00500;no_pca;011;1.00;
00500;pca;011;0.95;
00500;no_pca;013;1.00;
00500;pca;013;1.00;
00700;no_pca;003;0.50;
00700;pca;003;0.50;
00700;no_pca;005;0.55;
00700;pca;005;0.50;
00700;no_pca;007;0.94;
00700;pca;007;0.50;
00700;no_pca;009;0.99;
00700;pca;009;0.76;
00700;no_pca;011;1.00;
00700;pca;011;0.94;
00700;no_pca;013;1.00;
00700;pca;013;1.00;
01000;no_pca;003;0.50;
01000;pca;003;0.50;
01000;no_pca;005;0.58;
01000;pca;005;0.50;
01000;no_pca;007;0.94;
01000;pca;007;0.50;
01000;no_pca;009;0.99;
01000;pca;009;0.78;
01000;no_pca;011;1.00;
01000;pca;011;0.94;
01000;no_pca;013;1.00;
01000;pca;013;1.00;
