num classes;codebook size;pca;band width;f1 macro avg;running time
02;0000;0050;0.100;1.00;105.200
10;0000;0050;0.100;1.00;139.690
02;0000;0050;0.200;1.00;104.124
10;0000;0050;0.200;1.00;144.882
02;0000;0050;0.500;1.00;105.645
10;0000;0050;0.500;0.97;135.615
02;0000;0050;1.000;0.70;104.276
10;0000;0050;1.000;0.47;133.091
02;0000;0050;2.000;0.66;107.871
10;0000;0050;2.000;0.29;125.566
02;0000;no_pca;0.100;1.00;463.619
10;0000;no_pca;0.100;1.00;536.017
02;0000;no_pca;0.200;1.00;461.372
10;0000;no_pca;0.200;1.00;547.170
02;0000;no_pca;0.500;1.00;461.259
10;0000;no_pca;0.500;1.00;525.453
02;0000;no_pca;1.000;0.84;463.074
10;0000;no_pca;1.000;0.63;524.829
02;0000;no_pca;2.000;0.72;460.366
10;0000;no_pca;2.000;0.31;531.380
02;0100;0050;0.100;0.82;5.168
10;0100;0050;0.100;0.64;20.503
02;0100;0050;0.200;0.76;4.676
10;0100;0050;0.200;0.64;20.626
02;0100;0050;0.500;0.76;4.624
10;0100;0050;0.500;0.63;20.201
02;0100;0050;1.000;0.76;4.587
10;0100;0050;1.000;0.59;20.197
02;0100;0050;2.000;0.78;4.600
10;0100;0050;2.000;0.36;20.295
02;0100;no_pca;0.100;0.97;9.780
10;0100;no_pca;0.100;0.71;42.757
02;0100;no_pca;0.200;0.90;9.624
10;0100;no_pca;0.200;0.70;41.728
02;0100;no_pca;0.500;0.90;9.210
10;0100;no_pca;0.500;0.70;42.829
02;0100;no_pca;1.000;0.90;9.346
10;0100;no_pca;1.000;0.65;41.934
02;0100;no_pca;2.000;0.88;9.853
10;0100;no_pca;2.000;0.38;41.309
02;0200;0050;0.100;0.87;8.239
10;0200;0050;0.100;0.71;39.534
02;0200;0050;0.200;0.84;8.008
10;0200;0050;0.200;0.71;39.493
02;0200;0050;0.500;0.81;7.969
10;0200;0050;0.500;0.70;38.242
02;0200;0050;1.000;0.78;8.714
10;0200;0050;1.000;0.57;37.275
02;0200;0050;2.000;0.81;7.888
10;0200;0050;2.000;0.33;39.835
02;0200;no_pca;0.100;0.97;10.738
10;0200;no_pca;0.100;0.78;50.908
02;0200;no_pca;0.200;0.93;10.029
10;0200;no_pca;0.200;0.78;49.375
02;0200;no_pca;0.500;0.92;9.584
10;0200;no_pca;0.500;0.78;47.558
02;0200;no_pca;1.000;0.90;9.534
10;0200;no_pca;1.000;0.65;48.988
02;0200;no_pca;2.000;0.90;9.551
10;0200;no_pca;2.000;0.40;49.137
02;0300;0050;0.100;0.90;9.515
10;0300;0050;0.100;0.75;39.907
02;0300;0050;0.200;0.88;7.902
10;0300;0050;0.200;0.75;41.229
02;0300;0050;0.500;0.84;8.036
10;0300;0050;0.500;0.73;39.693
02;0300;0050;1.000;0.80;7.862
10;0300;0050;1.000;0.56;38.215
02;0300;0050;2.000;0.81;8.214
10;0300;0050;2.000;0.32;37.769
02;0300;no_pca;0.100;0.97;11.121
10;0300;no_pca;0.100;0.84;56.797
02;0300;no_pca;0.200;0.95;10.430
10;0300;no_pca;0.200;0.83;56.369
02;0300;no_pca;0.500;0.95;10.382
10;0300;no_pca;0.500;0.83;56.218
02;0300;no_pca;1.000;0.93;10.448
10;0300;no_pca;1.000;0.66;56.099
02;0300;no_pca;2.000;0.90;10.303
10;0300;no_pca;2.000;0.37;55.813
