num classes;codebook size;pca;K;macro avg;running time
02;0000;0050;003;0.97;65.378
10;0000;0050;003;0.89;61.988
02;0000;0050;005;0.96;65.153
10;0000;0050;005;0.86;69.788
02;0000;0050;007;0.95;67.624
10;0000;0050;007;0.85;64.230
02;0000;0050;009;0.95;69.958
10;0000;0050;009;0.84;66.243
02;0000;0050;011;0.95;73.731
10;0000;0050;011;0.82;66.124
02;0000;0050;013;0.95;70.515
10;0000;0050;013;0.82;68.298
02;0000;no_pca;003;0.98;34.614
10;0000;no_pca;003;0.91;36.129
02;0000;no_pca;005;0.97;37.893
10;0000;no_pca;005;0.88;35.496
02;0000;no_pca;007;0.96;37.849
10;0000;no_pca;007;0.86;36.594
02;0000;no_pca;009;0.95;36.352
10;0000;no_pca;009;0.86;37.051
02;0000;no_pca;011;0.95;36.752
10;0000;no_pca;011;0.85;38.533
02;0000;no_pca;013;0.94;37.286
10;0000;no_pca;013;0.84;37.484
02;0100;0050;003;0.83;10.864
10;0100;0050;003;0.63;27.732
02;0100;0050;005;0.83;11.215
10;0100;0050;005;0.63;29.970
02;0100;0050;007;0.83;11.672
10;0100;0050;007;0.61;29.436
02;0100;0050;009;0.81;11.173
10;0100;0050;009;0.60;31.439
02;0100;0050;011;0.82;11.011
10;0100;0050;011;0.57;31.179
02;0100;0050;013;0.83;11.862
10;0100;0050;013;0.57;32.322
02;0100;no_pca;003;0.85;2.613
10;0100;no_pca;003;0.65;9.250
02;0100;no_pca;005;0.86;2.742
10;0100;no_pca;005;0.64;8.596
02;0100;no_pca;007;0.86;2.885
10;0100;no_pca;007;0.62;8.837
02;0100;no_pca;009;0.85;2.963
10;0100;no_pca;009;0.59;8.559
02;0100;no_pca;011;0.85;2.854
10;0100;no_pca;011;0.59;10.143
02;0100;no_pca;013;0.85;3.038
10;0100;no_pca;013;0.58;9.951
02;0200;0050;003;0.87;12.256
10;0200;0050;003;0.71;34.578
02;0200;0050;005;0.87;13.146
10;0200;0050;005;0.68;35.501
02;0200;0050;007;0.86;13.607
10;0200;0050;007;0.66;37.217
02;0200;0050;009;0.85;14.045
10;0200;0050;009;0.64;37.919
02;0200;0050;011;0.84;14.441
10;0200;0050;011;0.63;38.423
02;0200;0050;013;0.85;14.570
10;0200;0050;013;0.63;38.869
02;0200;no_pca;003;0.91;3.177
10;0200;no_pca;003;0.73;10.125
02;0200;no_pca;005;0.91;3.274
10;0200;no_pca;005;0.70;10.279
02;0200;no_pca;007;0.90;3.982
10;0200;no_pca;007;0.67;10.765
02;0200;no_pca;009;0.89;3.591
10;0200;no_pca;009;0.66;11.244
02;0200;no_pca;011;0.89;4.113
10;0200;no_pca;011;0.64;11.398
02;0200;no_pca;013;0.88;3.689
10;0200;no_pca;013;0.62;11.506
02;0300;0050;003;0.89;13.335
10;0300;0050;003;0.75;37.913
02;0300;0050;005;0.88;14.210
10;0300;0050;005;0.71;39.699
02;0300;0050;007;0.88;14.699
10;0300;0050;007;0.70;40.973
02;0300;0050;009;0.88;15.270
10;0300;0050;009;0.68;40.916
02;0300;0050;011;0.87;15.317
10;0300;0050;011;0.66;42.074
02;0300;0050;013;0.86;15.829
10;0300;0050;013;0.65;43.127
02;0300;no_pca;003;0.93;3.818
10;0300;no_pca;003;0.78;11.365
02;0300;no_pca;005;0.92;3.861
10;0300;no_pca;005;0.74;11.945
02;0300;no_pca;007;0.91;4.017
10;0300;no_pca;007;0.72;13.161
02;0300;no_pca;009;0.91;4.219
10;0300;no_pca;009;0.70;13.586
02;0300;no_pca;011;0.91;4.277
10;0300;no_pca;011;0.67;12.641
02;0300;no_pca;013;0.90;4.304
10;0300;no_pca;013;0.67;13.076
