patient;data_format;num_trees;max_depth;f1 macro avg
chb20;pca136;0100;003;0.86
chb20;pca136;0100;005;0.99
chb20;pca136;0100;007;0.85
chb20;pca136;0100;009;0.82
chb20;pca136;0100;011;0.99
chb20;pca136;0200;003;1.00
chb20;pca136;0200;005;0.84
chb20;pca136;0200;007;0.93
chb20;pca136;0200;009;0.91
chb20;pca136;0200;011;0.94
chb20;pca136;0300;003;0.86
chb20;pca136;0300;005;0.85
chb20;pca136;0300;007;0.99
chb20;pca136;0300;009;0.96
chb20;pca136;0300;011;0.98
chb20;pca136;0500;003;0.98
chb20;pca136;0500;005;0.77
chb20;pca136;0500;007;0.98
chb20;pca136;0500;009;0.99
chb20;pca136;0500;011;0.92
chb20;pca136;0700;003;0.99
chb20;pca136;0700;005;0.83
chb20;pca136;0700;007;0.98
chb20;pca136;0700;009;0.86
chb20;pca136;0700;011;0.87
chb20;pca136;1000;003;0.86
chb20;pca136;1000;005;0.99
chb20;pca136;1000;007;0.99
chb20;pca136;1000;009;0.88
chb20;pca136;1000;011;0.99
