num trees;pca;f1 macro avg
00050;no_pca;0.38;
00050;pca;0.24;
00100;no_pca;0.37;
00100;pca;0.24;
00200;no_pca;0.38;
00200;pca;0.24;
00300;no_pca;0.37;
00300;pca;0.24;
00500;no_pca;0.37;
00500;pca;0.24;
00700;no_pca;0.37;
00700;pca;0.24;
01000;no_pca;0.37;
01000;pca;0.24;
