0;0;2;0;3;5;0;0;0;272;14;0;0;0;0;0;1;0;0;4;0;219;1;4;0;0;0;210;0;0;215;268;0;0;210;0;0;1;0;0;157;2;1;0;0;0;0;289;0;253;0;0;299;0;0;2;1;1;0;3;294;0;0;7;0;0;10;341;4;316;0;0;2;1;1;0;0;0;1;0;0;2;63;329;2;224;278;4;0;233;7;0;0;2;1;5;0;2;0;0;1;1;1;0;3;10;0;0;0;0;292;0;247;0;0;1;0;0;2;0;263;0;0;1;0;252;4;0;0;2;1;16;0;1;0;252;1;0;1;4;0;0;0;0;0;0;0;0;1;0
0;0;0;0;0;6;595;0;0;0;0;15;2;1034;0;0;0;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;5;0;0;0;1;0;0;1065;0;0;1230;0;0;0;0;1;7;1;0;0;0;0;1;2;2;34;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;7;0;0;1;2;0;0;2;4;1;0;0;1;0;0;0;0;0;2;18;3;0;4;822;0;0;0;0;0;0;0;0;2;0;0;0;0;0;12;2;0;0;0;0;0;1;0;1;1;0;1333;0;1;0;1;14;487;0;0;0;0;0;0;0;0;1
188;2;0;1;0;2;3;260;0;0;0;3;304;6;0;237;0;0;0;14;9;5;2;237;1;0;11;4;0;244;1;2;2;2;4;1;0;303;0;2;13;7;0;1;1;0;1;4;8;0;0;8;2;2;0;0;1;4;1;2;0;0;302;3;11;1;83;1;1;1;0;4;1;231;0;1;1;1;8;0;21;0;31;8;9;4;6;4;5;2;0;13;277;167;330;2;0;0;0;0;2;0;4;211;5;1;171;7;0;2;0;368;0;3;0;5;202;0;0;0;0;7;304;247;2;1;298;1;5;0;4;8;3;0;8;0;5;0;6;0;3;4;1;4;0;319;1;0;0;312
4;393;0;1;34;1;7;15;3;0;0;12;0;0;386;1;1;1;0;11;14;0;5;6;1;9;3;2;478;2;0;0;365;412;2;0;0;6;1;19;0;8;5;0;1;0;0;0;1;0;4;2;2;4;3;1;0;10;4;25;0;1;7;59;6;0;67;0;102;1;9;0;1;4;1;0;403;0;3;9;3;1;3;3;24;4;0;0;22;3;0;3;3;6;7;359;12;2;347;0;0;57;315;5;74;5;18;7;0;1;0;5;0;375;13;7;1;0;4;1;0;15;15;12;330;0;3;0;5;3;57;1;302;0;3;0;0;0;4;403;2;2;0;2;1;3;284;33;20;3
1;0;1;14;2;9;2;0;39;0;3;78;0;4;0;0;0;193;0;0;0;0;200;9;0;146;1;1;0;0;0;0;0;0;1;230;379;0;0;1;0;0;0;3;33;432;439;0;4;0;9;11;0;1;13;0;10;1;0;0;0;57;0;2;1;383;87;0;0;0;223;0;3;0;0;1;0;380;1;22;1;1;30;2;0;1;0;8;1;0;2;16;0;35;0;0;0;0;0;490;0;1;0;0;0;3;0;5;277;0;0;1;0;0;0;5;0;383;0;0;0;0;0;0;2;1;0;328;0;75;0;10;0;1;3;0;287;2;1;0;4;70;347;0;13;5;0;0;1;0
0;3;3;2;420;7;3;0;0;0;0;1;0;3;3;0;7;1;0;8;3;0;4;1;1;8;1;0;5;0;0;0;2;14;0;0;0;0;5;9;1;4;401;1;1;0;0;0;1;0;0;2;3;5;7;424;2;13;0;12;2;1;0;13;0;1;103;1;162;0;5;0;1;1;0;0;2;2;1;1;0;19;8;6;0;1;2;8;0;1;1;3;0;14;0;85;403;356;2;0;14;152;5;0;292;481;0;2;0;0;0;0;2;6;406;14;1;1;538;354;0;2;0;1;26;1;0;2;1;5;4;14;18;0;1;7;0;0;1;53;0;6;0;0;0;0;7;134;274;0
1;0;421;0;4;499;6;0;0;0;295;0;0;3;0;0;271;0;299;1;0;2;0;0;0;0;0;4;0;0;3;6;0;0;4;0;0;0;0;0;3;0;3;0;0;0;1;0;0;0;0;3;5;355;0;8;394;2;0;1;5;0;0;0;0;0;46;3;1;4;0;0;468;0;0;446;0;0;0;0;0;311;57;6;0;2;2;456;0;3;371;0;0;5;0;2;6;0;0;1;307;1;0;0;9;1;0;0;0;0;0;0;1;0;2;0;0;0;3;4;1;1;0;0;0;3;1;1;0;0;0;446;0;332;1;0;0;0;1;0;4;0;0;0;0;0;0;2;8;0
0;0;0;16;0;0;11;3;14;0;0;271;0;11;0;2;0;57;0;0;0;1;40;0;355;22;3;0;0;0;0;0;0;0;1;2;1;0;321;0;0;0;0;406;19;5;4;0;15;0;28;30;0;0;3;0;0;1;386;0;0;24;0;9;596;13;44;0;4;0;34;463;0;3;408;0;0;0;3;19;337;0;34;0;0;0;0;0;443;0;0;283;0;9;2;0;0;1;0;2;0;0;0;0;0;6;23;4;2;464;0;0;1;0;0;2;5;4;0;0;0;0;4;28;0;2;0;7;0;78;0;0;0;0;12;1;7;390;0;1;4;3;3;439;15;1;0;0;0;0
0;10;0;3;18;4;19;5;3;1;0;12;0;7;14;0;4;2;1;348;415;0;7;1;1;2;236;2;7;0;2;1;7;11;0;2;1;3;0;395;0;411;5;2;6;3;0;0;3;3;6;11;0;1;4;17;0;266;0;233;4;15;0;65;1;6;95;1;15;0;3;0;1;1;1;0;14;0;344;1;2;6;2;1;392;2;0;4;1;1;1;14;0;13;1;10;13;10;13;3;2;76;10;1;3;27;2;10;2;0;1;1;1;3;12;294;0;11;13;5;0;319;6;5;16;1;0;0;472;4;144;3;27;0;4;0;0;0;526;34;8;6;1;0;6;1;11;137;73;2
0;1;0;472;16;0;1;0;427;0;0;193;0;3;0;0;0;385;0;1;1;1;288;3;15;312;6;0;8;0;0;0;0;3;1;9;4;1;8;0;2;0;2;11;478;3;14;1;3;4;367;5;0;0;262;0;1;8;5;2;0;328;0;6;13;4;32;0;0;1;402;3;0;1;24;0;10;28;1;408;8;1;41;0;6;2;2;0;9;2;0;79;0;6;0;4;1;4;7;3;0;2;2;0;0;2;1;2;13;1;0;0;1;1;4;7;0;20;0;0;0;5;0;2;8;4;0;30;0;386;8;1;12;1;3;0;33;6;4;17;0;229;9;10;356;0;0;5;0;1
