1562;124;37;1784;2;25;0;41;35;1986;2;44;2;11;0;1;24;216;24;3
0;4;29;0;1;0;2996;0;7;0;0;3;4;24;3616;0;3;33;0;22
35;80;45;34;37;95;118;37;129;4;3;37;39;55;156;22;73;161;2232;2566
10;20;973;10;52;24;28;1795;209;6;3;10;21;85;155;13;2446;121;91;59
0;70;3;2;1385;1170;68;0;3;1;1913;38;162;668;42;3;0;299;14;1
49;84;1167;24;73;77;19;1090;151;16;46;24;9;75;46;6;719;1739;2;5
53;3000;23;52;3;53;34;19;4;33;2;2342;0;7;65;0;6;194;6;22
2;0;3;4;284;273;125;2;15;3;78;3;2008;1152;88;2143;0;54;12;16
20;21;1710;13;45;51;99;522;2526;11;53;20;51;87;139;1;142;290;20;30
11;2;72;4;1690;787;27;35;11;10;931;5;780;1392;34;71;26;54;6;1
