0;334;18;0;3;1;10;1;18;2;0;4;0;6;0;0;1;17;0;402;295;2;0;335;269;0;1;3;0;0;376;0;20;0;1;0;0;0;0;1;278;0;0;0;1;1;348;0;1;0;2;0;0;2;0;271;0;0;2;0;0;4;0;0;342;1;1;4;1;0;1;0;1;0;0;0;0;0;1;0;1;1;6;0;0;0;343;4;283;1;273;0;247;0;323;343;0;0;2;0;1;26;340;290;0;1;3;0;2;1;0;0;0;0;0;0;1;9;40;0
0;0;22;860;0;1;1;0;0;0;0;2;0;2;1;2;0;2;0;0;0;0;5;0;0;0;0;0;1294;5;0;0;9;0;0;1;0;0;0;0;0;0;643;2;0;18;0;0;1;0;6;1;0;0;0;0;0;0;0;0;1;0;2;901;0;0;0;0;0;0;0;0;696;16;7;0;3;2;0;0;0;1;2;2;0;999;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;5;1;0;1;0;4;1202;0;0;3;0;0
2;10;31;11;0;1;7;0;0;2;2;2;0;8;0;0;6;3;0;4;4;0;11;5;12;0;560;415;22;537;4;1;11;0;1;4;0;417;3;0;0;8;5;4;2;538;2;0;0;0;25;2;40;4;7;2;1;0;0;2;554;0;529;10;1;1;19;364;0;1;3;1;5;4;6;13;40;9;0;4;0;1;1;6;1;14;0;354;4;0;0;0;2;18;0;8;7;2;6;0;24;228;0;6;473;10;0;0;4;11;1;9;33;400;9;1;2;8;13;0
0;6;160;5;3;3;16;12;0;5;0;4;2;34;11;27;5;9;0;0;0;3;225;2;0;1;9;3;3;7;1;0;3;2;189;4;2;5;417;1;1;500;6;2;314;19;1;2;0;0;13;0;19;2;7;1;6;7;0;2;12;1;7;2;0;434;16;8;6;0;4;0;2;8;455;3;10;4;6;473;5;547;5;346;504;0;0;5;0;29;0;8;0;2;0;1;442;39;22;0;33;23;0;2;3;3;117;29;4;1;1;16;28;3;3;5;312;0;61;0
401;1;32;6;0;87;0;0;5;8;0;10;191;1;142;0;377;1;482;0;1;0;3;0;0;30;0;2;8;0;0;2;11;1;0;0;0;0;0;1;0;0;4;1;1;0;0;27;3;522;0;463;6;4;0;1;51;271;1;0;1;3;0;6;0;0;1;0;0;502;3;289;2;146;0;3;4;10;0;0;0;0;6;0;0;14;0;11;0;0;0;251;1;1;0;0;0;1;0;462;0;80;0;1;6;139;0;0;0;307;2;0;0;2;5;20;0;13;3;389
1;6;237;3;276;5;4;263;0;5;0;14;6;22;3;405;7;255;1;0;2;381;15;1;0;1;0;0;1;0;1;3;11;455;14;1;4;0;9;3;1;8;1;0;53;7;1;0;0;0;2;0;0;1;0;1;0;9;0;0;0;3;0;2;0;8;0;0;347;1;4;3;1;2;4;1;0;1;460;13;361;33;430;3;0;1;3;1;1;422;1;5;2;0;0;1;34;183;76;0;1;46;1;0;0;5;201;30;2;0;0;1;3;1;0;0;10;6;208;0
0;5;24;0;1;0;1;10;433;608;0;718;0;3;0;18;1;60;0;2;9;8;0;1;1;0;0;3;1;1;8;0;529;11;0;0;743;0;0;0;1;0;4;0;0;0;0;0;435;1;0;1;0;457;0;3;0;0;476;0;0;532;0;4;2;0;0;0;3;1;0;0;1;0;0;0;0;0;1;0;5;0;1;0;0;3;0;0;7;4;0;0;14;0;0;6;2;7;14;0;0;62;10;4;0;2;1;2;1;0;0;1;0;0;0;0;0;633;18;0
4;0;16;7;2;89;0;0;0;0;575;0;6;2;36;0;19;0;5;0;0;0;3;0;1;18;2;0;24;0;0;444;0;0;0;0;0;5;0;357;1;0;10;698;1;5;0;27;0;4;0;8;302;0;578;0;67;39;0;637;0;0;2;11;0;0;0;3;1;4;0;1;6;217;2;3;441;339;0;1;0;0;10;0;0;15;1;0;0;0;0;65;3;478;0;0;0;0;0;6;0;59;0;0;1;6;2;0;4;3;535;0;1;4;8;38;0;0;1;2
1;1;119;8;7;13;488;37;1;1;0;4;11;235;3;14;5;13;8;2;6;18;100;0;0;7;2;1;5;1;0;1;5;7;36;490;0;1;8;0;0;15;28;0;26;4;2;8;5;3;430;6;3;1;0;0;7;3;0;0;1;2;2;6;0;10;598;5;17;1;281;2;17;14;20;297;7;15;11;6;4;6;23;14;12;4;0;1;1;13;1;5;0;0;4;1;17;104;333;4;368;33;3;2;0;4;13;184;347;0;1;489;323;2;4;6;5;0;7;1
26;0;22;3;3;590;2;3;1;1;13;1;91;6;579;1;261;0;35;0;3;1;14;0;3;454;1;0;1;0;0;17;0;1;17;0;0;0;0;10;0;0;2;12;9;0;0;524;1;13;9;8;0;0;14;1;762;326;0;8;0;0;0;1;0;13;2;1;3;22;3;173;3;291;17;9;28;124;0;11;2;3;1;3;2;7;1;4;2;6;3;412;7;12;4;0;2;0;2;17;0;43;1;1;0;262;1;5;1;32;9;2;2;1;4;537;0;0;1;7
