353;13;0;0;0;6;369;0;0;1;534;3;0;0;4;31;0;2;30;9;0;2;2;0;0;0;2;0;1;0;627;12;336;4;0;0;1;2;0;0;1;4;1;6;22;0;1;0;0;3;0;3;0;520;0;0;1;518;0;0;1;0;0;474;1;0;23;3;4;1;50;480;414;0;2;0;2;1;0;0;0;0;11;0;0;0;0;3;1;3;0;0;3;368;0;1;6;0;0;0;27;0;619;0;0;0;0;1;0;0
0;0;9;1;0;2;0;0;0;0;0;8;561;1;0;1;0;0;0;0;1;0;1;521;0;28;0;0;1;845;0;1;0;0;0;0;2;1;2;0;513;2;0;0;5;0;1;0;2;1;0;0;868;0;0;0;0;0;0;970;0;0;0;0;0;3;0;0;0;0;14;0;0;1;0;0;0;1;0;0;2;860;0;0;1;450;1;7;2;0;17;5;0;0;8;0;0;0;1017;0;0;0;0;0;1;0;4;0;0;0
1;1;6;326;0;1;2;0;3;1;0;8;1;0;1;8;444;0;7;0;8;337;0;14;0;344;1;2;3;8;3;1;6;8;3;2;1;7;266;1;5;21;0;357;7;0;0;3;14;8;330;3;9;4;5;0;339;11;1;3;0;0;1;9;2;287;2;5;0;2;166;1;2;397;1;0;0;7;2;0;25;5;265;0;331;1;0;3;2;1;6;1;408;0;354;0;9;8;13;1;0;8;3;0;1;322;346;0;2;14
1;29;347;2;1;1;0;22;585;473;0;17;6;1;15;37;8;352;1;0;15;2;3;10;2;17;14;43;0;0;1;13;5;6;4;0;5;9;3;0;4;192;2;15;2;0;8;1;5;13;6;4;0;0;4;9;4;1;0;5;517;10;443;0;433;7;2;232;91;492;49;0;0;4;14;0;3;425;0;6;11;2;5;2;10;2;0;470;2;1;27;0;1;0;1;2;487;3;3;1;0;6;0;0;0;3;6;0;0;33
0;1;3;0;1;9;1;0;0;0;0;0;4;0;0;2;1;0;9;3;1;25;0;10;21;0;0;0;310;7;0;3;2;0;0;341;92;0;1;398;2;0;0;0;11;410;233;3;4;0;0;344;13;0;112;96;0;0;4;5;0;47;0;0;0;0;1;1;0;0;85;0;0;0;0;524;0;0;382;15;8;2;0;189;0;6;467;0;87;8;163;467;0;0;0;0;0;0;8;14;3;1;0;334;4;1;3;2;538;0
1;448;41;0;0;3;3;507;5;9;4;12;1;0;4;20;0;11;26;2;12;0;491;2;1;4;532;111;1;1;1;508;4;5;0;1;1;7;0;0;4;29;507;1;11;0;7;0;0;1;0;16;2;1;9;13;0;2;2;2;6;4;8;0;62;0;50;104;268;3;120;1;0;0;635;0;537;5;1;0;0;0;0;7;0;0;0;50;5;4;2;0;0;2;0;4;128;0;4;4;0;3;6;4;0;0;1;1;1;5
5;6;0;0;0;797;8;4;0;0;5;5;4;0;0;5;0;0;492;448;1;6;11;1;0;0;10;2;0;3;4;3;18;0;0;1;0;0;2;0;3;0;2;0;713;0;0;0;0;0;0;1;2;8;1;0;0;2;705;0;0;0;0;3;0;0;370;2;1;0;107;4;2;0;5;1;4;0;1;0;0;1;1;0;0;3;0;0;0;640;0;0;1;1;0;0;1;0;3;0;361;0;6;0;627;0;1;493;1;0
0;0;4;0;658;0;4;0;0;0;0;0;17;776;0;9;0;0;0;0;0;4;0;4;16;5;0;0;9;16;0;10;1;9;773;6;84;0;0;3;6;2;0;3;0;2;58;498;531;3;0;26;18;0;6;31;19;0;0;5;0;51;0;1;0;6;0;0;0;0;92;0;0;1;0;4;0;0;23;33;677;10;2;9;3;7;11;0;122;0;350;15;0;0;0;482;0;654;24;22;0;0;1;1;0;0;40;0;7;1
2;115;44;0;0;2;0;17;9;19;4;450;20;0;544;138;1;32;11;1;662;3;9;8;11;4;21;221;0;2;2;33;6;481;1;2;5;499;1;1;18;458;14;5;7;2;4;1;10;596;3;7;4;5;4;9;1;2;1;0;18;3;18;2;21;11;17;3;68;9;63;0;1;0;17;2;19;18;17;17;9;5;3;8;2;7;4;32;15;1;6;10;1;1;1;0;36;0;4;4;0;440;0;2;1;1;3;4;0;395
3;7;17;0;19;0;4;1;1;13;2;10;3;14;1;7;0;10;1;0;2;2;0;1;480;0;5;6;33;3;4;2;1;2;6;36;754;0;0;14;4;12;2;5;0;8;504;11;71;3;0;211;4;4;285;356;0;0;0;2;2;561;7;1;2;1;1;0;1;5;45;2;0;0;0;11;3;2;75;492;69;4;1;107;0;1;11;12;506;1;361;12;0;0;0;10;8;11;3;493;1;1;2;152;0;0;1;1;21;3
