3;592;3;0;0;2;483;5;0;0;427;0;0;0;0;0;1;9;1;1;0;3;0;0;377;0;42;6;1;1;4;1;1;13;3;10;418;16;1;0;0;1;6;0;570;0;0;0;0;537;0;27;0;534;2;3;1;0;0;0;5;1;0;9;0;4;524;11;2;1;1;548;0;0;8;27;24;0;1;652
1;0;2;0;0;0;0;0;0;1;0;0;0;998;4;1555;0;0;0;8;0;0;0;1;0;0;25;0;0;1;0;0;2;0;1;10;0;2;0;2;0;0;18;1;0;16;1;0;0;0;3;0;0;0;0;2;1;3;1004;0;0;1485;0;4;0;4;0;2;21;0;0;0;0;1537;0;14;2;5;6;0
18;0;17;1;3;6;17;3;5;10;8;6;0;16;457;28;0;0;466;16;1;1;489;689;4;2;239;694;0;31;0;0;1;0;0;12;2;6;2;1;0;539;19;0;7;1;12;1;0;9;4;0;2;6;0;7;10;37;11;1;6;19;3;14;1;32;5;1;668;6;15;6;2;8;635;14;2;2;602;0
53;1;28;0;2;866;3;3;5;748;4;0;11;3;7;12;883;1;3;11;0;12;7;10;1;5;89;13;18;6;331;3;8;47;0;759;0;3;110;0;0;15;60;0;1;8;957;0;9;0;2;0;1;0;8;23;1;48;13;4;5;2;6;188;0;76;4;3;15;516;2;0;0;3;11;5;12;53;13;1
2;0;0;3;1;0;1;7;0;2;2;355;126;13;3;12;0;3;23;54;458;0;0;1;1;21;104;0;1;9;0;0;112;2;4;0;0;7;0;593;571;0;2;563;0;268;0;334;19;0;0;9;4;0;0;0;323;2;6;77;388;12;30;0;505;0;1;6;1;0;0;0;571;7;1;13;3;206;0;0
11;3;4;9;1;83;3;4;0;24;1;9;5;5;1;4;6;3;1;5;1;803;0;0;4;24;144;0;818;0;325;4;1;755;2;174;0;20;163;1;0;0;16;0;9;13;18;3;1;0;1;0;3;1;715;14;3;0;5;2;21;5;7;354;0;36;8;16;2;111;0;1;2;6;0;31;567;26;1;2
0;7;0;0;0;0;10;704;0;0;15;3;0;7;1;3;0;531;3;0;2;10;0;0;21;0;113;0;19;0;0;0;0;25;621;3;8;972;9;1;0;0;2;0;9;0;0;0;0;2;0;433;797;2;1;0;0;0;1;0;0;3;0;32;1;1;16;872;0;0;0;9;0;2;1;635;8;0;2;1
0;0;5;454;769;0;0;0;769;0;0;4;19;12;17;40;0;0;4;549;11;0;2;0;4;15;78;1;0;506;0;485;65;0;0;2;0;0;0;13;3;2;2;8;1;100;0;2;33;1;904;0;0;0;1;0;19;598;5;41;36;27;23;0;2;3;0;0;14;0;515;0;0;13;4;0;14;70;0;0
850;5;966;1;3;22;3;4;0;83;7;5;6;13;4;16;43;1;1;20;25;35;3;2;0;8;115;3;29;27;74;0;9;115;4;144;1;6;296;6;2;11;1019;5;1;12;54;3;23;2;0;1;2;1;21;874;0;8;14;30;9;18;6;15;2;601;12;7;4;33;0;1;3;10;3;18;53;15;3;0
0;3;1;19;11;4;0;1;15;18;2;121;614;2;1;5;10;0;1;305;43;2;0;0;6;386;44;2;5;132;1;13;789;9;1;37;2;0;15;24;14;0;3;12;1;429;8;16;666;1;11;1;0;2;0;9;36;22;2;669;278;7;596;0;29;6;5;2;1;5;11;1;45;10;3;0;2;401;0;1
