24;0;15;5;0;0;323;0;6;15;0;650;267;0;1;0;5;1;3;6;22;560;0;1;0;0;1;4;1;0;11;1;1;0;1;487;1;15;0;8;0;369;0;0;0;554;18;0;0;1;0;2;1;0;2;491;0;1;2;1;0;5;0;0;0;1;0;0;17;0;0;417;1;1;0;2;1;9;549;5;0;11;0;0;35;2;0;5;1;0;424;0;1;556;0;0;0;0;0;3
0;910;3;1;0;12;0;0;0;0;0;0;0;0;0;1299;0;0;0;0;6;0;0;0;2;0;0;0;10;1443;1;0;1;0;609;0;1;0;0;5;1;0;4;2;985;0;16;12;0;0;0;0;0;1;0;0;4;0;12;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;7;0;0;0;0;3;0;0;23;0;0;2;0;1;0;0;0;0;2;1336;4;20;0;0
0;8;12;10;0;0;0;2;1;0;1;0;6;0;3;22;14;0;0;0;8;0;2;6;465;0;0;318;563;16;0;8;13;2;4;11;0;3;11;14;1;2;412;7;8;8;15;15;5;1;36;2;495;0;4;2;17;3;9;431;1;7;1;1;379;0;1;8;2;543;4;8;429;1;2;5;6;0;6;446;15;6;8;1;208;9;2;9;1;0;2;0;2;5;446;7;0;391;0;0
0;7;1;459;6;6;0;0;1;1;7;1;2;7;573;4;11;276;2;6;3;0;0;4;13;19;25;15;15;1;3;6;5;2;10;6;1;24;9;17;0;0;5;2;2;1;269;32;459;3;28;4;6;4;95;2;6;668;85;2;6;246;1;0;4;0;4;1;5;10;566;4;12;2;1;13;25;120;0;4;10;94;489;0;71;8;1;25;15;13;0;0;546;0;9;4;0;7;590;4
4;7;7;1;10;305;1;408;7;1;24;0;4;0;0;11;0;1;0;0;7;0;491;142;0;1;0;0;1;13;8;410;5;3;10;1;461;1;0;1;6;0;4;0;18;0;4;54;0;1;0;10;0;67;0;0;10;0;1;17;40;0;1;628;0;2;15;19;3;1;0;3;2;111;2;5;3;1;0;0;1;1;0;331;131;0;587;1;0;188;0;565;0;0;0;5;658;0;0;0
0;1;10;96;0;4;1;1;2;24;1;0;3;553;1;3;5;141;571;462;24;1;1;7;0;487;454;2;4;4;8;4;0;2;3;8;4;271;0;5;1;3;2;0;3;9;299;1;39;4;6;6;0;0;24;3;1;33;14;1;8;26;0;0;0;0;19;2;472;0;14;1;0;4;0;34;11;218;0;0;2;328;16;1;93;1;3;3;1;12;1;1;4;0;0;0;1;0;1;527
347;1;778;0;0;0;0;1;560;349;0;1;36;3;0;3;0;1;1;6;433;6;2;1;0;20;1;0;0;2;877;0;0;683;8;7;1;31;0;1;567;9;0;0;6;2;3;0;0;0;0;568;0;0;1;12;0;0;2;2;0;0;0;1;0;424;0;0;1;0;0;12;0;0;0;1;1;0;3;2;0;15;0;1;110;0;0;4;0;0;3;0;0;2;0;1;0;0;0;5
0;8;0;0;30;110;0;7;0;0;46;0;8;0;1;27;1;1;1;0;0;0;11;6;2;0;0;12;8;30;0;22;542;0;11;0;38;0;787;8;0;0;17;927;13;1;2;478;0;592;1;0;2;48;0;0;695;0;2;3;23;9;632;3;2;0;17;6;17;0;0;0;0;86;763;7;1;0;0;0;1;0;0;3;103;0;2;0;0;65;0;3;0;0;0;9;13;2;0;0
3;8;3;55;14;4;2;2;2;7;2;1;0;11;8;7;599;111;10;23;6;1;10;4;0;17;17;5;1;15;2;3;11;0;23;1;3;156;0;410;0;4;2;0;6;1;65;10;11;0;355;1;1;4;156;3;8;10;328;0;4;41;1;3;1;1;9;222;29;1;15;2;1;11;0;282;513;69;1;0;586;5;5;5;60;542;2;435;424;5;0;3;18;0;1;5;5;1;13;8
0;3;0;18;541;460;1;30;0;2;626;1;8;3;15;5;6;11;0;3;0;2;40;278;0;1;2;3;0;8;0;215;101;0;3;0;178;1;11;2;0;6;1;10;2;0;25;172;2;13;1;2;1;729;19;3;85;4;13;1;547;1;19;10;0;1;290;42;3;0;0;0;2;660;16;10;3;1;1;0;1;0;0;16;67;0;47;0;1;498;0;4;17;1;0;5;16;0;1;2
