71;259;0;25;12;7;2;15;10;16;4;2;10;47;1736;123;21;1;10;1;12;1882;1527;14;0;2;0;101;11;2
0;2;0;1;5;0;0;16;30;17;16;1;2;0;0;41;0;18;2;2979;1;0;0;0;3;0;3574;15;4;15
1;19;19;0;942;8;3;52;37;78;10;29;1101;6;23;72;1057;1205;27;62;4;3;16;55;975;7;70;30;18;29
2;20;12;24;27;8;1;60;1458;160;45;13;20;887;4;81;46;29;1501;22;2;4;4;182;24;24;89;25;1320;37
31;42;4;1;48;907;1796;2;5;6;900;143;2;0;1;317;8;0;0;64;19;1;0;1;2;1124;29;54;0;335
11;65;3;1724;5;56;13;11;304;43;59;6;2;834;12;1324;1;3;98;17;15;9;21;72;0;61;23;99;511;19
1130;1185;0;24;28;7;4;0;0;2;3;0;1;13;23;65;4;1;0;34;1791;13;27;4;0;1;32;1522;4;0
0;0;2050;0;71;188;67;15;5;4;519;1523;14;4;3;61;4;1;0;113;1;3;2;4;1;190;81;2;0;1339
11;9;1;50;13;22;37;1526;431;1535;41;53;11;330;7;194;11;8;86;64;4;8;6;1167;2;29;68;26;70;31
4;2;68;11;8;554;831;10;59;13;1247;545;1;20;4;41;6;0;17;23;3;10;6;33;1;1313;33;2;8;1076
