3;1;0;5;869;0;85;0;0;8;0;748;7;740;5;1;10;8;57;703;33;5;0;2;10;613;0;7;1;15;50;0;965;9;10;5;8;0;866;2;0;3;1;2;0;1;1;0;36;0;0;2;0;0;8;0;17;1;0;0
0;1758;24;0;0;3;15;0;3;0;0;0;5;0;0;7;0;14;1;0;18;1;7;0;0;0;1749;1;1;0;1;2;0;0;0;5;27;0;0;0;5;0;0;3;0;0;0;1130;0;0;1949;2;4;1;0;0;2;2;2;0
0;25;9;1;1;679;325;15;2;0;1;7;16;14;7;860;1;36;7;6;24;7;807;26;833;6;21;1;2;1;12;11;10;2;671;48;26;691;7;2;584;8;10;3;3;2;3;18;0;2;28;1;32;22;1;0;6;12;0;3
0;11;34;1;1;26;93;7;0;35;0;2;39;8;2;10;1;82;18;3;12;963;21;63;31;0;12;1;3;348;11;614;2;43;13;48;842;4;1;0;11;519;9;10;0;9;4;4;0;4;10;19;8;5;13;975;3;1093;18;12
8;24;302;5;0;0;162;0;927;0;592;1;0;0;8;0;9;1;5;0;18;0;1;2;7;1;13;5;1;1;21;2;0;0;1;1;2;11;0;479;1;0;625;138;705;158;1;19;9;537;12;1;3;2;0;0;20;0;410;591
1;5;9;12;3;1;144;0;1;774;3;1;5;12;9;1;7;20;693;12;51;183;3;14;1;1;7;8;0;400;37;84;4;777;0;14;172;0;4;2;1;127;11;7;4;2;4;6;0;22;9;810;2;0;853;8;22;27;15;16
506;7;0;840;8;0;79;0;1;24;0;7;0;6;580;0;604;0;9;21;630;1;0;0;0;8;1;753;0;3;650;1;3;5;1;1;1;0;7;1;0;0;0;0;1;0;0;5;456;0;5;20;0;0;7;0;666;0;0;0
0;55;382;0;0;8;117;1084;17;0;24;0;8;0;0;0;0;3;12;0;0;0;12;0;1;3;22;0;1111;1;0;2;1;0;3;1;3;4;1;53;21;0;34;153;23;71;797;32;0;19;39;0;1063;942;0;0;0;0;96;47
4;18;25;1;7;11;94;0;7;159;12;2;1061;6;4;5;5;1205;52;10;22;48;5;909;6;3;14;0;1;119;8;237;1;22;2;1051;221;2;3;48;6;69;5;25;9;17;0;19;3;17;23;30;6;13;41;57;9;61;18;13
1;10;555;0;5;0;85;18;19;7;348;0;4;1;1;0;0;7;2;6;0;4;1;0;3;10;4;2;26;1;1;21;4;0;2;12;47;0;4;147;1;8;369;872;314;1029;17;5;2;370;11;4;49;60;2;11;0;8;765;694
