1;1133;49;1;1;3;0;11;0;89;1;1018;20;0;52;3;0;0;1;4;53;1;1055;11;982;3;13;0;1233;18;1;1;43;9;9;0;77;18;0;9
15;0;3;0;0;0;2400;0;5;41;1;0;14;2;3;13;2405;0;15;0;0;1780;0;13;0;0;15;0;0;0;3;0;7;4;0;0;3;0;0;0
45;16;18;27;7;7;34;1331;991;424;32;1;32;11;4;11;44;2;1203;9;1;34;17;67;26;4;38;9;10;3;1368;3;20;48;0;6;6;0;1;48
30;1;11;10;4;1;41;34;10;111;1134;2;1067;4;9;64;21;1095;20;836;1;10;2;148;11;0;724;5;1;457;23;2;3;61;0;21;47;20;14;76
177;0;38;35;1;25;21;7;7;282;0;0;0;1;21;673;19;0;0;0;17;35;2;2;0;1281;6;787;1;1;3;1071;21;3;11;948;5;0;339;2
16;7;48;2;3;8;12;1;1;305;108;9;261;0;31;35;14;69;1;534;2;11;6;29;19;5;284;35;3;596;0;13;44;9;4;39;1245;1566;7;39
0;14;777;0;0;1043;3;1;0;136;0;17;0;0;1041;0;17;0;0;12;698;8;12;1;11;2;4;0;8;7;1;3;1025;0;1035;0;15;27;0;0
987;1;0;1140;1161;0;38;0;31;133;0;2;1;1649;0;701;57;0;1;0;0;61;1;3;0;20;3;45;2;1;9;50;0;12;1;93;6;0;54;2
30;0;10;38;0;3;30;11;8;150;66;15;86;1;13;31;34;74;3;74;4;41;5;1467;12;23;515;23;3;285;9;23;12;1474;3;19;81;50;29;1096
622;5;2;339;39;0;21;4;1;97;9;6;24;28;2;899;9;18;0;5;3;15;2;13;2;180;48;562;6;15;3;426;1;6;2;1210;9;7;1296;13
