num trees;pca;max depth;f1 macro avg
00050;no_pca;003;0.18;
00050;pca;003;0.06;
00050;no_pca;005;0.23;
00050;pca;005;0.06;
00050;no_pca;007;0.28;
00050;pca;007;0.10;
00050;no_pca;009;0.37;
00050;pca;009;0.16;
00050;no_pca;011;0.50;
00050;pca;011;0.33;
00050;no_pca;013;0.71;
00050;pca;013;0.54;
00100;no_pca;003;0.18;
00100;pca;003;0.06;
00100;no_pca;005;0.23;
00100;pca;005;0.06;
00100;no_pca;007;0.28;
00100;pca;007;0.10;
00100;no_pca;009;0.37;
00100;pca;009;0.18;
00100;no_pca;011;0.50;
00100;pca;011;0.32;
00100;no_pca;013;0.70;
00100;pca;013;0.51;
00200;no_pca;003;0.17;
00200;pca;003;0.06;
00200;no_pca;005;0.24;
00200;pca;005;0.06;
00200;no_pca;007;0.28;
00200;pca;007;0.09;
00200;no_pca;009;0.37;
00200;pca;009;0.17;
00200;no_pca;011;0.49;
00200;pca;011;0.29;
00200;no_pca;013;0.68;
00200;pca;013;0.54;
00300;no_pca;003;0.18;
00300;pca;003;0.06;
00300;no_pca;005;0.24;
00300;pca;005;0.06;
00300;no_pca;007;0.28;
00300;pca;007;0.09;
00300;no_pca;009;0.38;
00300;pca;009;0.17;
00300;no_pca;011;0.49;
00300;pca;011;0.29;
00300;no_pca;013;0.70;
00300;pca;013;0.52;
00500;no_pca;003;0.18;
00500;pca;003;0.06;
00500;no_pca;005;0.24;
00500;pca;005;0.06;
00500;no_pca;007;0.28;
00500;pca;007;0.09;
00500;no_pca;009;0.37;
00500;pca;009;0.17;
00500;no_pca;011;0.50;
00500;pca;011;0.31;
00500;no_pca;013;0.70;
00500;pca;013;0.52;
00700;no_pca;003;0.18;
00700;pca;003;0.06;
00700;no_pca;005;0.24;
00700;pca;005;0.06;
00700;no_pca;007;0.28;
00700;pca;007;0.09;
00700;no_pca;009;0.37;
00700;pca;009;0.17;
00700;no_pca;011;0.50;
00700;pca;011;0.29;
00700;no_pca;013;0.70;
00700;pca;013;0.52;
01000;no_pca;003;0.18;
01000;pca;003;0.06;
01000;no_pca;005;0.24;
01000;pca;005;0.06;
01000;no_pca;007;0.28;
01000;pca;007;0.10;
01000;no_pca;009;0.37;
01000;pca;009;0.17;
01000;no_pca;011;0.49;
01000;pca;011;0.31;
01000;no_pca;013;0.68;
01000;pca;013;0.52;
