num trees;pca;f1 macro avg
00050;no_pca;0.89;
00050;pca;0.86;
00100;no_pca;0.92;
00100;pca;0.87;
00200;no_pca;0.89;
00200;pca;0.86;
00300;no_pca;0.90;
00300;pca;0.87;
00500;no_pca;0.91;
00500;pca;0.87;
00700;no_pca;0.90;
00700;pca;0.87;
01000;no_pca;0.90;
01000;pca;0.87;
