num trees;pca;f1 macro avg
00050;no_pca;0.13;
00050;pca;0.09;
00100;no_pca;0.13;
00100;pca;0.10;
00200;no_pca;0.13;
00200;pca;0.10;
00300;no_pca;0.13;
00300;pca;0.10;
00500;no_pca;0.13;
00500;pca;0.10;
00700;no_pca;0.13;
00700;pca;0.10;
01000;no_pca;0.13;
01000;pca;0.10;
